match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalTackle,stat_wonTackle,stat_fouls,stat_aerialLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_keyPass,stat_aerialWon,stat_penaltyConceded,stat_wasFouled,stat_totalCross,stat_unsuccessfulTouch,captain,stat_accurateCross,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_hitWoodwork,stat_expectedGoals,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_errorLeadToAShot,stat_goals,stat_goalAssist,stat_bigChanceCreated,stat_penaltyWon,player_sofascoreId
11391319,home,Clermont Foot,Massamba Ndiaye,ndiaye-massamba,M. Ndiaye,G,16,202,260,M,1177344,EUR,1002412800,G,1,1,False,51.0,42.0,17.0,8.0,36.0,42.0,6.0,9.0,1.0,11.0,1.0,2.0,1.0,2.0,90.0,62.0,6.6,9.0,0.00130238,0,-0.3567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391319,home,Clermont Foot,Chrislain Matsima,chrislain-matsima,C. Matsima,D,5,192,660,M,963198,EUR,1021420800,D,4,4,False,80.0,72.0,8.0,3.0,50.0,54.0,22.0,26.0,5.0,7.0,,,,,90.0,92.0,6.4,9.0,0.00700738,0,,,,4.0,2.0,2.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11391319,home,Clermont Foot,Andy Pelmard,andy-pelmard,A. Pelmard,D,70,179,411,M,877978,EUR,952819200,D,17,17,False,68.0,55.0,8.0,,39.0,42.0,16.0,26.0,5.0,5.0,,,,,90.0,83.0,6.9,13.0,0.00702276,0,,,,4.0,4.0,1.0,,3.0,3.0,,3.0,1.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,
11391319,home,Clermont Foot,Maximiliano Caufriez,maximiliano-caufriez,M. Caufriez,D,5,189,161,M,800349,EUR,856051200,D,5,5,False,42.0,35.0,7.0,4.0,25.0,27.0,10.0,15.0,1.0,2.0,,,,,77.0,50.0,6.1,8.0,0.0139874,0,,,,6.0,6.0,,,4.0,3.0,3.0,2.0,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
11391319,home,Clermont Foot,Mehdi Zeffane,mehdi-zeffane,M. Zeffane,M,,176,821,M,217770,EUR,706233600,M,2,2,False,47.0,31.0,7.0,1.0,22.0,27.0,9.0,22.0,3.0,3.0,,,,,77.0,65.0,6.2,20.0,0.00412954,0,,,,3.0,2.0,,,1.0,1.0,2.0,,1.0,,,3.0,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,
11391319,home,Clermont Foot,Yohann Magnin,yohann-magnin,Y. Magnin,M,8,183,60,M,942840,EUR,866851200,M,7,7,False,49.0,38.0,5.0,3.0,28.0,33.0,10.0,16.0,2.0,2.0,,,,,90.0,64.0,6.6,12.0,0.0064455,0,,,,7.0,7.0,2.0,,3.0,2.0,3.0,2.0,2.0,1.0,,,,1.0,,2.0,,,True,,,,,,,,,,,,,,
11391319,home,Clermont Foot,Muhammed-Cham Saračević,muhammed-cham-saracevic,M. Cham-Saračević,M,10,180,998,M,958901,EUR,969926400,M,10,10,False,61.0,51.0,3.0,1.0,28.0,32.0,24.0,35.0,,9.0,,,,,90.0,85.0,7.1,19.0,0.192694,3,,,,3.0,7.0,,1.0,,,,1.0,4.0,3.0,,,4.0,1.0,,3.0,6.0,2.0,,1.0,1.0,1.0,2.0,1.0,0.1489,,,,,,,,
11391319,home,Clermont Foot,Yoël Armougom,yoel-armougom,Y. Armougom,D,31,173,302,M,909167,EUR,897004800,M,22,22,False,34.0,32.0,1.0,,12.0,13.0,20.0,24.0,,4.0,,,,,90.0,48.0,6.6,6.0,0.00968276,1,,,,5.0,2.0,1.0,,1.0,1.0,1.0,3.0,1.0,1.0,,,1.0,,,,3.0,1.0,,,,,1.0,,0.0117,,,,,,,,
11391319,home,Clermont Foot,Bilal Boutobba,bilal-boutobba,B. Boutobba,M,98,172,465,M,769163,EUR,904348800,F,8,8,False,19.0,14.0,2.0,1.0,3.0,4.0,11.0,16.0,,3.0,,,,,61.0,31.0,6.9,7.0,0.00865704,3,,,,2.0,4.0,,,1.0,,1.0,1.0,,,,,,,,3.0,1.0,1.0,,,,,2.0,,0.0826,1.0,0.3856,,,,,,
11391319,home,Clermont Foot,Alan Virginius,alan-virginius,A. Virginius,F,7,175,548,M,1048014,EUR,1041552000,F,26,26,False,16.0,12.0,,,3.0,3.0,11.0,22.0,,2.0,,,,,89.0,35.0,6.8,13.0,0.0629225,3,,,,6.0,2.0,2.0,1.0,,,1.0,2.0,1.0,1.0,,,1.0,1.0,,,9.0,1.0,,2.0,1.0,1.0,,,0.4757,2.0,0.4361,,,,,,
