match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_height,stat_totalCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_goalAssist,stat_blockedScoringAttempt,stat_keyPass,captain,stat_goals,stat_wasFouled,stat_bigChanceCreated,stat_shotOffTarget,stat_totalOffside,stat_accurateCross,stat_hitWoodwork
11913976,home,Excelsior Maassluis,Tobias Van der Kleij,Tobias Van der Kleij,,tobias-van-der-kleij,T. V. d. Kleij,G,1,10,M,1145402,EUR,1018742400.0,G,16,16,False,29.0,15.0,25.0,11.0,6.0,8.0,9.0,21.0,1.0,1.0,2.0,9.0,1.0,1.0,1.0,1.0,90.0,36.0,6.5,14.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11913976,home,Excelsior Maassluis,Vincent Schippers,Vincent,Schippers,vincent-schippers,V. Schippers,D,10,6,M,916948,EUR,983664000.0,D,5,5,False,21.0,12.0,7.0,3.0,7.0,13.0,5.0,10.0,1.0,9.0,3.0,9.0,,,,,90.0,54.0,7.3,17.0,0,182.0,2.0,4.0,2.0,1.0,1.0,1.0,5.0,7.0,7.0,3.0,1.0,,,,,,,,,,,,,,,
11913976,home,Excelsior Maassluis,Kevin Ringeling,Kevin,Ringeling,kevin-ringeling,K. Ringeling,D,3,3,M,866676,EUR,893203200.0,D,3,3,False,13.0,8.0,4.0,1.0,7.0,10.0,1.0,3.0,2.0,4.0,3.0,2.0,,,,,90.0,22.0,6.4,5.0,1,187.0,,5.0,1.0,,,,,2.0,1.0,,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,
11913976,home,Excelsior Maassluis,Gabri Urbanus,Gabri Urbanus,,gabri-urbanus,G. Urbanus,D,,3,M,1084557,EUR,960595200.0,D,4,4,False,15.0,12.0,6.0,3.0,9.0,9.0,3.0,6.0,4.0,6.0,12.0,1.0,,,,,90.0,47.0,8.2,4.0,2,,,1.0,,,,,3.0,2.0,2.0,,,1.0,,,4.0,1.0,2.0,1.0,,,,,,,,
11913976,home,Excelsior Maassluis,Darwin Heuvelman,Darwin Heuvelman,,darwin-heuvelman,D. Heuvelman,D,4,4,M,1085725,EUR,968889600.0,D,26,26,False,12.0,4.0,8.0,2.0,3.0,9.0,1.0,4.0,1.0,2.0,7.0,3.0,,,,,90.0,25.0,6.4,9.0,0,190.0,1.0,5.0,2.0,,,,,1.0,,,,3.0,,,1.0,,,,,,,,,,,
11913976,home,Excelsior Maassluis,Gaultiér Overman,,,gaultier-overman,G. Overman,D,5,9,M,973725,EUR,974246400.0,D,21,21,False,15.0,8.0,3.0,,6.0,10.0,2.0,5.0,2.0,4.0,4.0,2.0,,,,,89.0,41.0,6.7,11.0,1,,,1.0,,,2.0,1.0,2.0,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,
11913976,home,Excelsior Maassluis,Kevin Dercks,,,kevin-dercks,K. Dercks,M,,2,M,866675,EUR,758592000.0,M,17,17,False,16.0,10.0,3.0,,4.0,5.0,6.0,11.0,2.0,3.0,1.0,5.0,,,,,90.0,26.0,7.0,8.0,1,,,3.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,True,1.0,,,,,,
11913976,home,Excelsior Maassluis,Nino van den Beemt,,,nico-van-den-beemt,N. v. d. Beemt,M,,1,M,946508,EUR,803088000.0,M,8,8,False,11.0,6.0,2.0,2.0,5.0,10.0,1.0,1.0,1.0,2.0,1.0,,,,,,65.0,17.0,6.7,6.0,0,184.0,,2.0,1.0,,,,1.0,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,
11913976,home,Excelsior Maassluis,Giovanni Fonseca,Giovanni,Fonseca,giovanni-fonseca,G. Fonseca,M,15,5,M,948718,EUR,909792000.0,M,14,14,False,21.0,13.0,2.0,1.0,8.0,14.0,5.0,7.0,,7.0,2.0,7.0,,,,,90.0,42.0,6.5,15.0,0,,,7.0,1.0,2.0,4.0,2.0,,1.0,1.0,3.0,1.0,1.0,,,,,,,,,4.0,,,,,
11913976,home,Excelsior Maassluis,Bram Wennekers,Bram Wennekers,,bram-wennekers,B. Wennekers,F,9,1,M,1145329,EUR,971222400.0,F,9,9,False,27.0,14.0,4.0,,8.0,13.0,6.0,15.0,6.0,12.0,4.0,11.0,,,,,82.0,57.0,6.9,26.0,2,185.0,1.0,16.0,3.0,1.0,3.0,1.0,1.0,3.0,2.0,9.0,2.0,8.0,,,,,1.0,1.0,,,2.0,1.0,1.0,,,
