match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_fouls,stat_keyPass,stat_challengeLost,stat_dispossessed,stat_blockedScoringAttempt,stat_totalTackle,stat_unsuccessfulTouch,stat_expectedGoals,captain,stat_aerialLost,stat_outfielderBlock,stat_errorLeadToAGoal,stat_wasFouled,stat_wonTackle,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_sofascoreId,stat_goodHighClaim,stat_totalOffside,stat_bigChanceMissed,stat_goals
11391346,home,Stade de Reims,Yehvann Diouf,,,yehvann-diouf,Y. Diouf,G,80,188,2968,M,845183,EUR,942710400,G,94,94,False,43.0,36.0,13.0,7.0,34.0,35.0,2.0,8.0,1.0,1.0,2.0,2.0,1.0,1.0,90.0,46.0,7.0,7.0,0.0007882,0,0.2814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391346,home,Stade de Reims,Thérence Koudou,,,koudou-therence,T. Koudou,D,7,178,224,M,1392080,EUR,1102896000,D,45,45,False,27.0,20.0,3.0,1.0,14.0,16.0,7.0,12.0,,3.0,,,,,63.0,39.0,6.4,7.0,0.0762969,0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11391346,home,Stade de Reims,Emmanuel Agbadou,,,emmanuel-agbadou,E. Agbadou,D,12,192,3192,M,1013842,EUR,866505600,D,24,24,False,92.0,87.0,17.0,13.0,51.0,51.0,36.0,41.0,2.0,2.0,,,,,90.0,99.0,6.9,7.0,0.0449426,1,,,,1.0,2.0,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,0.0264,,,,,,,,,,,,,,
11391346,home,Stade de Reims,Yunis Abdelhamid,,,yunis-abdelhamid,Y. Abdelhamid,D,5,190,1888,M,178721,EUR,559785600,D,5,5,False,75.0,62.0,8.0,1.0,50.0,54.0,12.0,21.0,3.0,2.0,,,,,90.0,88.0,6.4,14.0,0.00663857,0,,,,2.0,4.0,6.0,,,1.0,1.0,,1.0,1.0,,2.0,,,True,1.0,2.0,1.0,2.0,,,,,,,,,
11391346,home,Stade de Reims,Thibault De Smet,,,thibault-de-smet,T. D. Smet,D,28,182,215,M,844744,EUR,897004800,D,25,25,False,35.0,28.0,6.0,3.0,21.0,24.0,7.0,11.0,3.0,4.0,,,,,63.0,51.0,6.5,8.0,0.00949849,0,,,,1.0,5.0,3.0,,,2.0,3.0,1.0,2.0,,,2.0,1.0,,,1.0,,,,1.0,,,,,,,,
11391346,home,Stade de Reims,Marshall Munetsi,,,marshall-munetsi,M. Munetsi,M,18,187,1937,M,894733,EUR,835401600,M,15,15,False,15.0,13.0,1.0,1.0,7.0,8.0,6.0,8.0,3.0,5.0,,,,,90.0,31.0,6.6,9.0,0.00361148,3,,1.0,,2.0,7.0,3.0,1.0,,,2.0,,,3.0,1.0,1.0,2.0,0.2401,,1.0,,,,1.0,1.0,1.0,0.0829,,,,,
11391346,home,Stade de Reims,Amir Richardson,Amir Richardson,,amir-richardson,A. Richardson,M,25,195,11630,M,1121333,EUR,1011830400,M,8,8,False,43.0,40.0,5.0,3.0,21.0,21.0,19.0,22.0,1.0,7.0,,,,,89.0,59.0,6.5,9.0,0.0195657,0,,,,,8.0,6.0,5.0,2.0,,1.0,,,2.0,,1.0,1.0,,,2.0,,,3.0,,,,,ami2r,,,,
11391346,home,Stade de Reims,Teddy Teuma,,,teddy-teuma,T. Teuma,M,80,176,885,M,829643,EUR,749347200,M,10,10,False,28.0,26.0,,,16.0,16.0,11.0,17.0,,2.0,,,,,72.0,39.0,6.5,7.0,0.059339,0,,5.0,1.0,1.0,3.0,3.0,,,,1.0,,2.0,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,
11391346,home,Stade de Reims,Junya Ito,,,junya-ito,J. Ito,M,10,176,4867,M,783278,EUR,731635200,F,7,7,False,31.0,19.0,4.0,2.0,5.0,5.0,15.0,32.0,,1.0,,,,,90.0,52.0,7.0,20.0,0.250289,0,,6.0,1.0,,4.0,3.0,1.0,1.0,1.0,,2.0,1.0,1.0,,,2.0,,,2.0,,,2.0,,,,,ItouJky,,,,
11391346,home,Stade de Reims,Reda Khadra,,,reda-khadra,R. Khadra,M,30,175,253,M,995671,EUR,994204800,F,14,14,False,8.0,5.0,1.0,,,,5.0,9.0,,2.0,,,,,72.0,16.0,6.5,8.0,0.014229,1,,1.0,,,7.0,1.0,1.0,,,1.0,,,2.0,,1.0,1.0,0.1461,,3.0,,,,1.0,,1.0,0.0158,,,,,
