match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_accurateCross,stat_outfielderBlock,stat_interceptionWon,stat_keyPass,captain,stat_unsuccessfulTouch,stat_wasFouled,stat_totalContest,stat_wonContest,stat_penaltyWon,stat_dispossessed,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_penaltyMiss,stat_totalOffside,stat_goals,stat_errorLeadToAShot,stat_goodHighClaim,stat_penaltySave,stat_penaltyFaced,player_sofascoreId,stat_bigChanceCreated,stat_hitWoodwork,stat_goalAssist,stat_penaltyConceded
11369955,home,Sint-Truidense VV,Jo Coppens,,,jo-coppens,J. Coppens,G,12,190,48,M,45854,EUR,661737600,G,12,12,False,41.0,32.0,12.0,4.0,31.0,34.0,1.0,7.0,1.0,11.0,2.0,2.0,1.0,1.0,90.0,49.0,6.9,9.0,0.00071241,0,0.1362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369955,home,Sint-Truidense VV,Rein Van Helden,,,rein-van-helden,R. V. Helden,D,20,187,193,M,1047163,EUR,1027468800,D,20,20,False,98.0,85.0,12.0,5.0,62.0,68.0,23.0,31.0,5.0,4.0,,,,,90.0,110.0,7.0,14.0,0.019619,1,,1.0,1.0,4.0,3.0,6.0,1.0,1.0,2.0,2.0,1.0,0.0577,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369955,home,Sint-Truidense VV,Matte Smets,,,smets-matte,M. Smets,D,6,184,963,M,1392905,EUR,1073174400,D,16,16,False,81.0,76.0,10.0,8.0,58.0,61.0,19.0,21.0,5.0,4.0,,,,,90.0,92.0,7.4,5.0,0.0816706,0,,1.0,1.0,1.0,2.0,2.0,,,1.0,,1.0,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11369955,home,Sint-Truidense VV,Bruno Godeau,,,bruno-godeau,B. Godeau,D,31,190,68,M,247321,EUR,705456000,D,31,31,False,80.0,72.0,6.0,3.0,48.0,52.0,24.0,28.0,1.0,6.0,,,,,90.0,89.0,6.9,9.0,0.0131446,0,,,,3.0,1.0,5.0,,,2.0,1.0,1.0,,,,,,True,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11369955,home,Sint-Truidense VV,Frederic Ananou,,,frederic-ananou,F. Ananou,D,27,182,65,M,842276,EUR,874713600,M,27,27,False,29.0,24.0,2.0,,18.0,22.0,6.0,9.0,2.0,1.0,,,,,89.0,44.0,7.3,8.0,0.0220401,0,,2.0,1.0,,2.0,5.0,1.0,,1.0,,,,,,,1.0,,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,
11369955,home,Sint-Truidense VV,Mathias Delorge,Mathias Delorge-Knieper,,mathias-delorge-knieper,M. Delorge,M,17,189,582,M,1124749,EUR,1091232000,M,17,17,False,71.0,64.0,9.0,7.0,42.0,45.0,22.0,28.0,,3.0,,,,,90.0,81.0,7.4,10.0,0.0195229,1,,2.0,,3.0,,7.0,,1.0,2.0,2.0,,0.0236,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11369955,home,Sint-Truidense VV,Joel Chima Fujita,,,joel-chima-fujita,J. C. Fujita,M,16,175,1436,M,1002461,EUR,1013817600,M,8,8,False,26.0,21.0,3.0,,11.0,12.0,10.0,17.0,1.0,3.0,,,,,63.0,39.0,6.7,13.0,0.0126603,1,,3.0,,,4.0,2.0,,1.0,2.0,2.0,3.0,0.1082,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,
11369955,home,Sint-Truidense VV,Eric Bocat,,,eric-bocat,E. Bocat,D,17,182,70,M,1017684,EUR,932083200,M,77,77,False,42.0,30.0,2.0,,14.0,16.0,17.0,29.0,,5.0,,,,,90.0,66.0,6.8,19.0,0.0259838,1,,3.0,1.0,,5.0,5.0,,,,,1.0,0.081,1.0,,3.0,,,2.0,2.0,6.0,3.0,,,1.0,,,,,,,,,,,,,,,
11369955,home,Sint-Truidense VV,Jarne Steuckers,,,steuckers-jarne,J. Steuckers,M,7,179,987,M,1099462,EUR,1012780800,F,18,18,False,44.0,36.0,5.0,3.0,17.0,19.0,19.0,35.0,,6.0,,,,,90.0,66.0,6.6,23.0,0.255957,3,,10.0,2.0,1.0,8.0,1.0,,,,,3.0,1.0477,,,,1.0,,2.0,,,,,3.0,,1.0,3.0,1.1118,1.0,,,,,,,,,,,
11369955,home,Sint-Truidense VV,Kahveh Zahiroleslam,Kahveh Zahiroleslam,,kahveh-zahiroleslam,K. Zahiroleslam,F,18,193,237,M,1519355,EUR,1023926400,F,15,15,False,14.0,9.0,,,3.0,4.0,6.0,10.0,2.0,3.0,,,,,90.0,22.0,6.6,7.0,0.0494203,2,,,4.0,,6.0,2.0,,1.0,,,1.0,0.1907,,,,1.0,,1.0,2.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,,
11369955,home,Sint-Truidense VV,Rihito Yamamoto,,,rihito-yamamoto,R. Yamamoto,M,6,179,455,M,1030211,EUR,1008115200,F,6,6,False,24.0,22.0,,,7.0,7.0,16.0,21.0,,3.0,,,,,88.0,38.0,7.2,8.0,0.0654385,0,,4.0,1.0,,2.0,4.0,,,1.0,1.0,1.0,,1.0,,,1.0,,3.0,3.0,,,,,,,,,,,,,,,,,,,,
11369955,home,Sint-Truidense VV,Ryotaro Ito,Ryotaro,Ito,ryotaro-ito,R. Ito,M,13,174,672,M,831697,EUR,886723200,F,13,13,True,10.0,9.0,,,2.0,3.0,7.0,8.0,,,,,,,27.0,14.0,7.1,2.0,0.0159123,2,,1.0,,,,1.0,,1.0,1.0,1.0,,0.4387,,,,,,,,,,,,,1.0,1.0,0.1541,,,1.0,,,,,,,,,
