match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_aerialWon,stat_duelWon,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,captain,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_totalCross,stat_duelLost,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_accurateCross,stat_blockedScoringAttempt,stat_fouls,stat_aerialLost,stat_challengeLost,stat_wonContest,stat_onTargetScoringAttempt,stat_punches,stat_goals,stat_totalOffside,stat_goalAssist,stat_bigChanceMissed,stat_hitWoodwork,stat_bigChanceCreated
10886834,home,Bristol Rovers,James Belshaw,james-belshaw,J. Belshaw,G,31,191.0,24,M,47310,EUR,653270400,G,1,1,False,29.0,21.0,12.0,4.0,17.0,19.0,4.0,10.0,1.0,10.0,1.0,3.0,2.0,2.0,90.0,42.0,6.5,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10886834,home,Bristol Rovers,Bobby Thomas,thomas-bobby,B. Thomas,D,4,186.0,250,M,1033352,EUR,980812800,D,37,37,False,42.0,35.0,4.0,4.0,17.0,22.0,18.0,20.0,4.0,2.0,,,,,45.0,54.0,6.8,9.0,0,,,1.0,3.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
10886834,home,Bristol Rovers,James Connolly,james-connolly,J. Connolly,D,18,,21,M,1014508,EUR,1004659200,D,2,2,False,90.0,76.0,18.0,11.0,39.0,43.0,37.0,47.0,3.0,6.0,,,,,90.0,96.0,6.8,14.0,0,James,Connolly,1.0,3.0,1.0,,,2.0,True,,,,,,,,,,,,,,,,,,,,,,
10886834,home,Bristol Rovers,Lewis Gibson,lewis-gibson,L. Gibson,D,19,186.0,80,M,867443,EUR,963964800,D,17,17,False,68.0,59.0,10.0,5.0,35.0,38.0,24.0,30.0,1.0,7.0,,,,,90.0,86.0,7.1,11.0,0,,,1.0,7.0,,3.0,1.0,4.0,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
10886834,home,Bristol Rovers,Scott Sinclair,scott-sinclair,S. Sinclair,M,,177.0,101,M,24055,EUR,606787200,M,7,7,False,30.0,27.0,,,9.0,11.0,18.0,21.0,,,,,,,90.0,42.0,6.3,11.0,1,,,,1.0,1.0,,3.0,,,1.0,,,2.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,
10886834,home,Bristol Rovers,Antony Evans,antony-evans,A. Evans,M,21,186.0,67,M,867858,EUR,906508800,M,21,21,False,34.0,29.0,5.0,2.0,12.0,12.0,18.0,26.0,2.0,5.0,,,,,45.0,47.0,6.9,8.0,3,,,3.0,3.0,1.0,1.0,,,,,,1.0,4.0,1.0,,,2.0,1.0,1.0,1.0,,,,,,,,,,,
10886834,home,Bristol Rovers,Glenn Whelan,glenn-whelan,G. Whelan,M,,180.0,26,,10535,EUR,442800000,M,25,25,False,36.0,31.0,5.0,3.0,12.0,16.0,19.0,20.0,1.0,3.0,,,,,45.0,40.0,6.4,5.0,0,,,2.0,2.0,,,,,,,,,,2.0,,,,,,,1.0,1.0,,,,,,,,,
10886834,home,Bristol Rovers,Lewis Gordon,lewis-gordon,L. Gordon,D,19,172.0,21,M,1020222,EUR,981936000,M,3,3,False,20.0,18.0,1.0,1.0,7.0,7.0,11.0,16.0,,1.0,,,,,45.0,34.0,6.4,8.0,0,,,1.0,2.0,,1.0,1.0,,,1.0,1.0,,3.0,3.0,,,,,,,2.0,1.0,,,,,,,,,
10886834,home,Bristol Rovers,Aaron Collins,aaron-collins,A. Collins,F,10,178.0,138,M,606218,EUR,864691200,F,10,10,False,34.0,28.0,2.0,2.0,7.0,7.0,21.0,28.0,,3.0,,,,,90.0,56.0,6.5,17.0,4,,,,3.0,,,4.0,1.0,,,,1.0,1.0,7.0,,7.0,2.0,,2.0,1.0,1.0,,2.0,,,,,,,,
10886834,home,Bristol Rovers,Josh Coburn,josh-coburn,J. Coburn,F,19,193.0,135,M,1010009,EUR,1039132800,F,40,40,False,22.0,15.0,,,5.0,5.0,11.0,20.0,1.0,1.0,,,,,90.0,35.0,6.6,14.0,1,,,3.0,5.0,,,1.0,1.0,,1.0,,1.0,3.0,4.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,
10886834,home,Bristol Rovers,Ryan Loft,ryan-loft,R. Loft,F,21,190.0,21,M,865666,EUR,874195200,F,18,18,False,14.0,9.0,1.0,1.0,3.0,3.0,6.0,11.0,2.0,4.0,,,,,66.0,29.0,6.9,9.0,1,,,,6.0,,,3.0,3.0,,2.0,2.0,,,2.0,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,,,
10886834,home,Bristol Rovers,James Gibbons,james-gibbons,J. Gibbons,D,26,174.0,14,M,845492,EUR,890006400,D,28,28,True,38.0,27.0,4.0,,13.0,15.0,17.0,28.0,,5.0,,,,,45.0,57.0,6.8,15.0,0,,,,1.0,,,1.0,,,1.0,1.0,2.0,5.0,1.0,,,,3.0,,,1.0,,,,,,,,,,
10886834,home,Bristol Rovers,Luke McCormick,luke-mccormick,L. McCormick,M,8,180.0,49,M,901840,EUR,916876800,M,23,23,True,21.0,19.0,1.0,,7.0,9.0,13.0,13.0,,3.0,,,,,45.0,27.0,6.7,3.0,1,,,,1.0,,,1.0,,,1.0,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,
10886834,home,Bristol Rovers,Sam Finley,sam-finley,S. Finley,M,8,170.0,13,M,222820,EUR,712886400,M,6,6,True,29.0,23.0,6.0,4.0,5.0,7.0,19.0,24.0,2.0,3.0,,,,,45.0,41.0,7.2,8.0,2,Sam,Finley,,2.0,,1.0,,,,2.0,1.0,2.0,2.0,1.0,1.0,,,1.0,1.0,,,,,1.0,,,,,,,
10886834,home,Bristol Rovers,Trevor Clarke,trevor-clarke,T. Clarke,M,18,175.0,22,M,834232,EUR,890870400,D,20,20,True,11.0,9.0,2.0,,4.0,4.0,7.0,13.0,,2.0,,,,,45.0,28.0,6.9,9.0,1,,,1.0,2.0,,,1.0,,,1.0,,2.0,6.0,2.0,,,,2.0,1.0,1.0,1.0,,,,,,,,,,
10886834,home,Bristol Rovers,Harvey Saunders,harvey-saunders,H. Saunders,F,15,180.0,25,M,987019,EUR,869356800,F,22,22,True,2.0,2.0,,,,,2.0,4.0,,,,,,,24.0,8.0,6.8,3.0,3,,,,,,,1.0,,,,,1.0,2.0,2.0,,,1.0,,1.0,,2.0,,,1.0,,,,,,,
