match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialLost,stat_interceptionWon,stat_fouls,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_outfielderBlock,stat_expectedGoals,stat_keyPass,stat_challengeLost,stat_accurateCross,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,stat_goals,stat_blockedScoringAttempt
12117102,home,Cuiabá,Walter,walter,Walter,G,22,188,774,M,329055,EUR,564192000,G,1,1,False,True,21.0,16.0,12.0,7.0,0.0,10.0,11.0,6.0,10.0,1.0,6.0,1.0,4.0,1.0,90.0,31.0,7.4,6.0,0.00088856,0,0.1972,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117102,home,Cuiabá,Matheus Alexandre,matheus-alexandre,M. Alexandre,D,33,188,291,M,953736,EUR,923443200,D,2,2,False,,22.0,13.0,2.0,,0.0,7.0,13.0,6.0,10.0,5.0,2.0,,,,90.0,51.0,6.9,19.0,0.00236174,0,,,,1.0,5.0,1.0,8.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,
12117102,home,Cuiabá,Marllon,marllon,Marllon,D,3,184,365,M,221206,EUR,703382400,D,4,4,False,,32.0,27.0,5.0,3.0,0.0,19.0,21.0,8.0,11.0,7.0,4.0,,,,90.0,48.0,7.4,6.0,0.00770857,0,,,,,6.0,,9.0,,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,
12117102,home,Cuiabá,Bruno Alves,bruno-alves,B. Alves,D,3,184,261,M,551810,EUR,671760000,D,34,34,False,,38.0,30.0,7.0,3.0,0.0,22.0,25.0,8.0,14.0,4.0,1.0,,,,90.0,48.0,6.7,9.0,0.141788,0,,,,1.0,3.0,2.0,6.0,,2.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,
12117102,home,Cuiabá,Ramon,ramon,Ramon,D,13,176,862,M,980761,EUR,984441600,D,23,23,False,,28.0,20.0,5.0,2.0,0.0,15.0,17.0,5.0,12.0,2.0,5.0,,,,90.0,51.0,6.8,17.0,0.00674782,1,,,,1.0,,3.0,3.0,1.0,2.0,1.0,,,,1.0,1.0,2.0,1.0,1.0,1.0,0.0077,1.0,,,,,,,
12117102,home,Cuiabá,Filipe Augusto,filipe-augusto,Filipe Augusto,M,6,182,119,M,254561,EUR,745113600,M,5,5,False,,20.0,15.0,,,0.0,10.0,13.0,5.0,7.0,1.0,2.0,,,,62.0,26.0,6.3,7.0,0.00688963,0,,,,,1.0,6.0,3.0,1.0,1.0,,1.0,1.0,2.0,1.0,4.0,,,,,,,,,,,,,
12117102,home,Cuiabá,Lucas Mineiro,lucas-mineiro,L. Mineiro,M,8,188,116,M,840077,EUR,825120000,M,30,30,False,,18.0,14.0,,,0.0,9.0,11.0,5.0,7.0,4.0,2.0,,,,90.0,27.0,6.4,6.0,0.00457422,0,,,,,,5.0,,,,,2.0,,1.0,,4.0,,,,2.0,,,1.0,,,,,,
12117102,home,Cuiabá,Denilson,denilson,Denilson,M,8,180,370,M,1175760,EUR,985305600,M,27,27,False,,28.0,22.0,,,0.0,9.0,11.0,13.0,17.0,1.0,3.0,,,,86.0,35.0,7.0,6.0,0.0122464,0,,Denilson,,,,1.0,5.0,,1.0,1.0,,1.0,1.0,,,3.0,3.0,,,,,,,,,,,
12117102,home,Cuiabá,Railan,railan,Railan,M,2,185,87,M,1047213,EUR,952646400,F,21,21,False,,13.0,10.0,1.0,1.0,1.0,3.0,6.0,9.0,9.0,,4.0,,,,62.0,25.0,7.2,6.0,0.0442404,0,,,,2.0,1.0,3.0,3.0,1.0,,,1.0,1.0,2.0,2.0,,1.0,1.0,,1.0,,2.0,,2.0,,,,,
12117102,home,Cuiabá,Isidro Pitta,isidro-pitta,I. Pitta,F,9,183,1815,M,979861,EUR,934588800,F,9,9,False,,20.0,9.0,2.0,,0.0,4.0,6.0,5.0,16.0,2.0,5.0,,,,86.0,41.0,6.4,21.0,0.00435835,1,,,,2.0,1.0,8.0,5.0,4.0,,,2.0,3.0,1.0,,,3.0,1.0,,,0.0216,,1.0,,1.0,1.0,0.0827,,
