match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_ownGoals,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_clearanceOffLine,stat_interceptionWon,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_errorLeadToAShot,stat_totalOffside,captain,stat_goalAssist,stat_errorLeadToAGoal,stat_goals,stat_bigChanceMissed,stat_penaltyWon,stat_penaltyFaced,stat_hitWoodwork,stat_penaltyConceded
11451060,home,Kasımpaşa,Andreas Gianniotis,andreas-gianniotis,A. Gianniotis,G,1,190.0,177,M,236746,EUR,724636800,G,1,1,False,22.0,16.0,9.0,3.0,15.0,17.0,1.0,5.0,1.0,1.0,1.0,13.0,4.0,1.0,2.0,1.0,90.0,39.0,6.3,7.0,0.00020705,0,-1.6522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451060,home,Kasımpaşa,Cláudio Winck,claudio-winck,C. Winck,D,2,183.0,184,M,155998,EUR,766368000,D,2,2,False,37.0,28.0,6.0,1.0,12.0,13.0,18.0,31.0,6.0,2.0,3.0,7.0,,,,,90.0,64.0,6.6,16.0,0.182044,1,,7.0,2.0,1.0,2.0,8.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0241,3.0,,,,,,,,,,,,,,,,,,,,,,
11451060,home,Kasımpaşa,Kenneth Omeruo,kenneth-omeruo,K. Omeruo,D,,185.0,571,M,158293,EUR,750816000,D,4,4,False,76.0,65.0,12.0,4.0,32.0,34.0,33.0,42.0,,,4.0,11.0,,,,,90.0,84.0,6.3,12.0,0.0275259,0,,,,,1.0,2.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11451060,home,Kasımpaşa,Sadık Çiftpınar,sadik-ciftpinar,S. Çiftpınar,D,5,181.0,71,M,111811,EUR,725846400,D,5,5,False,32.0,27.0,3.0,3.0,20.0,22.0,7.0,10.0,,,,2.0,,,,,45.0,36.0,6.3,5.0,0.00517576,1,,,,,3.0,3.0,,,,,,,,,0.0974,,,,1.0,1.0,1.0,0.0313,,,,,,,,,,,,,,,,
11451060,home,Kasımpaşa,Yasin Özcan,yasin-ozcan,Y. Özcan,D,58,185.0,1802,M,1392102,EUR,1145491200,D,58,58,False,53.0,48.0,3.0,1.0,29.0,32.0,19.0,24.0,5.0,3.0,1.0,10.0,,,,,90.0,81.0,7.5,9.0,0.054936,2,,3.0,,2.0,2.0,12.0,,2.0,2.0,1.0,6.0,4.0,2.0,,0.0988,2.0,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,
11451060,home,Kasımpaşa,Gökhan Gül,gokhan-gul,G. Gül,M,17,180.0,107,M,797820,EUR,900633600,M,6,6,False,65.0,51.0,5.0,2.0,28.0,31.0,23.0,35.0,2.0,1.0,,8.0,,,,,87.0,73.0,7.0,16.0,0.219564,1,,1.0,,1.0,4.0,5.0,,,,,,,1.0,,0.0166,1.0,,,,,,,1.0,,2.0,1.0,1.0,,,,,,,,,,,
11451060,home,Kasımpaşa,Mortadha Ben Ouanes,mortadha-ben-ouanes,M. B. Ouanes,M,12,182.0,1246,M,919225,EUR,773107200,M,12,12,False,33.0,29.0,2.0,2.0,12.0,12.0,17.0,24.0,5.0,,1.0,4.0,,,,,90.0,63.0,6.7,15.0,0.0688163,2,,3.0,,1.0,2.0,7.0,3.0,4.0,3.0,,2.0,,,1.0,0.1851,,,,2.0,,,0.8594,,,,,4.0,1.0,1.0,,,,,,,,,
11451060,home,Kasımpaşa,Haris Hajradinović,haris-hajradinovic,H. Hajradinović,M,10,179.0,1215,M,254979,EUR,761529600,M,10,10,False,56.0,44.0,7.0,7.0,10.0,13.0,36.0,49.0,3.0,,1.0,6.0,,,,,90.0,80.0,7.5,19.0,0.561033,2,,6.0,2.0,,,5.0,2.0,1.0,1.0,1.0,2.0,,2.0,1.0,0.0661,5.0,,,1.0,,,0.0247,,,1.0,1.0,,,,True,1.0,1.0,,,,,,
11451060,home,Kasımpaşa,Aytaç Kara,aytac-kara,A. Kara,M,35,188.0,161,M,128196,EUR,732844800,M,35,35,False,45.0,35.0,4.0,2.0,11.0,12.0,25.0,38.0,7.0,3.0,2.0,6.0,,,,,90.0,73.0,7.5,19.0,0.118166,4,,5.0,1.0,,1.0,5.0,4.0,,,2.0,1.0,,3.0,,0.9446,1.0,,,2.0,,,1.3534,,,,,,,,,,,1.0,,,,,
11451060,home,Kasımpaşa,Mamadou Fall,mamadou-fall,M. Fall,M,7,184.0,380,M,822228,EUR,694137600,M,7,7,False,24.0,13.0,1.0,,2.0,5.0,11.0,19.0,3.0,1.0,,1.0,,,,,90.0,35.0,7.8,15.0,0.29242,2,,,,,1.0,6.0,,4.0,2.0,,,,3.0,,0.2042,2.0,,,2.0,,,0.7647,,,,1.0,2.0,,1.0,,,,1.0,1.0,1.0,,,
