match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_duelLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_totalCross,stat_accurateCross,stat_outfielderBlock,stat_fouls,stat_keyPass,stat_challengeLost,stat_totalContest,stat_wonContest,captain,stat_shotOffTarget,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_goals,stat_totalOffside,stat_dispossessed,stat_hitWoodwork
12773661,home,Arminia Bielefeld,Jonas Thomas Kersken,,,jonas-thomas-kersken,J. T. Kersken,G,1,192,151,M,951531,EUR,967766400,G,1,1,False,35.0,19.0,26.0,10.0,0.0,10.0,11.0,9.0,24.0,1.0,1.0,1.0,13.0,1.0,5.0,5.0,1.0,90.0,49.0,8.1,18.0,0,,,,,,,,,,,,,,,,,,,,,,,,
12773661,home,Arminia Bielefeld,Maximilian Großer,,,maximilian-grosser,M. Großer,D,19,192,75,M,1014486,EUR,995846400,D,19,19,False,35.0,27.0,10.0,5.0,0.0,21.0,25.0,6.0,10.0,4.0,6.0,9.0,1.0,1.0,,,,90.0,53.0,7.5,10.0,0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12773661,home,Arminia Bielefeld,Stefano Russo,,,russo-stefano,S. Russo,M,21,183,87,M,984804,EUR,962236800,D,21,21,False,32.0,23.0,6.0,1.0,0.0,19.0,22.0,6.0,13.0,1.0,2.0,4.0,1.0,,,,,90.0,53.0,7.7,11.0,0,3.0,4.0,4.0,1.0,1.0,,3.0,2.0,2.0,1.0,3.0,,,,,,,,,,,,,
12773661,home,Arminia Bielefeld,Leon Schneider,,,leon-schneider,L. Schneider,D,23,184,20,M,901416,EUR,961372800,D,23,23,False,24.0,17.0,9.0,3.0,0.0,15.0,17.0,2.0,7.0,2.0,4.0,5.0,1.0,1.0,,,,90.0,38.0,7.3,8.0,0,2.0,4.0,1.0,1.0,1.0,,,,3.0,,,2.0,,,,,,,,,,,,
12773661,home,Arminia Bielefeld,Christopher Lannert,,,christopher-lannert,C. Lannert,D,24,180,18,M,886258,EUR,897264000,M,24,24,False,13.0,10.0,3.0,2.0,0.0,4.0,4.0,6.0,10.0,,3.0,,3.0,1.0,,,,65.0,31.0,6.7,5.0,0,,3.0,,2.0,1.0,1.0,1.0,,,1.0,,2.0,,,,,,,,,,,,
12773661,home,Arminia Bielefeld,Sam Schreck,,,sam-schreck,S. Schreck,M,8,180,66,M,836708,EUR,917568000,M,8,8,False,26.0,15.0,5.0,,0.0,9.0,12.0,6.0,15.0,,6.0,3.0,6.0,2.0,,,,89.0,42.0,6.9,12.0,0,1.0,3.0,1.0,3.0,2.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,
12773661,home,Arminia Bielefeld,Mael Corboz,,,mael-corboz,M. Corboz,M,6,180,68,M,829211,EUR,778809600,M,6,6,False,18.0,11.0,6.0,1.0,0.0,7.0,9.0,4.0,10.0,,3.0,1.0,2.0,1.0,,,,90.0,26.0,6.8,8.0,1,2.0,4.0,2.0,2.0,2.0,,1.0,,,,,2.0,,,True,1.0,,,,,,,,
12773661,home,Arminia Bielefeld,Louis Oppie,,,louis-oppie,L. Oppie,D,23,184,183,M,1137900,EUR,1021593600,M,4,4,False,17.0,10.0,4.0,1.0,0.0,6.0,9.0,4.0,11.0,,1.0,8.0,2.0,1.0,,,,90.0,43.0,6.5,12.0,4,1.0,3.0,,,,,3.0,,,1.0,,,1.0,,,2.0,1.0,1.0,1.0,,,,,
12773661,home,Arminia Bielefeld,Lukas Kunze,,,lukas-kunze,L. Kunze,M,13,189,31,M,892527,EUR,897782400,F,13,13,False,8.0,7.0,,,0.0,2.0,2.0,6.0,7.0,,2.0,,,1.0,,,,65.0,14.0,6.8,2.0,1,3.0,4.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,
12773661,home,Arminia Bielefeld,Marius Wörl,Marius Worl,,marius-worl,M. Wörl,M,38,178,231,M,1387705,EUR,1081123200,F,38,38,False,20.0,15.0,2.0,,1.0,4.0,6.0,12.0,15.0,1.0,5.0,1.0,7.0,2.0,,,,79.0,34.0,8.8,5.0,1,,1.0,4.0,2.0,2.0,,1.0,1.0,,,3.0,1.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,
