match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,isHome,incidentClass,player_id,player_name,length,injury,playerName,rescinded,reason,from
11155330,FT,1.0,5.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
11155330,,1.0,5.0,,90,6.0,,1,,,goal,168814577.0,False,regular,935543.0,Dwight McNeil,,,,,,
11155330,,,,,90,0.0,,1,,,injuryTime,,,,,,6.0,,,,,
11155330,,,,,87,,,4,,,substitution,121767160.0,False,regular,,,,False,,,,
11155330,,,,,87,,,4,,,substitution,121767159.0,False,regular,,,,False,,,,
11155330,,1.0,4.0,,79,,,12,,,goal,168814478.0,True,regular,895324.0,Alexis Mac Allister,,,,,,
11155330,,,,,78,,,13,,,substitution,121767129.0,True,injury,,,,True,,,,
11155330,,0.0,4.0,,76,,,15,,,goal,168814460.0,False,regular,935543.0,Dwight McNeil,,,,,,
11155330,,,,,56,,,35,,,card,120754843.0,False,yellow,96535.0,Abdoulaye Doucouré,,,Abdoulaye Doucouré,False,,
11155330,,,,,46,,,45,,,substitution,121767013.0,True,regular,,,,False,,,,
11155330,,,,,46,,,45,,,substitution,121767012.0,True,regular,,,,False,,,,
11155330,,,,,46,,,45,,,substitution,121767011.0,True,regular,,,,False,,,,
11155330,,,,,46,,,45,,,substitution,121767002.0,True,regular,,,,False,,,,
11155330,HT,0.0,3.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
11155330,,,,,45,3.0,,1,,,card,120754787.0,False,yellow,372344.0,Dominic Calvert-Lewin,,,Dominic Calvert-Lewin,False,Foul,
11155330,,,,,45,0.0,,1,,,injuryTime,,,,,,3.0,,,,,
11155330,,0.0,3.0,,35,,,11,,,goal,168814172.0,False,ownGoal,31867.0,Jason Steele,,,,,,owngoal
11155330,,0.0,2.0,,29,,,17,,,goal,168814145.0,False,regular,96535.0,Abdoulaye Doucouré,,,,,,
11155330,,,,,25,,,21,,,card,120754746.0,False,yellow,106337.0,Idrissa Gueye,,,Idrissa Gueye,False,Foul,
11155330,,,,,21,,,25,,,card,120754738.0,True,yellow,115365.0,Lewis Dunk,,,Lewis Dunk,False,Foul,
11155330,,,,,18,,,28,,,card,120754734.0,False,yellow,360396.0,Yerry Mina,,,Yerry Mina,False,Time wasting,
11155330,,0.0,1.0,,1,,,45,,,goal,168814096.0,False,regular,96535.0,Abdoulaye Doucouré,,,,,,
11155330,,,,,-5,,,6,,,card,120754891.0,False,yellow,923973.0,Amadou Onana,,,Amadou Onana,False,,
