match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_duelLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_aerialLost,stat_challengeLost,stat_blockedScoringAttempt,stat_keyPass,captain,stat_shotOffTarget,stat_unsuccessfulTouch,stat_totalContest,stat_outfielderBlock,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_wonContest,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_goodHighClaim,stat_hitWoodwork,stat_clearanceOffLine
10913357,home,Al-Fateh,Jacob Rinne,,,jacob-rinne,J. Rinne,G,35,188.0,92,M,289025,EUR,740534400,G,1,1,False,14.0,12.0,7.0,5.0,9.0,10.0,3.0,4.0,1.0,1.0,1.0,7.0,2.0,3.0,1.0,90.0,24.0,5.3,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10913357,home,Al-Fateh,Ziyad Aljari,Ziyad Aljari,,ziyad-aljari,Z. Aljari,D,4,182.0,17,M,1049202,EUR,1005782400,D,3,3,False,23.0,20.0,,,10.0,12.0,10.0,11.0,1.0,3.0,,1.0,,,,42.0,30.0,6.5,3.0,0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10913357,home,Al-Fateh,Qasim Lajami,,,qasim-al-oujami,Q. Lajami,D,87,178.0,103,M,818668,EUR,830390400,D,87,87,False,56.0,48.0,11.0,8.0,26.0,27.0,22.0,29.0,2.0,3.0,1.0,6.0,,,,79.0,61.0,6.3,8.0,1,2.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10913357,home,Al-Fateh,Amaar Al Dohaim,,,amaar-al-dohaim,A. A. Dohaim,D,24,175.0,13,M,803055,EUR,746755200,D,24,24,False,75.0,66.0,10.0,7.0,35.0,37.0,31.0,38.0,3.0,3.0,1.0,7.0,,,,90.0,82.0,6.2,9.0,0,4.0,2.0,,,,2.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,
10913357,home,Al-Fateh,Salem Alnajdi,,,alnajdi-salem,S. Alnajdi,D,83,178.0,1037,M,1475427,EUR,1043625600,D,83,83,False,18.0,17.0,,,13.0,13.0,4.0,5.0,,,1.0,1.0,,,,42.0,21.0,6.2,1.0,0,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
10913357,home,Al-Fateh,Mohammed Al-Fuhaid,,,mohammed-al-fuhaid,M. Al-Fuhaid,M,28,171.0,10,M,818616,EUR,631843200,M,14,14,False,23.0,21.0,,,11.0,11.0,10.0,12.0,1.0,5.0,2.0,2.0,,,,41.0,31.0,6.9,3.0,1,1.0,,4.0,4.0,,1.0,,,,,True,1.0,1.0,,,,,,,,,,,,,,,
10913357,home,Al-Fateh,Mohammed Petros,,,petros,Petros,M,,182.0,273,M,552678,EUR,612403200,M,6,6,False,69.0,64.0,3.0,3.0,21.0,24.0,43.0,45.0,,4.0,,8.0,,,,90.0,81.0,6.9,6.0,0,4.0,,3.0,1.0,1.0,2.0,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,
10913357,home,Al-Fateh,Mourad Batna,,,batna-mourad,M. Batna,M,11,185.0,1192,M,880790,EUR,646444800,M,11,11,False,36.0,29.0,2.0,1.0,5.0,6.0,26.0,38.0,,5.0,,1.0,,,,90.0,65.0,6.9,19.0,2,6.0,,,,2.0,1.0,2.0,1.0,,1.0,,,4.0,4.0,,1.0,8.0,2.0,1.0,3.0,1.0,1.0,2.0,,,,,
10913357,home,Al-Fateh,Sofiane Bendebka,,,sofiane-bendebka,S. Bendebka,M,28,180.0,1218,M,845609,EUR,713318400,M,28,28,False,52.0,41.0,8.0,7.0,22.0,24.0,19.0,29.0,4.0,12.0,,8.0,,,,90.0,69.0,7.1,15.0,2,2.0,,3.0,2.0,5.0,,1.0,,1.0,,,1.0,1.0,,,,1.0,,1.0,,,1.0,,,,,,
10913357,home,Al-Fateh,Cristian Tello,,,cristian-tello,C. Tello,M,,178.0,644,M,114157,EUR,681868800,M,37,37,False,49.0,46.0,8.0,8.0,12.0,12.0,35.0,47.0,,4.0,,4.0,,,,90.0,72.0,6.9,15.0,3,3.0,1.0,,,,,,2.0,1.0,1.0,,1.0,2.0,4.0,,,10.0,1.0,1.0,4.0,1.0,1.0,1.0,,,,,
