match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialWon,stat_duelWon,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_errorLeadToAShot,captain,stat_aerialLost,stat_bigChanceCreated,stat_wasFouled,stat_keyPass,stat_accurateCross,stat_dispossessed,stat_blockedScoringAttempt,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,player_sofascoreId,stat_totalOffside,stat_clearanceOffLine,stat_outfielderBlock,stat_goalAssist,stat_goals
10390083,home,Clermont Foot,Mory Diaw,mory-diaw,M. Diaw,G,99,197,3450,M,580226,EUR,740707200,G,99,99,False,34.0,28.0,13.0,8.0,25.0,29.0,3.0,5.0,1.0,1.0,1.0,7.0,1.0,2.0,2.0,90.0,42.0,5.0,6.0,0.0,0.0,0.00056831,0,-2.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10390083,home,Clermont Foot,Cheick Konaté,cheick-konate,C. Konaté,D,22,173,567,M,1469500,EUR,1080864000,D,15,15,False,35.0,23.0,4.0,,14.0,18.0,9.0,18.0,5.0,2.0,2.0,6.0,,,,90.0,62.0,6.0,17.0,0.0,0.0,0.003408,0,,Cheick Konate,,1.0,1.0,6.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,
10390083,home,Clermont Foot,Mateusz Wieteska,mateusz-wieteska,M. Wieteska,D,4,187,1515,M,286087,EUR,855619200,D,4,4,False,63.0,53.0,7.0,2.0,41.0,46.0,12.0,17.0,1.0,,3.0,7.0,1.0,,,90.0,73.0,5.5,11.0,0.7547,0.9244,0.00594815,2,,,,,2.0,3.0,,,3.0,1.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10390083,home,Clermont Foot,Florent Ogier,florent-ogier,F. Ogier,D,69,182,26,M,122943,EUR,606441600,D,21,21,False,50.0,43.0,7.0,1.0,36.0,38.0,7.0,12.0,3.0,1.0,3.0,3.0,,,,90.0,60.0,6.0,10.0,0.0,0.0,0.00205666,0,,,,,1.0,3.0,1.0,,1.0,1.0,1.0,2.0,,,,,,,True,1.0,1.0,1.0,1.0,,,,,,,,,,,,
10390083,home,Clermont Foot,Jim Allevinah,jim-allevinah,J. Allevinah,M,18,172,920,M,988632,EUR,793843200,M,11,11,False,29.0,24.0,2.0,1.0,12.0,13.0,13.0,20.0,6.0,4.0,3.0,6.0,,,,90.0,56.0,6.2,12.0,0.2535,0.3554,0.0424356,1,,,,4.0,1.0,7.0,,,1.0,3.0,2.0,1.0,,1.0,,1.0,,,,,,3.0,,1.0,2.0,,,,,,,,,,
10390083,home,Clermont Foot,Yohann Magnin,yohann-magnin,Y. Magnin,M,8,183,60,M,942840,EUR,866851200,M,7,7,False,61.0,55.0,3.0,2.0,33.0,34.0,22.0,27.0,15.0,7.0,,5.0,,,,90.0,67.0,6.0,6.0,0.0,0.0,0.0835984,0,,,,,,5.0,1.0,1.0,,2.0,2.0,,6.0,,,,,,,2.0,,2.0,2.0,,,,,,,,,,,,
10390083,home,Clermont Foot,Maxime Gonalons,maxime-gonalons,M. Gonalons,M,,186,154,M,82555,EUR,605491200,M,12,12,False,29.0,28.0,2.0,2.0,17.0,18.0,11.0,11.0,2.0,2.0,,,1.0,,,62.0,35.0,6.1,2.0,0.0,0.0,0.0321691,0,,,,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,
10390083,home,Clermont Foot,Neto Borges,neto-borges,N. Borges,D,21,183,239,M,920008,EUR,842572800,M,3,3,False,33.0,29.0,3.0,1.0,20.0,23.0,9.0,10.0,3.0,,,2.0,,,,90.0,44.0,6.5,6.0,0.0,0.0,0.231914,0,,,,,,2.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,
10390083,home,Clermont Foot,Muhammed-Cham Saračević,muhammed-cham-saracevic,M. Cham-Saračević,M,10,180,998,M,958901,EUR,969926400,F,70,70,False,33.0,28.0,2.0,1.0,19.0,20.0,10.0,14.0,4.0,1.0,,3.0,,,,62.0,39.0,6.5,8.0,0.0219,0.0267,0.0706884,1,,,,1.0,,,,,1.0,,,,1.0,,,1.0,,,,,,,,1.0,2.0,,,,,,,,,,
10390083,home,Clermont Foot,Aïman Maurer,aiman-maurer,A. Maurer,M,29,173,360,M,1146941,EUR,1096070400,F,22,22,False,15.0,11.0,1.0,,5.0,7.0,8.0,11.0,5.0,,,4.0,,,,77.0,28.0,6.1,11.0,0.1054,0.0,0.133526,1,,,,3.0,1.0,3.0,5.0,1.0,1.0,,,,,1.0,,1.0,,,,,,1.0,1.0,2.0,1.0,,,,,,,,,,
