match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_outfielderBlock,stat_totalOffside,stat_challengeLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_interceptionWon,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_dispossessed,stat_wonTackle,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_goals
11450129,home,Çaykur Rizespor,Gökhan Akkan,gokhan-akkan,G. Akkan,G,22,188,109,M,225012,EUR,788918400,G,23,23,False,True,32.0,20.0,19.0,7.0,0.0,16.0,21.0,4.0,11.0,10.0,1.0,2.0,3.0,90.0,40.0,7.3,13.0,0.00218463,0,0.2794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450129,home,Çaykur Rizespor,Taha Şahin,taha-sahin,T. Şahin,D,37,178,238,M,1394729,EUR,972172800,D,37,37,False,,32.0,22.0,7.0,1.0,0.0,9.0,12.0,14.0,22.0,2.0,,,,90.0,55.0,6.9,14.0,0.0432456,0,,Taha Sahin,,2.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,
11450129,home,Çaykur Rizespor,Attila Mocsi,attila-mocsi,A. Mocsi,D,4,188,454,M,889382,EUR,959558400,D,4,4,False,,29.0,23.0,5.0,1.0,0.0,19.0,23.0,4.0,6.0,,,,,90.0,35.0,6.9,6.0,0.0018803,0,,,,,,,1.0,2.0,2.0,,,1.0,,,1.0,2.0,,1.0,1.0,,,,,,,,,,,,
11450129,home,Çaykur Rizespor,Emirhan Topçu,emirhan-topcu,E. Topçu,D,53,188,2617,M,895009,EUR,971222400,D,53,53,False,,37.0,21.0,9.0,1.0,0.0,17.0,25.0,4.0,12.0,2.0,,,,90.0,49.0,6.8,16.0,0.00568046,0,,,,,,3.0,5.0,6.0,8.0,,,6.0,,,3.0,2.0,,,,1.0,,,,,,,,,,,
11450129,home,Çaykur Rizespor,Casper Højer,casper-hojer,C. Højer,D,5,183,148,M,281233,EUR,785289600,D,5,5,False,,19.0,14.0,2.0,1.0,0.0,4.0,6.0,10.0,15.0,5.0,,,,90.0,40.0,7.2,7.0,0.0204338,2,,,,2.0,,,,1.0,,,,2.0,,,,1.0,,,1.0,,1.0,1.0,2.0,0.1691,0.1193,,,,,,
11450129,home,Çaykur Rizespor,Jonjo Shelvey,jonjo-shelvey,J. Shelvey,M,53,185,480,M,36465,EUR,699148800,M,6,6,False,,35.0,25.0,12.0,5.0,0.0,13.0,17.0,12.0,21.0,10.0,,,,89.0,47.0,7.0,15.0,0.0659243,2,,Jonjo,Shelvey,3.0,,,,1.0,,,,2.0,,1.0,,,1.0,1.0,,1.0,1.0,1.0,,0.0755,0.2018,,,,,,
11450129,home,Çaykur Rizespor,Ibrahim Olawoyin,ibrahim-olawoyin,I. Olawoyin,M,10,178,461,M,1008173,EUR,880934400,M,10,10,False,,40.0,30.0,2.0,1.0,0.0,15.0,17.0,16.0,26.0,8.0,,,,90.0,57.0,7.3,14.0,0.159642,1,,,,3.0,1.0,2.0,,4.0,5.0,,,1.0,2.0,1.0,3.0,3.0,1.0,,,,,1.0,1.0,0.0495,0.0283,1.0,,,,,
11450129,home,Çaykur Rizespor,Benhur Keser,benhur-keser,B. Keser,M,77,185,37,M,899402,EUR,846547200,M,7,7,False,,19.0,16.0,,,0.0,6.0,7.0,10.0,14.0,5.0,,,,85.0,38.0,6.4,12.0,0.11046,1,,,,2.0,,3.0,2.0,18.0,7.0,4.0,2.0,3.0,3.0,3.0,,7.0,3.0,,,4.0,1.0,,,0.09,,,2.0,1.0,,,
11450129,home,Çaykur Rizespor,Dal Varešanović,dal-varesanovic,D. Varešanović,M,53,177,341,M,979109,EUR,990576000,M,8,8,False,,25.0,18.0,1.0,1.0,0.0,6.0,7.0,12.0,18.0,6.0,,,,89.0,45.0,7.6,14.0,0.436446,3,,,,,,5.0,1.0,11.0,7.0,2.0,2.0,1.0,1.0,4.0,3.0,2.0,2.0,,,4.0,1.0,1.0,,0.5035,0.3563,1.0,1.0,1.0,1.0,1.0,1.0
11450129,home,Çaykur Rizespor,Altin Zeqiri,zeqiri-altin,A. Zeqiri,M,77,185,141,M,991742,EUR,963878400,M,77,77,False,,15.0,11.0,,,0.0,5.0,5.0,6.0,10.0,5.0,,,,72.0,26.0,6.5,8.0,0.114954,2,,,,,,2.0,,7.0,,2.0,,,,,,2.0,3.0,,,,1.0,1.0,1.0,0.5189,0.6984,,2.0,,1.0,,
