match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_clearanceOffLine,captain,stat_totalCross,stat_accurateCross,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_challengeLost,stat_wonContest,stat_totalOffside,stat_bigChanceCreated,stat_goals,stat_goodHighClaim,stat_goalAssist,player_sofascoreId
10406915,home,KV Kortrijk,Marko Ilić,,,marko-ilic,M. Ilić,G,31,190,336,M,843151,EUR,886464000,G,31,31,False,36.0,23.0,27.0,14.0,12.0,18.0,11.0,18.0,1.0,1.0,2.0,10.0,1.0,2.0,2.0,90.0,47.0,6.8,15.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10406915,home,KV Kortrijk,Oleksii Sych,,,oleksii-sych,O. Sych,D,77,185,128,M,1022525,EUR,986083200,D,6,6,False,33.0,16.0,4.0,,10.0,19.0,6.0,14.0,1.0,3.0,4.0,4.0,,,,90.0,68.0,6.2,27.0,1,1.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,,,,,,,,,,,,,,,
10406915,home,KV Kortrijk,Dorian Dessoleil,,,dorian-dessoleil,D. Dessoleil,D,24,188,42,M,149584,EUR,713145600,D,24,24,False,32.0,25.0,9.0,7.0,19.0,23.0,6.0,9.0,3.0,5.0,14.0,6.0,,,,90.0,59.0,7.6,8.0,0,1.0,3.0,1.0,,,2.0,1.0,1.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,
10406915,home,KV Kortrijk,Aleksandar Radovanović,,,aleksandar-radovanovic,A. Radovanović,D,16,189,129,M,823996,EUR,752976000,D,66,66,False,22.0,15.0,4.0,2.0,9.0,14.0,6.0,8.0,5.0,6.0,4.0,3.0,,,,66.0,36.0,7.0,8.0,0,2.0,5.0,1.0,,,2.0,1.0,1.0,,,,2.0,,1.0,,,,,,,,,,,,,,
10406915,home,KV Kortrijk,Kristof D'Haene,,,kristof-dhaene,K. D'Haene,M,,171,15,,121602,EUR,644630400,D,30,30,False,27.0,19.0,7.0,3.0,7.0,9.0,14.0,24.0,1.0,1.0,4.0,1.0,,,,90.0,60.0,6.7,15.0,0,1.0,2.0,,,,,,,,,,1.0,2.0,,True,6.0,2.0,,,,,,,,,,,
10406915,home,KV Kortrijk,Kevin Vandendriessche,,,kevin-vandendriessche,K. Vandendriessche,D,31,183,10,M,144847,EUR,618451200,M,26,26,False,19.0,12.0,6.0,3.0,4.0,5.0,8.0,14.0,,1.0,1.0,5.0,,,,45.0,27.0,6.6,9.0,0,,2.0,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10406915,home,KV Kortrijk,Tsuyoshi Watanabe,,,tsuyoshi-watanabe,T. Watanabe,D,4,187,1359,M,942213,EUR,855100800,M,4,4,False,40.0,31.0,4.0,1.0,18.0,23.0,13.0,17.0,5.0,10.0,3.0,9.0,,,,90.0,60.0,7.2,12.0,3,1.0,2.0,,1.0,,1.0,1.0,4.0,2.0,2.0,1.0,,,,,,,1.0,1.0,2.0,,,,,,,,
10406915,home,KV Kortrijk,Habib Keita,Habib Keita,,habib-keita,H. Keita,M,8,182,539,M,1082953,EUR,1012867200,M,12,12,False,44.0,28.0,17.0,10.0,16.0,23.0,15.0,24.0,3.0,8.0,2.0,6.0,,,,90.0,67.0,6.9,21.0,0,3.0,11.0,2.0,1.0,,,2.0,,,2.0,6.0,4.0,2.0,,,3.0,3.0,,,,1.0,,,,,,,
10406915,home,KV Kortrijk,Dylan Mbayo,Dylan,Mbayo,dylan-mbayo,D. Mbayo,M,15,175,263,M,923968,EUR,1002758400,F,7,7,False,11.0,7.0,1.0,,4.0,4.0,3.0,7.0,,2.0,,1.0,,,,61.0,21.0,6.2,10.0,1,,6.0,1.0,5.0,1.0,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,
10406915,home,KV Kortrijk,Felipe Avenatti,,,felipe-avenatti,F. Avenatti,F,9,194,144,M,308058,EUR,767318400,F,20,20,False,35.0,21.0,6.0,5.0,4.0,5.0,17.0,30.0,11.0,18.0,2.0,4.0,,,,90.0,52.0,7.0,17.0,1,5.0,8.0,,4.0,1.0,,,1.0,,1.0,5.0,1.0,1.0,,,,,,,,,2.0,,,,,,
