match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,player_firstName,player_lastName,stat_aerialWon,stat_lastManTackle,stat_wonTackle,stat_fouls,stat_challengeLost,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,captain,stat_savedShotsFromInsideTheBox,stat_punches,stat_errorLeadToAShot,stat_bigChanceMissed
14573075,home,Kuopion Palloseura,Piotr Parzyszek,piotr-parzyszek,P. Parzyszek,F,,190,412,M,123875,EUR,747446400,F,9,9,False,18.0,10.0,,,0.0,2.0,3.0,7.0,15.0,,3.0,,,,,90.0,27.0,7.1,12.0,0.0609153,,2,,-0.37,0.0,-0.01,,1.0,,1.0,1.0,4.0,,,,,,,3.0,,0.458,1.0,0.5,,,4.0,,,,,,1.0,1.0,,0.7869,1.0,,,,,
14573075,home,Kuopion Palloseura,Jerry Voutilainen,jerry-voutilainen,J. Voutilainen,M,7,174,14,M,179149,EUR,796435200,M,7,7,True,5.0,4.0,,,0.0,2.0,3.0,2.0,2.0,,,,,,,19.0,7.0,6.6,1.0,0.00500724,,0,,-0.05,,-0.01,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,
14573075,home,Kuopion Palloseura,Paulo Ricardo,paulo-ricardo,P. Ricardo,D,3,186,171,M,576008,EUR,771465600,D,4,4,True,2.0,2.0,1.0,1.0,0.0,2.0,2.0,,,1.0,,,,,,8.0,3.0,6.7,,9.09e-06,,0,,0.01,-0.02,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14573075,home,Kuopion Palloseura,Arttu Lötjönen,arttu-lotjonen,A. Lötjönen,D,23,184,32,M,1047268,EUR,1075248000,D,23,23,True,,,,,0.0,,,,,,,,,,,1.0,1.0,,,,,0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,
14573075,home,Kuopion Palloseura,Samuel Pasanen,samuel-pasanen,S. Pasanen,M,14,173,35,M,1182513,EUR,1136160000,M,14,14,True,2.0,2.0,,,0.0,,,2.0,2.0,,,,,,,1.0,4.0,,1.0,0.00090383,,0,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,
14573075,home,Kuopion Palloseura,Miilo Pitkänen,miilo-pitkanen,M. Pitkänen,G,,177,9,M,1479047,EUR,1151539200,G,37,37,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14573075,home,Kuopion Palloseura,Aatu Hakala,aatu-hakala,A. Hakala,G,1,182,15,M,1025688,EUR,964742400,G,12,12,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14573075,home,Kuopion Palloseura,Saku Savolainen,saku-savolainen,S. Savolainen,D,6,184,31,M,327419,EUR,839894400,F,6,6,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14573075,home,Kuopion Palloseura,Samuli Miettinen,samuli-miettinen,S. Miettinen,D,16,188,110,M,1175899,EUR,1087344000,D,16,16,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,Samuli Miettinen,,,,,,,,,,,,,,,,,
14573075,home,Kuopion Palloseura,Paulius Golubickas,paulius-golubickas,P. Golubickas,M,8,173,177,M,912182,EUR,935020800,M,35,35,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14573075,home,Kuopion Palloseura,Agon Sadiku,agon-sadiku,A. Sadiku,F,29,184,413,M,1047014,EUR,1047254400,F,11,11,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14573075,away,ŠK Slovan Bratislava,Dominik Takáč,dominik-takac,D. Takáč,G,71,195,239,M,886365,EUR,916099200,G,71,71,False,36.0,23.0,19.0,6.0,0.0,19.0,23.0,4.0,13.0,1.0,11.0,1.0,4.0,1.0,1.0,90.0,50.0,6.1,13.0,0.00062032,0.2626,0,-1.0387,0.04,-0.01,-0.2,0.19,,,,,2.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,2.0,1.0,,
14573075,away,ŠK Slovan Bratislava,Kenan Bajrić,kenan-bajric,K. Bajrić,D,12,190,155,M,230932,EUR,787881600,D,12,12,False,56.0,48.0,6.0,3.0,0.0,26.0,30.0,22.0,26.0,6.0,,,,,,90.0,73.0,6.5,9.0,0.0243696,,0,,0.26,0.09,-0.35,,,,,2.0,4.0,,,,,1.0,2.0,,1.0,,,,,,1.0,,,1.0,1.0,,,,1.0,,,,,,,
14573075,away,ŠK Slovan Bratislava,Guram Kashia,guram-kashia,G. Kashia,D,4,185,888,M,43136,EUR,552355200,D,4,4,False,46.0,38.0,9.0,3.0,0.0,28.0,33.0,10.0,13.0,6.0,2.0,,,,,72.0,57.0,6.4,8.0,0.00305671,,0,,0.02,0.01,-0.11,,,,3.0,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,True,,,,
14573075,away,ŠK Slovan Bratislava,Kevin Wimmer,kevin-wimmer,K. Wimmer,D,6,187,138,M,141203,EUR,721785600,D,6,6,False,52.0,38.0,8.0,2.0,0.0,14.0,19.0,20.0,33.0,7.0,3.0,,,,,90.0,75.0,5.8,20.0,0.0979074,,0,,0.13,0.05,-0.3,,5.0,1.0,1.0,3.0,3.0,,,,,,1.0,,,,1.0,,,,2.0,,1.0,2.0,,,,,,,,,,,,
14573075,away,ŠK Slovan Bratislava,César Blackman,cesar-blackman,C. Blackman,D,28,174,601,M,841793,EUR,891475200,M,28,28,False,37.0,31.0,4.0,2.0,0.0,15.0,17.0,14.0,20.0,1.0,4.0,,,,,90.0,57.0,6.5,12.0,0.0686392,,1,,0.27,0.26,-0.1,,3.0,1.0,1.0,4.0,4.0,5.0,3.0,,,1.0,,2.0,,0.0474,,-0.14,,,1.0,,,1.0,,,,,,,1.0,,,,,
14573075,away,ŠK Slovan Bratislava,Danylo Ignatenko,danylo-ignatenko,D. Ignatenko,M,77,189,342,M,793995,EUR,858211200,M,77,77,False,53.0,48.0,5.0,3.0,0.0,28.0,31.0,20.0,22.0,4.0,7.0,,,,,90.0,65.0,6.7,5.0,0.0125318,,0,,0.05,0.08,-0.12,,,,1.0,4.0,2.0,,,,,3.0,2.0,,,,,,,,,,1.0,2.0,1.0,,,,,,,,,,1.0,
