match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_accurateCross,stat_aerialWon,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_outfielderBlock,stat_unsuccessfulTouch,stat_fouls,stat_shotOffTarget,stat_interceptionWon,stat_expectedGoals,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,player_sofascoreId,captain,stat_blockedScoringAttempt,stat_goalAssist,stat_bigChanceCreated,stat_goodHighClaim,stat_totalOffside,stat_bigChanceMissed
11369481,home,Las Palmas,Álvaro Valles,alvaro-valles,Á. Valles,G,1,192,931,M,964983,EUR,869788800,G,13,13,False,50.0,47.0,6.0,3.0,47.0,49.0,2.0,1.0,2.0,1.0,6.0,2.0,2.0,3.0,1.0,1.0,90.0,63.0,7.0,4.0,0.00018828,0,-0.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369481,home,Las Palmas,Marvin Park,park-marvin,M. Park,D,2,177,650,M,960401,EUR,952387200,D,2,2,False,27.0,25.0,3.0,2.0,15.0,15.0,16.0,4.0,5.0,6.0,6.0,1.0,,,,,69.0,46.0,7.2,5.0,0.102794,0,,,,11.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11369481,home,Las Palmas,Alex Suárez,alex-suarez,A. Suárez,D,4,179,259,M,914848,EUR,725846400,D,4,4,False,57.0,52.0,5.0,4.0,43.0,45.0,12.0,,4.0,4.0,4.0,1.0,,,,,90.0,74.0,6.6,8.0,0.00232015,0,,,,9.0,,1.0,,,2.0,2.0,,2.0,6.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,
11369481,home,Las Palmas,Mika Mármol,mika-marmol,M. Mármol,D,3,181,783,M,979146,EUR,993945600,D,15,15,False,78.0,71.0,2.0,,62.0,66.0,13.0,1.0,1.0,7.0,5.0,1.0,,,,,90.0,89.0,6.6,7.0,0.027511,0,,,,10.0,1.0,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,
11369481,home,Las Palmas,Sergi Cardona,sergi-cardona,S. Cardona,D,23,186,1119,M,986245,EUR,932256000,D,3,3,False,46.0,44.0,3.0,2.0,29.0,30.0,19.0,3.0,5.0,2.0,5.0,1.0,,,,,90.0,68.0,6.9,6.0,0.0507686,1,,,,16.0,1.0,1.0,1.0,,3.0,3.0,,,3.0,,,,1.0,2.0,1.0,1.0,0.078,,,,,,,,,,,
11369481,home,Las Palmas,Munir El Haddadi,munir-el-haddadi,M. E. Haddadi,F,17,175,3412,M,350170,EUR,809913600,M,17,17,False,23.0,22.0,2.0,2.0,7.0,7.0,17.0,1.0,5.0,1.0,2.0,1.0,,,,,78.0,35.0,7.3,4.0,0.0134235,2,,,,15.0,,1.0,2.0,2.0,1.0,1.0,,,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.1555,1.0,0.4017,,,,,,,,,
11369481,home,Las Palmas,Javier Muñoz,javier-munoz,J. Muñoz,M,14,179,313,M,353154,EUR,793929600,M,5,5,False,34.0,28.0,4.0,3.0,16.0,21.0,15.0,2.0,1.0,,2.0,,,,,,89.0,44.0,7.1,11.0,0.0224463,2,,,,12.0,,,1.0,,1.0,,1.0,,3.0,1.0,,,2.0,1.0,1.0,,0.3894,1.0,0.9524,1.0,,,,,,,,
11369481,home,Las Palmas,Máximo Perrone,maximo-perrone,M. Perrone,M,23,178,8372,M,1086286,EUR,1041897600,M,8,8,False,64.0,64.0,2.0,2.0,51.0,51.0,13.0,,3.0,2.0,3.0,1.0,,,,,90.0,77.0,6.5,3.0,0.00631548,0,,Maximo Perrone,,13.0,,,1.0,1.0,1.0,,,,6.0,1.0,2.0,,1.0,3.0,,2.0,,,,,maxiperrone16,,,,,,,
11369481,home,Las Palmas,Kirian Rodríguez,kirian-rodriguez,K. Rodríguez,M,20,180,441,M,964985,EUR,825984000,M,20,20,False,86.0,82.0,1.0,1.0,54.0,55.0,33.0,2.0,1.0,1.0,2.0,1.0,,,,,90.0,92.0,6.6,8.0,0.0404981,0,,,,28.0,,,,,,,1.0,,3.0,,1.0,,1.0,3.0,,,,,,,,True,,,,,,
11369481,home,Las Palmas,Alberto Moleiro,alberto-moleiro,A. Moleiro,M,20,172,3634,M,1012444,EUR,1064880000,M,10,10,False,12.0,9.0,1.0,1.0,4.0,5.0,7.0,,3.0,1.0,,,,,,,69.0,24.0,6.5,8.0,0.0301679,1,,,,5.0,,,5.0,2.0,1.0,1.0,1.0,,5.0,,1.0,,1.0,1.0,,,0.0957,,,,,,1.0,,,,,
