match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialLost,stat_aerialWon,stat_challengeLost,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_penaltyWon,stat_dispossessed,captain,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_keyPass,stat_bigChanceCreated,stat_goals,stat_goalAssist,stat_blockedScoringAttempt,stat_totalOffside,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_outfielderBlock,stat_penaltyConceded
10462554,home,Genoa,Josep Martínez,josep-martinez,J. Martínez,G,13,191,2848,M,845291,EUR,896227200,G,22,22,False,22.0,15.0,11.0,4.0,11.0,13.0,4.0,9.0,1.0,8.0,1.0,1.0,1.0,1.0,90.0,30.0,6.2,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10462554,home,Genoa,Silvan Hefti,silvan-hefti,S. Hefti,D,30,182,205,M,814214,EUR,877737600,D,36,36,False,46.0,35.0,3.0,1.0,22.0,23.0,13.0,23.0,,11.0,,,,,90.0,78.0,6.6,18.0,0,,,4.0,7.0,4.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
10462554,home,Genoa,Mattia Bani,mattia-bani,M. Bani,D,13,188,270,M,250547,EUR,755481600,D,13,13,False,71.0,61.0,14.0,9.0,42.0,46.0,19.0,25.0,,4.0,,,,,90.0,72.0,6.4,10.0,0,,,4.0,3.0,,,1.0,,,,,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,
10462554,home,Genoa,Radu Drăguşin,radu-dragusin,R. Drăguşin,D,3,191,13712,M,997103,EUR,1012694400,D,5,5,False,52.0,35.0,9.0,4.0,27.0,35.0,8.0,17.0,1.0,7.0,,,,,90.0,57.0,6.3,17.0,0,,,5.0,6.0,,,2.0,1.0,,,,2.0,3.0,5.0,1.0,radudragusin5,,,,,,,,,,,,,,,,,,,,
10462554,home,Genoa,Stefano Sabelli,stefano-sabelli,S. Sabelli,D,20,179,194,M,184421,EUR,726883200,D,2,2,False,24.0,16.0,1.0,,6.0,7.0,11.0,19.0,1.0,1.0,,,,,66.0,40.0,7.0,12.0,0,,,6.0,5.0,,,1.0,2.0,2.0,,2.0,1.0,4.0,1.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
10462554,home,Genoa,Morten Frendrup,morten-frendrup,M. Frendrup,M,32,178,1684,M,918440,EUR,986601600,M,32,32,False,30.0,21.0,1.0,,13.0,16.0,8.0,14.0,2.0,7.0,,,,,90.0,46.0,6.6,13.0,0,,,5.0,5.0,1.0,,1.0,3.0,3.0,2.0,,3.0,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,
10462554,home,Genoa,Milan Badelj,milan-badelj,M. Badelj,M,,186,899,M,39482,EUR,604368000,M,47,47,False,57.0,44.0,7.0,2.0,23.0,26.0,21.0,32.0,2.0,8.0,,,,,90.0,70.0,6.4,17.0,0,,,4.0,4.0,3.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,1.0,,,,True,,,,,,,,,,,,,,,
10462554,home,Genoa,Manolo Portanova,manolo-portanova,M. Portanova,M,90,182,201,M,876236,EUR,959904000,M,90,90,False,11.0,10.0,1.0,1.0,3.0,3.0,7.0,10.0,,2.0,,,,,66.0,29.0,6.7,9.0,2,,,6.0,7.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,,1.0,,,2.0,,,2.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
10462554,home,Genoa,Caleb Ekuban,caleb-ekuban,C. Ekuban,F,18,182,865,M,309156,EUR,764380800,M,18,18,False,14.0,9.0,1.0,1.0,1.0,1.0,8.0,15.0,1.0,2.0,,,,,73.0,29.0,6.7,14.0,1,,,4.0,3.0,2.0,2.0,,,,5.0,,,2.0,1.0,1.0,,2.0,,,1.0,,,1.0,,,2.0,,,,,,,,,,
10462554,home,Genoa,Albert Guðmundsson,albert-gudmundsson,A. Guðmundsson,F,10,178,3692,M,804909,EUR,866332800,M,11,11,False,21.0,15.0,2.0,1.0,5.0,6.0,11.0,26.0,,5.0,,,,,73.0,46.0,8.8,19.0,2,,,4.0,7.0,3.0,3.0,,3.0,2.0,1.0,1.0,,,,2.0,,11.0,1.0,,2.0,,,,2.0,,1.0,1.0,2.0,,,,,,,,
