match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,player_firstName,player_lastName,stat_blockedScoringAttempt,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_wonContest,captain,stat_penaltyWon,stat_bigChanceMissed,stat_hitWoodwork,stat_penaltyFaced,stat_punches,stat_penaltyConceded,stat_totalOffside
10390098,home,RC Lens,Brice Samba,brice-samba,B. Samba,G,30,186,2098,M,164055,EUR,767232000,G,30,30,False,23.0,20.0,12.0,9.0,18.0,19.0,2.0,4.0,4.0,1.0,1.0,90.0,26.0,7.1,3.0,0.0,0.0,0.000455444,0,0.0353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10390098,home,RC Lens,Jonathan Gradit,jonathan-gradit,J. Gradit,D,24,180,273,M,369650,EUR,722563200,D,24,24,False,75.0,72.0,3.0,2.0,27.0,28.0,45.0,47.0,7.0,,,90.0,85.0,7.1,5.0,0.0119,0.0,0.0417446,1,,1.0,2.0,5.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
10390098,home,RC Lens,Kevin Danso,danso-kevin,K. Danso,D,4,190,3440,M,794953,EUR,906163200,D,4,4,False,73.0,71.0,4.0,2.0,29.0,29.0,42.0,44.0,4.0,,,90.0,85.0,7.1,3.0,0.0,0.0,0.0322855,0,,1.0,3.0,2.0,3.0,,,,5.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10390098,home,RC Lens,Facundo Medina,facundo-medina,F. Medina,D,32,184,4462,M,860307,EUR,927849600,D,14,14,False,75.0,68.0,4.0,3.0,19.0,20.0,49.0,55.0,4.0,,,73.0,82.0,6.7,8.0,0.0293,0.0,0.0649364,1,,,,2.0,1.0,,,,2.0,,,,2.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,
10390098,home,RC Lens,Przemysław Frankowski,przemyslaw-frankowski,P. Frankowski,D,95,176,5767,M,286909,EUR,797644800,M,29,29,False,38.0,31.0,4.0,2.0,5.0,6.0,31.0,52.0,2.0,,,89.0,74.0,8.2,26.0,0.7884,0.9947,0.255391,1,,,,5.0,5.0,,2.0,,1.0,,4.0,3.0,3.0,,1.0,3.0,,,,przemek.franek_,20.0,5.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
10390098,home,RC Lens,Salis Abdul Samed,abdul-samed-salis,S. A. Samed,M,99,180,2025,M,993455,EUR,954028800,M,26,26,False,95.0,88.0,7.0,4.0,28.0,30.0,60.0,65.0,8.0,,,90.0,109.0,7.1,12.0,0.0369,0.0,0.0597426,1,,1.0,1.0,6.0,6.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,
10390098,home,RC Lens,Seko Fofana,seko-fofana,S. Fofana,M,42,184,11416,M,191188,EUR,799804800,M,8,8,False,48.0,47.0,1.0,1.0,8.0,9.0,40.0,41.0,4.0,,,90.0,58.0,6.8,5.0,0.0304,0.0319,0.0409901,1,,3.0,,5.0,2.0,1.0,2.0,,,,,,,1.0,1.0,1.0,,,,sekofofana,2.0,1.0,,,1.0,,,1.0,True,,,,,,,
10390098,home,RC Lens,Massadio Haïdara,massadio-haidara,M. Haïdara,D,21,179,600,M,143344,EUR,723254400,M,21,21,False,49.0,42.0,2.0,2.0,12.0,14.0,30.0,39.0,4.0,,,90.0,73.0,7.2,13.0,0.0,0.0,0.0372304,0,,,4.0,2.0,8.0,1.0,1.0,,1.0,2.0,,,2.0,1.0,3.0,,,,,,4.0,,,,,,,1.0,,1.0,,,,,,
10390098,home,RC Lens,Florian Sotoca,florian-sotoca,F. Sotoca,F,7,187,757,M,788921,EUR,656812800,F,7,7,False,35.0,26.0,4.0,1.0,4.0,5.0,22.0,35.0,4.0,,,89.0,54.0,7.2,15.0,0.3973,0.0,0.0393903,3,,2.0,3.0,3.0,9.0,,,3.0,1.0,,3.0,,1.0,1.0,3.0,1.0,,,,,5.0,,,1.0,,,,,,,1.0,,,,,
10390098,home,RC Lens,Loïs Openda,lois-openda,L. Openda,F,20,177,15661,M,835480,EUR,950659200,F,11,11,False,4.0,4.0,,,1.0,1.0,3.0,4.0,,,,67.0,13.0,6.4,4.0,0.7739,0.0,0.001461,2,,1.0,,4.0,2.0,1.0,,2.0,,,1.0,1.0,2.0,1.0,1.0,,,,,l_openda,1.0,,,,,,,,,,1.0,1.0,,,,
10390098,home,RC Lens,David Pereira da Costa,david-pereira-da-costa,D. P. d. Costa,M,10,165,576,M,1023091,EUR,978652800,F,20,20,False,31.0,29.0,1.0,,4.0,4.0,25.0,30.0,3.0,,,66.0,40.0,6.7,7.0,0.0,0.0,0.0515852,0,,1.0,,4.0,1.0,1.0,2.0,,,1.0,,,1.0,,,1.0,,,,,3.0,,,,,,,1.0,,,,,,,,
10390098,home,RC Lens,Alexis Claude-Maurice,alexis-claude-maurice,A. Claude-Maurice,F,20,174,875,M,822877,EUR,897091200,M,18,18,True,9.0,9.0,,,3.0,3.0,6.0,7.0,,,,24.0,14.0,6.4,4.0,0.0,0.0,0.00577921,0,,,,2.0,1.0,,1.0,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,
10390098,home,RC Lens,Wesley Saïd,wesley-said,W. Saïd,F,22,171,742,M,227862,EUR,798249600,F,22,22,True,6.0,5.0,,,2.0,2.0,3.0,4.0,1.0,,,23.0,7.0,6.4,2.0,0.0,0.0,0.0133432,0,,,,2.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
10390098,home,RC Lens,Deiver Machado,deiver-machado,D. Machado,M,27,179,1117,M,822110,EUR,746928000,D,3,3,True,11.0,10.0,,,2.0,2.0,8.0,10.0,1.0,,,17.0,13.0,6.5,2.0,0.0,0.0,0.00702833,0,,,1.0,3.0,1.0,,,,1.0,,,,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,
10390098,home,RC Lens,Julien Le Cardinal,julien-le-cardinal,J. L. Cardinal,D,26,182,203,M,1129751,EUR,870566400,D,25,25,True,4.0,3.0,,,2.0,2.0,1.0,2.0,1.0,,,1.0,6.0,,1.0,0.0,0.0,0.000845131,0,,,1.0,,2.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
