match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_unsuccessfulTouch,stat_goodHighClaim,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_fouls,stat_wasFouled,stat_clearanceOffLine,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_accurateCross,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,captain,stat_keyPass,player_sofascoreId,stat_blockedScoringAttempt,stat_goals,stat_shotOffTarget,stat_savedShotsFromInsideTheBox,stat_totalOffside
12436410,home,Brentford,Mark Flekken,mark-flekken,M. Flekken,G,1,194,2856,M,171919,EUR,739929600,G,1,1,False,61.0,37.0,35.0,11.0,0.0,31.0,34.0,6.0,27.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,71.0,6.2,25.0,0.00275364,0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436410,home,Brentford,Mads Roerslev,mads-roerslev,M. Roerslev,D,2,184,428,M,826057,EUR,930182400,D,30,30,False,38.0,31.0,3.0,1.0,0.0,14.0,16.0,17.0,23.0,4.0,6.0,,,,,,,90.0,55.0,6.3,9.0,0.00834606,0,,Mads,Roerslev,1.0,6.0,1.0,9.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
12436410,home,Brentford,Nathan Collins,nathan-collins,N. Collins,D,22,193,1556,M,958916,EUR,988588800,D,22,22,False,67.0,61.0,8.0,5.0,0.0,41.0,43.0,20.0,25.0,9.0,5.0,,,,,,,90.0,79.0,6.7,7.0,0.0142269,0,,,,1.0,1.0,2.0,2.0,3.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,
12436410,home,Brentford,Sepp van den Berg,sepp-van-den-berg,S. van den Berg,D,4,192,2094,M,924378,EUR,1008806400,D,4,4,False,45.0,38.0,4.0,2.0,0.0,30.0,34.0,8.0,11.0,2.0,2.0,,,,,,,75.0,55.0,7.3,7.0,0.00446586,0,,,,,5.0,3.0,5.0,5.0,,,,,3.0,,,1.0,2.0,2.0,1.0,,,,,,,,,,,,
12436410,home,Brentford,Keane Lewis-Potter,keane-lewis-potter,K. Lewis-Potter,D,23,170,1089,M,972421,EUR,982800000,D,23,23,False,41.0,33.0,6.0,3.0,0.0,20.0,21.0,14.0,22.0,1.0,6.0,,,,,,,90.0,56.0,6.7,11.0,0.399883,1,,,,2.0,,1.0,4.0,6.0,1.0,1.0,2.0,1.0,,1.0,3.0,,,1.0,1.0,1.0,1.0,0.0716,0.0821,,,,,,,,
12436410,home,Brentford,Vitaly Janelt,vitaly-janelt,V. Janelt,M,27,184,1191,M,814873,EUR,894758400,M,27,27,False,27.0,23.0,2.0,1.0,0.0,9.0,11.0,14.0,17.0,2.0,1.0,,,,,,,90.0,32.0,6.5,5.0,0.0150417,0,,,,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
12436410,home,Brentford,Christian Nørgaard,christian-norgaard,C. Nørgaard,M,16,185,9605,M,135256,EUR,763257600,M,6,6,False,30.0,23.0,3.0,2.0,0.0,15.0,19.0,8.0,12.0,1.0,4.0,3.0,,,,,,75.0,39.0,6.2,11.0,0.00730751,0,,,,1.0,,1.0,3.0,2.0,2.0,,,,,1.0,,,1.0,1.0,,,,,,True,,,,,,,
12436410,home,Brentford,Yehor Yarmolyuk,yarmoliuk-yehor,Y. Yarmolyuk,M,18,180,2555,M,1031258,EUR,1078099200,M,18,18,False,38.0,34.0,1.0,1.0,0.0,18.0,19.0,16.0,20.0,1.0,5.0,1.0,,,,,,90.0,54.0,6.9,8.0,0.016127,0,,,,1.0,,,2.0,4.0,,2.0,1.0,1.0,,,1.0,,1.0,2.0,2.0,,,,,,,,,,,,
12436410,home,Brentford,Mikkel Damsgaard,damsgaard-mikkel,M. Damsgaard,M,24,180,3593,M,907072,EUR,962582400,M,24,24,False,45.0,38.0,4.0,4.0,1.0,22.0,24.0,16.0,23.0,2.0,7.0,,,,,,,75.0,60.0,6.7,11.0,0.012962,0,,,,2.0,2.0,,6.0,1.0,2.0,1.0,1.0,,,,1.0,,2.0,,,,,,,,1.0,,,,,,
12436410,home,Brentford,Bryan Mbeumo,bryan-mbeumo,B. Mbeumo,M,19,173,110440,M,927083,EUR,933984000,F,19,19,False,22.0,17.0,,,0.0,8.0,11.0,10.0,16.0,1.0,1.0,3.0,,,,,,90.0,44.0,7.3,15.0,0.0266886,2,,,,5.0,3.0,1.0,6.0,7.0,,1.0,3.0,1.0,,1.0,2.0,,,3.0,3.0,1.0,1.0,0.071,0.4704,,1.0,bryan_m19,1.0,1.0,,,
12436410,home,Brentford,Yoane Wissa,yoane-wissa,Y. Wissa,F,9,176,50158,M,805123,EUR,841708800,F,11,11,False,12.0,11.0,1.0,,0.0,5.0,5.0,6.0,7.0,,1.0,2.0,,,,,,75.0,22.0,6.4,7.0,0.00688711,2,,,,,1.0,2.0,7.0,3.0,1.0,2.0,2.0,,,1.0,,,,1.0,,,,0.1776,,,1.0,yowissa,,,2.0,,
12436410,home,Brentford,Kim Ji-Soo,kim-ji-soo,K. Ji-Soo,D,5,192,1312,M,1185061,EUR,1103846400,D,36,36,True,21.0,20.0,3.0,2.0,0.0,11.0,11.0,9.0,10.0,,,,,,,,,15.0,22.0,6.5,2.0,0.0022067,0,,Kim Ji-Soo,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
12436410,home,Brentford,Kevin Schade,kevin-schade,K. Schade,M,7,183,3191,M,1006387,EUR,1006819200,M,7,7,True,5.0,4.0,,,0.0,,,4.0,5.0,,,,,,,,,15.0,6.0,6.3,2.0,0.00451401,0,,,,,1.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
12436410,home,Brentford,Mathias Jensen,mathias-jensen,M. Jensen,M,8,180,1047,M,799251,EUR,820454400,M,8,8,True,18.0,15.0,5.0,4.0,0.0,8.0,8.0,7.0,10.0,,2.0,,,,,,,15.0,20.0,6.8,4.0,0.00579421,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436410,home,Brentford,Edmond-Paris Maghoma,maghoma-edmond-paris,E. Maghoma,M,25,178,274,M,907500,EUR,989280000,M,32,32,True,15.0,14.0,2.0,1.0,0.0,6.0,7.0,8.0,9.0,,1.0,,,,,,,15.0,16.0,6.5,2.0,0.00259703,0,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
12436410,home,Brentford,Hákon Rafn Valdimarsson,hakon-rafn-valdimarsson,H. R. Valdimarsson,G,12,195,496,M,1005959,EUR,1002931200,G,12,12,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436410,home,Brentford,Benjamin Arthur,benjamin-arthur,B. Arthur,D,43,193,144,M,1500529,EUR,1128816000,D,43,43,True,,,,,,,,,,,,,,,,,,,,,,,0,,Benjamin Arthur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436410,home,Brentford,Jayden Meghoma,meghoma-jayden,J. Meghoma,M,30,176,425,M,1410201,EUR,1151452800,D,21,21,True,,,,,,,,,,,,,,,,,,,,,,,0,,Jayden Meghoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436410,home,Brentford,Yunus Konak,yunus-konak,Y. Konak,M,5,181,1118,M,1518589,EUR,1136851200,M,26,26,True,,,,,,,,,,,,,,,,,,,,,,,0,,Yunus Konak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436410,home,Brentford,Tony Yogane,tony-yogane,T. Yogane,M,17,178,57,M,1467880,EUR,1127520000,M,42,42,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436410,away,Arsenal,David Raya,david-raya,D. Raya,G,1,183,26174,M,581310,EUR,811123200,G,22,22,False,28.0,15.0,15.0,3.0,0.0,12.0,14.0,3.0,14.0,1.0,9.0,,2.0,1.0,,,,90.0,39.0,6.5,14.0,0.00133568,0,-0.4475,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,d_raya1,,,,1.0,
