match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialLost,stat_bigChanceMissed,stat_outfielderBlock,stat_interceptionWon,stat_accurateCross,stat_dispossessed,stat_totalContest,stat_wonContest,captain,stat_goals,stat_fouls,player_sofascoreId,stat_wasFouled,stat_blockedScoringAttempt,stat_errorLeadToAShot,stat_totalOffside,stat_goodHighClaim,stat_totalKeeperSweeper,stat_clearanceOffLine,stat_hitWoodwork
12436436,home,Brentford,Mark Flekken,mark-flekken,M. Flekken,G,1,194,2856,M,171919,EUR,739929600,G,1,1,False,50.0,33.0,27.0,10.0,0.0,28.0,29.0,5.0,21.0,8.0,4.0,6.0,90.0,60.0,7.6,18.0,0.00374985,0,0.2487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436436,home,Brentford,Mads Roerslev,mads-roerslev,M. Roerslev,D,2,184,428,M,826057,EUR,930182400,D,30,30,False,26.0,17.0,,,1.0,9.0,13.0,8.0,16.0,2.0,,,87.0,42.0,7.2,13.0,0.575213,2,,Mads,Roerslev,3.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0946,0.1012,2.0,,,,,,,,,,,,,,,,,,,,
12436436,home,Brentford,Nathan Collins,nathan-collins,N. Collins,D,22,193,1556,M,958916,EUR,988588800,D,22,22,False,47.0,44.0,5.0,4.0,0.0,33.0,33.0,11.0,14.0,5.0,,,90.0,54.0,6.7,5.0,0.0104945,1,,,,,2.0,1.0,2.0,,,1.0,,2.0,,,,0.0951,,,1.0,1.0,,,,,,,,,,,,,,,,,,
12436436,home,Brentford,Sepp van den Berg,sepp-van-den-berg,S. van den Berg,D,4,192,2094,M,924378,EUR,1008806400,D,4,4,False,46.0,44.0,2.0,,0.0,35.0,35.0,9.0,11.0,1.0,,,90.0,57.0,6.8,3.0,0.00756979,1,,,,,1.0,6.0,2.0,,,1.0,,5.0,1.0,1.0,,0.0848,,1.0,6.0,,1.0,1.0,,,,,,,,,,,,,,,,
12436436,home,Brentford,Keane Lewis-Potter,keane-lewis-potter,K. Lewis-Potter,D,23,170,1089,M,972421,EUR,982800000,D,23,23,False,27.0,22.0,2.0,1.0,1.0,13.0,13.0,12.0,18.0,3.0,,,90.0,48.0,6.6,10.0,0.298313,0,,,,4.0,2.0,4.0,5.0,,,,,4.0,2.0,2.0,,,,1.0,,,,1.0,3.0,1.0,4.0,1.0,,,,,,,,,,,,
12436436,home,Brentford,Christian Nørgaard,christian-norgaard,C. Nørgaard,M,16,185,9605,M,135256,EUR,763257600,M,6,6,False,46.0,38.0,2.0,1.0,0.0,18.0,22.0,20.0,25.0,7.0,,,90.0,68.0,7.6,15.0,0.0317578,1,,,,1.0,5.0,8.0,7.0,,,,1.0,3.0,2.0,1.0,2.0,0.0922,0.2979,,2.0,,1.0,3.0,,3.0,1.0,,True,1.0,2.0,,,,,,,,,
12436436,home,Brentford,Vitaly Janelt,vitaly-janelt,V. Janelt,M,27,184,1191,M,814873,EUR,894758400,M,27,27,False,26.0,21.0,2.0,1.0,0.0,13.0,13.0,8.0,13.0,2.0,,,79.0,36.0,6.8,6.0,0.00665037,2,,,,,,2.0,,,,1.0,1.0,,,,1.0,0.0747,0.063,,1.0,,,3.0,,,,,,,1.0,,,,,,,,,
12436436,home,Brentford,Mathias Jensen,mathias-jensen,M. Jensen,M,8,180,1047,M,799251,EUR,820454400,M,8,8,False,36.0,31.0,5.0,3.0,0.0,13.0,15.0,19.0,24.0,2.0,,,68.0,50.0,7.5,8.0,0.189377,0,,,,3.0,1.0,,4.0,,1.0,,,1.0,1.0,1.0,,,,4.0,,,,,1.0,,2.0,2.0,,,,,,,,,,,,
12436436,home,Brentford,Bryan Mbeumo,bryan-mbeumo,B. Mbeumo,M,19,173,110440,M,927083,EUR,933984000,F,19,19,False,27.0,19.0,1.0,1.0,0.0,4.0,6.0,15.0,27.0,2.0,,,90.0,45.0,7.6,16.0,0.363803,3,,,,6.0,,3.0,2.0,,1.0,2.0,1.0,2.0,,,1.0,0.311,0.4721,5.0,3.0,1.0,,,,,1.0,1.0,,,,bryan_m19,1.0,,,,,,,
12436436,home,Brentford,Yoane Wissa,yoane-wissa,Y. Wissa,F,9,176,50158,M,805123,EUR,841708800,F,11,11,False,16.0,12.0,,,0.0,4.0,5.0,8.0,11.0,2.0,,,90.0,29.0,7.2,6.0,0.0075938,5,,,,,1.0,5.0,5.0,,,2.0,2.0,,2.0,,1.0,1.6313,0.5697,1.0,3.0,1.0,,,,1.0,,,,1.0,1.0,yowissa,2.0,1.0,1.0,1.0,,,,
