match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_duelLost,stat_totalTackle,captain,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_challengeLost,stat_wonTackle,stat_totalCross,stat_accurateCross,stat_totalContest,stat_bigChanceCreated,stat_wasFouled,stat_keyPass,player_firstName,player_lastName,stat_dispossessed,stat_shotOffTarget,stat_expectedGoals,stat_shotValueNormalized,stat_totalOffside,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_hitWoodwork,stat_bigChanceMissed
14131978,home,Casa Pia,Ricardo Batista,ricardo-batista,R. Batista,G,33,193,111,M,9668,EUR,532656000,G,33,33,False,28.0,16.0,18.0,6.0,0.0,12.0,14.0,4.0,14.0,1.0,1.0,1.0,9.0,2.0,1.0,1.0,1.0,1.0,90.0,38.0,6.3,13.0,0.00102902,7.8099261067454,2.0,4.515,3.465,0.0002,0,-0.789,0.03,0.0,-0.02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131978,home,Casa Pia,André Geraldes,andre-geraldes,A. Geraldes,D,18,181,32,M,125039,EUR,673142400,D,18,18,False,19.0,17.0,4.0,3.0,0.0,11.0,13.0,6.0,6.0,,1.0,4.0,3.0,,,,,,90.0,30.0,6.4,2.0,0.00203226,34.246340008454,5.0,20.685,7.14,,0,,0.06,0.01,-0.14,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131978,home,Casa Pia,José Fonte,jose-fonte,J. Fonte,D,6,191,691,M,27622,EUR,440899200,D,6,6,False,30.0,25.0,9.0,6.0,0.0,21.0,22.0,4.0,8.0,3.0,3.0,13.0,2.0,,,,,,90.0,47.0,7.0,6.0,0.00231195,59.61123627236,9.0,11.55,8.925,,0,,0.03,0.01,0.36,,1.0,3.0,,True,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
14131978,home,Casa Pia,David Sousa,david-sousa,David Sousa,D,43,190,146,M,1015932,EUR,994204800,D,43,43,False,37.0,27.0,9.0,3.0,0.0,24.0,29.0,3.0,8.0,3.0,5.0,10.0,6.0,,,,,,90.0,57.0,6.6,10.0,0.00150631,129.29778606978,16.0,78.96,16.275,,0,,-0.08,0.05,0.25,,1.0,6.0,2.0,,2.0,3.0,,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
14131978,home,Casa Pia,Gaizka Larrazabal,gaizka-larrazabal,G. Larrazabal,M,72,179,117,M,849719,EUR,882316800,M,72,72,False,22.0,16.0,3.0,1.0,1.0,10.0,12.0,6.0,10.0,,1.0,4.0,7.0,,,,,,83.0,36.0,6.8,10.0,0.101631,95.018678233098,10.0,48.825,22.575,,0,,0.26,0.05,0.26,,,3.0,,,,1.0,2.0,2.0,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
14131978,home,Casa Pia,Sebastián Pérez,sebastian-perez,S. Pérez,M,42,176,396,M,158597,EUR,733363200,M,42,42,False,15.0,11.0,1.0,,0.0,9.0,11.0,2.0,4.0,,1.0,1.0,1.0,,,,,,65.0,19.0,6.1,4.0,0.00286839,20.99419583242,3.0,7.875,9.765,,0,,0.03,0.01,-0.12,,,3.0,,,,1.0,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,
14131978,home,Casa Pia,Yassin Oukili,oukili-yassin,Y. Oukili,M,5,195,490,M,1010846,EUR,978480000,M,20,20,False,13.0,12.0,,,0.0,5.0,6.0,7.0,7.0,3.0,10.0,6.0,2.0,,,,,,72.0,33.0,7.4,4.0,0.323058,49.993266024928,5.0,-19.32,7.56,,1,,0.26,0.01,0.35,,,2.0,3.0,,,2.0,2.0,1.0,,2.0,,,,,4.0,1.0,,,1.0,1.0,0.0235,-0.13,,,,,,,,
14131978,home,Casa Pia,Abdu Conté,abdu-conte,A. Conté,D,5,183,135,M,851276,EUR,890697600,M,5,5,False,18.0,10.0,5.0,,0.0,6.0,10.0,4.0,8.0,1.0,1.0,4.0,,,,,,,90.0,35.0,6.7,11.0,0.0947702,41.453786045224,3.0,-8.82,11.97,,0,,0.22,-0.03,0.13,,,2.0,,,,1.0,2.0,2.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,
14131978,home,Casa Pia,Jérémy Livolant,jeremy-livolant,J. Livolant,F,29,175,282,M,826054,EUR,884304000,F,29,29,False,23.0,17.0,1.0,,0.0,8.0,11.0,9.0,12.0,1.0,5.0,5.0,5.0,,,,,,90.0,47.0,7.1,14.0,0.0246153,112.12681481543,14.0,39.06,20.37,,0,,0.2,0.03,0.33,,1.0,3.0,3.0,,,2.0,5.0,,,2.0,1.0,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,,
14131978,home,Casa Pia,Dailon Rocha Livramento,dailon-rocha-livramento,D. R. Livramento,F,10,185,1923,M,1155358,EUR,988934400,F,10,10,False,4.0,1.0,1.0,,0.0,,,1.0,4.0,,,2.0,,,,,,,65.0,13.0,6.2,8.0,0.00021276,18.532105358,1.0,13.545,13.545,,0,,-0.07,0.02,0.15,,3.0,4.0,,,,,5.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,
