match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_interceptionWon,stat_totalTackle,stat_wasFouled,player_firstName,stat_aerialLost,stat_duelLost,stat_outfielderBlock,stat_wonTackle,stat_fouls,stat_accurateCross,stat_challengeLost,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_keyPass,captain,stat_blockedScoringAttempt,stat_dispossessed,player_lastName,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,player_sofascoreId,stat_totalOffside
12624419,home,Al Wehda,Abdullah Hussein Alowayshir,abdullah-hussein-al-owisher,A. H. Alowayshir,G,1,184.0,43,M,976548,EUR,674092800,G,1,1,False,35.0,13.0,32.0,10.0,0.0,8.0,10.0,5.0,25.0,2.0,3.0,1.0,1.0,3.0,8.0,1.0,1.0,2.0,2.0,1.0,1.0,90.0,43.0,7.3,22.0,0,,,,,,,,,,,,,,,,,,,,,,,,,
12624419,home,Al Wehda,Saeed Almuwallad,saeed-al-muwallad,S. Almuwallad,D,2,184.0,20,M,872205,EUR,668476800,D,2,2,False,15.0,12.0,1.0,,0.0,5.0,6.0,7.0,11.0,1.0,3.0,,,7.0,1.0,,,,,,,90.0,30.0,7.0,7.0,0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12624419,home,Al Wehda,Ali Makki,ali-makki,A. Makki,D,5,174.0,20,M,1399144,EUR,924566400,D,22,22,False,10.0,8.0,1.0,,0.0,6.0,8.0,2.0,2.0,,2.0,,,4.0,1.0,,,,,,,90.0,21.0,7.1,2.0,0,,1.0,,2.0,Ali Makki,2.0,2.0,1.0,,,,,,,,,,,,,,,,,
12624419,home,Al Wehda,Abdullah Al-Hafith,abdullah-al-hafith,A. Al-Hafith,D,17,188.0,29,M,160901,EUR,725241600,D,17,17,False,18.0,15.0,3.0,2.0,0.0,9.0,11.0,6.0,7.0,2.0,5.0,,,10.0,3.0,,,,,,,90.0,34.0,7.3,3.0,0,,,3.0,,,3.0,6.0,,3.0,3.0,,,,,,,,,,,,,,,
12624419,home,Al Wehda,Ali Al-Salem,ali-al-salem,A. Al-Salem,D,2,181.0,21,M,990189,EUR,903052800,D,49,49,False,21.0,14.0,6.0,3.0,0.0,12.0,15.0,4.0,10.0,1.0,5.0,3.0,2.0,3.0,5.0,,,,,,,90.0,46.0,7.2,13.0,0,4.0,2.0,,2.0,,3.0,8.0,,,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,
12624419,home,Al Wehda,Mohamed Al Makahasi,mohamed-al-makahasi,M. Makaazi,M,23,177.0,475,M,970835,EUR,791942400,M,35,35,False,13.0,10.0,3.0,2.0,0.0,4.0,5.0,6.0,9.0,1.0,2.0,,,2.0,1.0,,,,,,,68.0,25.0,6.7,7.0,0,1.0,2.0,1.0,,,,5.0,,1.0,3.0,,2.0,,3.0,,,,,,,,,,,
12624419,home,Al Wehda,Waleed Bakshween,waleed-bakshween,W. Bakshween,M,,176.0,23,M,911303,EUR,626832000,M,4,4,False,31.0,24.0,2.0,1.0,0.0,14.0,16.0,10.0,16.0,2.0,4.0,1.0,1.0,4.0,6.0,,,,,,,90.0,49.0,6.8,11.0,0,1.0,,,1.0,,,6.0,1.0,,5.0,,1.0,,3.0,,True,,,,,,,,,
12624419,home,Al Wehda,Juninho Bacuna,juninho-bacuna,J. Bacuna,M,4,178.0,542,M,788971,EUR,870912000,M,10,10,False,27.0,19.0,5.0,5.0,0.0,6.0,7.0,13.0,21.0,2.0,8.0,1.0,1.0,3.0,5.0,,,,,,,89.0,42.0,7.2,10.0,1,1.0,2.0,2.0,3.0,,1.0,5.0,1.0,1.0,2.0,,2.0,,1.0,,,1.0,,,,,,,,
12624419,home,Al Wehda,Ala'a Al-Hejji,alaa-al-hejji,A. Al-Hejji,M,18,173.0,32,M,826242,EUR,817948800,M,8,8,False,31.0,20.0,4.0,2.0,1.0,9.0,16.0,11.0,16.0,1.0,7.0,1.0,1.0,4.0,9.0,,,,,,,90.0,52.0,7.1,15.0,0,1.0,1.0,1.0,4.0,,1.0,10.0,,1.0,3.0,,5.0,1.0,2.0,2.0,,,1.0,,,,,,,
12624419,home,Al Wehda,Abdulaziz Noor,abdulaziz-noor,A. Noor,M,24,173.0,80,M,1085115,EUR,916617600,F,24,24,False,15.0,11.0,1.0,,0.0,5.0,6.0,6.0,9.0,2.0,6.0,5.0,3.0,1.0,6.0,,,,,,,79.0,38.0,6.7,15.0,3,,,,1.0,Abdulaziz Noor,2.0,5.0,,,,,,,8.0,,,,1.0,,1.0,2.0,1.0,1.0,,
