match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_wasFouled,stat_fouls,player_sofascoreId,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_goals,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_blockedScoringAttempt,captain,player_firstName,player_lastName,stat_accurateCross,stat_bigChanceMissed,stat_hitWoodwork,stat_keyPass,stat_totalOffside,stat_goalAssist,stat_bigChanceCreated,stat_goodHighClaim
11910827,home,Fulham,Bernd Leno,bernd-leno,B. Leno,G,1,190,2682,M,103335,EUR,699667200,G,17,17,False,40.0,36.0,13.0,9.0,28.0,28.0,8.0,12.0,7.0,4.0,4.0,90.0,48.0,7.6,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11910827,home,Fulham,Timothy Castagne,timothy-castagne,T. Castagne,D,21,185,2313,M,329417,EUR,818121600,D,21,21,False,21.0,15.0,1.0,,9.0,14.0,6.0,10.0,4.0,,,83.0,36.0,6.6,10.0,0,3.0,2.0,1.0,3.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11910827,home,Fulham,Tosin Adarabioyo,tosin-adarabioyo,T. Adarabioyo,D,4,196,10512,M,352668,EUR,875059200,D,4,4,False,70.0,57.0,10.0,4.0,41.0,45.0,16.0,25.0,4.0,,,90.0,91.0,7.7,14.0,1,,1.0,5.0,2.0,11.0,,1.0,tosinadarabioyo,2.0,2.0,1.0,5.0,1.0,2.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,
11910827,home,Fulham,Issa Diop,issa-diop,I. Diop,D,31,194,838,M,825719,EUR,852768000,D,31,31,False,62.0,51.0,7.0,5.0,39.0,46.0,12.0,16.0,6.0,,,90.0,68.0,7.3,11.0,1,,4.0,2.0,5.0,2.0,,1.0,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,
11910827,home,Fulham,Antonee Robinson,antonee-robinson,A. Robinson,D,33,183,2855,M,803174,EUR,870998400,D,33,33,False,56.0,34.0,7.0,,16.0,27.0,18.0,30.0,6.0,,,90.0,89.0,6.6,29.0,0,1.0,1.0,,5.0,6.0,1.0,1.0,,3.0,2.0,,6.0,,1.0,3.0,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,
11910827,home,Fulham,João Palhinha,joao-palhinha,J. Palhinha,M,6,189,16474,M,364612,EUR,805248000,M,26,26,False,48.0,39.0,8.0,3.0,21.0,23.0,18.0,26.0,7.0,,,90.0,76.0,7.5,15.0,3,1.0,1.0,1.0,10.0,13.0,2.0,2.0,Palhinha,4.0,3.0,,2.0,,2.0,7.0,5.0,3.0,,5.0,1.0,2.0,1.0,,,,,,,,,,,
11910827,home,Fulham,Tom Cairney,tom-cairney,T. Cairney,M,10,185,646,M,82566,EUR,664329600,M,10,10,False,45.0,40.0,1.0,1.0,18.0,20.0,22.0,26.0,4.0,,,83.0,60.0,7.2,9.0,0,1.0,,1.0,3.0,8.0,3.0,2.0,,2.0,1.0,,,,1.0,3.0,2.0,2.0,,,,,,True,,,,,,,,,,
11910827,home,Fulham,Bobby Decordova-Reid,bobby-decordova-reid,B. Reid,M,14,170,1214,M,151499,EUR,728611200,M,14,14,False,11.0,9.0,,,3.0,4.0,6.0,7.0,4.0,,,67.0,22.0,6.9,5.0,1,,3.0,,3.0,4.0,2.0,,,2.0,2.0,,,,,,,2.0,,,,,1.0,,,,,,,,,,,
11910827,home,Fulham,Andreas Pereira,andreas-pereira,A. Pereira,M,8,177,14310,M,285949,EUR,820454400,M,18,18,False,20.0,12.0,3.0,1.0,4.0,6.0,10.0,22.0,1.0,,,83.0,37.0,6.5,19.0,1,8.0,2.0,,4.0,2.0,1.0,,andreaspereira,,,,,,,1.0,1.0,3.0,,,2.0,1.0,,,,,2.0,1.0,1.0,2.0,,,,
11910827,home,Fulham,Willian,willian,Willian,F,88,175,9655,M,31417,EUR,587088000,M,20,20,False,42.0,34.0,2.0,1.0,9.0,11.0,26.0,33.0,5.0,,,90.0,64.0,6.9,18.0,2,2.0,,,7.0,3.0,1.0,,willianborges88,4.0,2.0,1.0,1.0,,,,,3.0,,3.0,2.0,,1.0,,,,1.0,,,4.0,,,,
