match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,playerName,reason,rescinded,id,isHome,incidentClass,player_id,player_name,length,injury,confirmed
10408376,FT,6.0,2.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
10408376,,,,,90,,,1,,,card,Luis Javier Suárez,Foul,False,120627651.0,False,yellow,914213.0,Luis Javier Suárez,,,
10408376,,,,,90,0.0,,1,,,injuryTime,,,,,,,,,5.0,,
10408376,,,,,83,,,8,,,substitution,,,,121570682.0,True,regular,,,,False,
10408376,,,,,83,,,8,,,substitution,,,,121570681.0,True,regular,,,,False,
10408376,,6.0,2.0,,81,,,10,,,goal,,,,168098847.0,False,regular,982615.0,El Bilal Touré,,,
10408376,,,,,80,,,11,,,substitution,,,,121570672.0,False,regular,,,,False,
10408376,,6.0,1.0,,79,,,12,,,goal,,,,168098836.0,True,regular,32048.0,Cristhian Stuani,,,
10408376,,5.0,1.0,,77,,,14,,,goal,,,,168098823.0,True,regular,973699.0,Iván Martín,,,
10408376,,,,,76,,,15,,,substitution,,,,121570664.0,True,regular,,,,False,
10408376,,,,,76,,,15,,,substitution,,,,121570654.0,True,regular,,,,False,
10408376,,4.0,1.0,,66,,,25,,,goal,,,,168098785.0,False,regular,909966.0,Largie Ramazani,,,
10408376,,,,,65,,,26,,,substitution,,,,121570584.0,True,regular,,,,False,
10408376,,,,,59,,,32,,,card,Borja García,Foul,False,120627574.0,True,yellow,129472.0,Borja García,,,
10408376,,,,,46,,,45,,,substitution,,,,121570458.0,False,regular,,,,False,
10408376,,,,,46,,,45,,,substitution,,,,121570457.0,False,regular,,,,False,
10408376,,,,,46,,,45,,,substitution,,,,121570456.0,False,regular,,,,False,
10408376,,,,,46,,,45,,,substitution,,,,121570455.0,False,regular,,,,False,
10408376,HT,4.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
10408376,,,,,45,0.0,,1,,,injuryTime,,,,,,,,,4.0,,
10408376,,4.0,0.0,,43,,,3,,,goal,,,,168098538.0,True,regular,1031658.0,Javier Hernández,,,
10408376,,,,,37,,,9,,,varDecision,,,,15454.0,True,goalNotAwarded,989113.0,Rodrigo Riquelme,,,False
10408376,,3.0,0.0,,36,,,10,,,goal,,,,168098499.0,True,regular,989113.0,Rodrigo Riquelme,,,
10408376,,2.0,0.0,,34,,,12,,,goal,,,,168098478.0,True,regular,319735.0,Viktor Tsygankov,,,
10408376,,,,,26,,,20,,,varDecision,,,,15452.0,True,goalAwarded,877013.0,Valentín Castellanos,,,False
10408376,,1.0,0.0,,8,,,38,,,goal,,,,168098239.0,True,regular,877013.0,Valentín Castellanos,,,
