match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_aerialLost,stat_onTargetScoringAttempt,stat_totalClearance,stat_fouls,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_dispossessed,captain,stat_goals,stat_totalOffside,player_sofascoreId,stat_goodHighClaim,stat_outfielderBlock,stat_errorLeadToAGoal,stat_bigChanceMissed
12116975,home,Cruzeiro,Anderson,anderson,Anderson,G,12,190,353,M,942061,EUR,889056000,G,98,98,False,16.0,15.0,7.0,6.0,10.0,10.0,5.0,6.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,90.0,22.0,6.5,1.0,0.00636915,0,-0.2503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12116975,home,Cruzeiro,William,william,William,D,12,176,2476,M,604274,EUR,796867200,D,12,12,False,48.0,40.0,7.0,6.0,13.0,14.0,30.0,43.0,3.0,1.0,5.0,,,,,,90.0,90.0,8.1,19.0,0.458079,1,,,,1.0,9.0,3.0,1.0,8.0,3.0,1.0,1.0,1.0,2.0,5.0,3.0,3.0,1.0,0.0225,5.0,,,,,,,,,,,,,,,
12116975,home,Cruzeiro,Neris,neris,Neris,D,77,190,332,M,840247,EUR,708739200,D,27,27,False,44.0,41.0,7.0,6.0,27.0,29.0,14.0,15.0,2.0,,1.0,,,,,,90.0,55.0,7.1,4.0,0.00853255,1,,,,,,,3.0,5.0,,,,,2.0,2.0,2.0,1.0,,0.1007,,1.0,1.0,2.0,1.0,0.4287,,,,,,,,,,
12116975,home,Cruzeiro,Zé Ivaldo,ze-ivaldo,Z. Ivaldo,D,2,185,1464,M,844602,EUR,856483200,D,5,5,False,42.0,35.0,9.0,7.0,19.0,20.0,16.0,22.0,2.0,1.0,2.0,,,,,,90.0,47.0,6.4,7.0,0.00874286,1,,,,,,,,,,,,,1.0,,,,,0.0146,,,,2.0,1.0,,1.0,,,,,,,,,
12116975,home,Cruzeiro,Marlon,marlon,Marlon,D,23,178,1921,M,870787,EUR,864086400,D,3,3,False,40.0,35.0,6.0,4.0,21.0,22.0,15.0,22.0,3.0,,5.0,,,,,,90.0,55.0,6.8,9.0,0.112457,1,,,,,4.0,1.0,,3.0,,,,,1.0,2.0,,1.0,1.0,0.0526,2.0,1.0,,1.0,2.0,,1.0,,,,,,,,,
12116975,home,Cruzeiro,Ramiro,ramiro,Ramiro,M,17,167,375,M,330693,EUR,738028800,M,17,17,False,27.0,20.0,2.0,,9.0,11.0,11.0,18.0,5.0,1.0,1.0,,,,,,68.0,45.0,6.4,13.0,0.00461951,0,,,,,2.0,,1.0,3.0,,,,,,,,2.0,2.0,,,1.0,,1.0,1.0,,,2.0,,,,,,,,
12116975,home,Cruzeiro,Lucas Romero,lucas-romero,L. Romero,M,29,167,2727,M,263477,EUR,766627200,M,29,29,False,51.0,44.0,6.0,2.0,22.0,25.0,22.0,26.0,5.0,1.0,5.0,,,,,,89.0,64.0,6.6,11.0,0.0554507,2,,,,,,,2.0,4.0,1.0,,,1.0,1.0,2.0,2.0,1.0,,0.0928,1.0,,,,1.0,,1.0,2.0,,,,,,,,
12116975,home,Cruzeiro,Lucas Silva,lucas-silva,L. Silva,M,16,182,2401,M,245159,EUR,729820800,M,16,16,False,32.0,28.0,1.0,1.0,10.0,10.0,18.0,24.0,4.0,1.0,6.0,,,,,,78.0,40.0,7.3,8.0,0.0405338,1,,,,,2.0,,2.0,3.0,,,,,,1.0,,1.0,,0.0633,,2.0,1.0,1.0,1.0,0.2945,,,True,1.0,,,,,,
12116975,home,Cruzeiro,Rafael Silva,rafael-silva,R. Silva,F,99,179,1617,M,243963,EUR,702345600,F,8,8,False,16.0,12.0,1.0,1.0,1.0,1.0,11.0,17.0,2.0,,1.0,,,,,,68.0,24.0,7.3,6.0,0.00999858,1,,,,,2.0,,,2.0,,,,,,,,,2.0,0.5684,,2.0,1.0,1.0,,0.9454,,,,1.0,1.0,,,,,
12116975,home,Cruzeiro,Matheus Pereira,matheus-pereira,M. Pereira,M,10,175,14140,M,377238,EUR,831254400,F,10,10,False,31.0,23.0,2.0,,11.0,13.0,13.0,20.0,1.0,,4.0,,,,,,82.0,50.0,7.3,15.0,0.0300196,3,,,,,2.0,1.0,,6.0,4.0,4.0,,1.0,,,,3.0,2.0,0.3024,1.0,,1.0,,1.0,0.3633,1.0,1.0,,,,matheus_pereira,,,,
