match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_bigChanceCreated,stat_totalClearance,stat_outfielderBlock,stat_fouls,stat_challengeLost,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_totalOffside,stat_expectedGoals,stat_dispossessed,stat_totalContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_penaltyWon,stat_expectedGoalsOnTarget,stat_wonContest,stat_goals,captain,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_punches,stat_penaltyConceded,player_sofascoreId,stat_hitWoodwork
11352568,home,Luton Town,Thomas Kaminski,thomas-kaminski,T. Kaminski,G,1,190.0,545,M,45959,EUR,719798400,G,24,24,False,21.0,18.0,8.0,6.0,0.0,15.0,17.0,3.0,4.0,1.0,7.0,1.0,2.0,2.0,2.0,76.0,29.0,5.8,4.0,0.0133122,1.0,0,-2.2837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352568,home,Luton Town,Daiki Hashioka,daiki-hashioka,D. Hashioka,D,4,185.0,1033,M,897334,EUR,926899200,D,27,27,False,40.0,36.0,4.0,2.0,0.0,28.0,28.0,9.0,13.0,4.0,3.0,2.0,,,,90.0,50.0,6.4,4.0,0.0215051,1.0,0,,,,1.0,1.0,3.0,2.0,5.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
11352568,home,Luton Town,Teden Mengi,teden-mengi,T. Mengi,D,15,183.0,754,M,979233,EUR,1020124800,D,15,15,False,3.0,2.0,,,0.0,2.0,3.0,,,,,,,,,17.0,3.0,6.5,1.0,4.09e-06,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352568,home,Luton Town,Gabriel Osho,gabriel-osho,G. Osho,D,4,185.0,1150,M,920680,EUR,903052800,D,2,2,False,20.0,18.0,3.0,1.0,0.0,16.0,16.0,2.0,4.0,4.0,4.0,1.0,,,,90.0,28.0,6.0,3.0,0.00080276,,1,,,,,,2.0,1.0,4.0,,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0199,,,,,,,,,,,,,,,,,
11352568,home,Luton Town,Chiedozie Ogbene,ogbene-chiedozie,C. Ogbene,M,19,181.0,757,M,849309,EUR,862444800,M,7,7,False,29.0,22.0,,,0.0,5.0,8.0,17.0,22.0,4.0,4.0,3.0,,,,76.0,50.0,7.3,16.0,0.0149157,1.0,3,,,,1.0,,,1.0,3.0,,,,,,,,,2.0,1.0,0.1349,1.0,2.0,1.0,2.0,2.0,1.0,0.0303,,,,,,,,,,
11352568,home,Luton Town,Albert Sambi Lokonga,albert-sambi-lokonga,A. S. Lokonga,M,6,183.0,3626,M,901892,EUR,940550400,M,28,28,False,48.0,41.0,6.0,3.0,0.0,27.0,29.0,14.0,19.0,3.0,4.0,1.0,,,,90.0,56.0,6.4,11.0,0.0126825,1.0,0,,,,,,,2.0,3.0,,,,1.0,1.0,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,
11352568,home,Luton Town,Jordan Clark,jordan-clark,J. Clark,M,18,183.0,134,M,150477,EUR,748656000,M,18,18,False,28.0,22.0,2.0,,0.0,14.0,14.0,8.0,15.0,4.0,2.0,1.0,,,,70.0,40.0,6.8,10.0,0.0475674,2.0,3,,,,1.0,,,2.0,2.0,1.0,2.0,,2.0,,1.0,,,1.0,2.0,0.1319,,2.0,,2.0,1.0,,,1.0,,,,,,,,,
11352568,home,Luton Town,Alfie Doughty,alfie-doughty,A. Doughty,M,14,183.0,521,M,945792,EUR,945734400,M,45,45,False,25.0,18.0,5.0,2.0,0.0,10.0,10.0,12.0,28.0,3.0,1.0,,,,,90.0,57.0,7.2,20.0,0.1702,2.0,1,,,,13.0,4.0,,,6.0,,1.0,,4.0,1.0,,2.0,1.0,,1.0,0.0377,1.0,1.0,1.0,,1.0,,0.2689,1.0,1.0,,,,,,,,
11352568,home,Luton Town,Carlton Morris,carlton-morris,C. Morris,F,9,185.0,1069,M,358222,EUR,819072000,F,9,9,False,17.0,12.0,,,0.0,2.0,2.0,10.0,15.0,10.0,2.0,3.0,,,,90.0,32.0,7.4,7.0,0.0140045,1.0,4,,,,,,,2.0,1.0,,,,,,2.0,4.0,1.0,1.0,,1.4485,,2.0,2.0,,,,1.6624,1.0,1.0,True,1.0,,,,,,
11352568,home,Luton Town,Elijah Adebayo,adebayo-elijah,E. Adebayo,F,11,193.0,980,M,920542,EUR,884131200,F,11,11,False,6.0,2.0,,,0.0,,1.0,2.0,5.0,4.0,,2.0,,,,76.0,22.0,5.7,13.0,0.00405858,,1,,,,,,,1.0,11.0,,,,2.0,1.0,,,,1.0,2.0,0.1285,3.0,6.0,1.0,,,,0.325,1.0,,,1.0,,,,,,
