match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_outfielderBlock,stat_aerialLost,stat_dispossessed,stat_bigChanceMissed,stat_bigChanceCreated,stat_keyPass,captain,stat_blockedScoringAttempt,stat_accurateCross,stat_totalOffside,stat_onTargetScoringAttempt,stat_wasFouled,stat_expectedGoalsOnTarget,stat_goals,stat_savedShotsFromInsideTheBox,stat_saves,stat_goalsPrevented,stat_lastManTackle,stat_errorLeadToAGoal,stat_errorLeadToAShot
13472594,home,Cruzeiro,Cássio,cassio,Cássio,G,1,195,4592,M,rcassio12,27756,EUR,549936000,G,1,1,False,13.0,11.0,5.0,3.0,0.0,11.0,12.0,1.0,90.0,13.0,6.7,2.0,3.803e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472594,home,Cruzeiro,William,william,William,D,12,176,2476,M,,604274,EUR,796867200,D,12,12,False,35.0,26.0,3.0,1.0,0.0,8.0,9.0,26.0,90.0,64.0,7.1,22.0,0.00977747,2,,,18.0,11.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0324,54.028318891471,9.0,29.085,8.505,,,,,,,,,,,,,,,,,,,,
13472594,home,Cruzeiro,Fabrício Bruno,fabricio-bruno,F. Bruno,D,15,192,6526,M,fabriciobruno96,840220,EUR,824083200,D,15,15,False,41.0,36.0,6.0,4.0,0.0,18.0,20.0,21.0,90.0,47.0,7.3,5.0,0.00889412,0,,,18.0,,1.0,2.0,1.0,,,,,4.0,1.0,5.0,,,,2.0,,130.0463028557,11.0,74.34,28.035,1.0,,,,,,,,,,,,,,,,,,,
13472594,home,Cruzeiro,Lucas Villalba,lucas-villalba,L. Villalba,D,25,177,1898,M,,260077,EUR,777254400,D,25,25,False,34.0,31.0,5.0,3.0,0.0,18.0,20.0,14.0,90.0,44.0,7.0,6.0,0.0133521,1,,,13.0,1.0,,6.0,1.0,1.0,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.122,142.8491276653,11.0,97.965,23.52,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
13472594,home,Cruzeiro,Kaiki,kaiki,Kaiki,D,6,172,2601,M,,1112484,EUR,1047081600,D,6,6,False,32.0,27.0,3.0,1.0,0.0,12.0,13.0,19.0,89.0,57.0,7.4,9.0,0.177914,1,Kaiki,,15.0,2.0,2.0,5.0,7.0,1.0,2.0,1.0,1.0,2.0,3.0,9.0,4.0,4.0,1.0,3.0,0.0344,125.04109148933,15.0,87.675,22.995,,,,,1.0,1.0,,,,,,,,,,,,,,
13472594,home,Cruzeiro,Lucas Romero,lucas-romero,L. Romero,M,29,167,2727,M,,263477,EUR,766627200,M,29,29,False,40.0,33.0,5.0,3.0,0.0,12.0,15.0,25.0,86.0,45.0,6.8,7.0,0.0180132,0,,,21.0,,,3.0,1.0,1.0,,,,1.0,1.0,4.0,1.0,1.0,,1.0,,44.078197162905,7.0,34.44,12.81,,1.0,,,,1.0,,,,,,,,,,,,,,
13472594,home,Cruzeiro,Lucas Silva,lucas-silva,L. Silva,M,16,182,2401,M,,245159,EUR,729820800,M,16,16,False,45.0,42.0,4.0,4.0,0.0,20.0,22.0,23.0,90.0,56.0,6.8,5.0,0.0221797,2,,,22.0,,,10.0,4.0,2.0,2.0,1.0,1.0,,,7.0,3.0,1.0,1.0,6.0,0.0634,133.07299673736,16.0,33.81,14.595,,1.0,,,,,True,1.0,,,,,,,,,,,,
13472594,home,Cruzeiro,Christian,christian,Christian,M,88,178,1761,M,,981733,EUR,977184000,M,88,88,False,22.0,20.0,,,0.0,7.0,7.0,15.0,74.0,31.0,7.5,4.0,0.493966,0,,,13.0,3.0,,1.0,4.0,,3.0,3.0,,,,6.0,1.0,1.0,,,,82.478528520159,12.0,21.315,14.28,,1.0,,,1.0,2.0,,,1.0,1.0,,,,,,,,,,
13472594,home,Cruzeiro,Matheus Pereira,matheus-pereira,M. Pereira,M,10,175,14140,M,matheus_pereira,377238,EUR,831254400,M,10,10,False,38.0,33.0,2.0,1.0,0.0,10.0,11.0,27.0,90.0,56.0,7.0,12.0,0.0720969,2,,,23.0,5.0,,4.0,4.0,1.0,,,,1.0,,2.0,,,1.0,,0.0414,208.23906966693,21.0,90.09,19.425,,1.0,2.0,,,2.0,,1.0,1.0,,1.0,4.0,0.018,,,,,,,
13472594,home,Cruzeiro,Keny Arroyo,arroyo-keny,K. Arroyo,M,99,176,6018,M,,1482431,EUR,1139875200,M,99,99,False,11.0,6.0,,,0.0,2.0,3.0,8.0,74.0,29.0,7.5,13.0,0.00838569,4,Keny Arroyo,,4.0,3.0,,4.0,4.0,,,,2.0,,,,2.0,2.0,3.0,1.0,0.851,96.864714180473,12.0,72.03,19.425,,1.0,2.0,1.0,,1.0,,,,,2.0,2.0,0.8303,1.0,,,,,,
