match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialWon,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_wasFouled,stat_bigChanceCreated,stat_shotOffTarget,stat_keyPass,stat_totalContest,stat_wonContest,stat_fouls,captain,stat_accurateCross,stat_blockedScoringAttempt,stat_goalAssist,stat_bigChanceMissed,stat_goals,stat_totalOffside,stat_hitWoodwork,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
11251076,home,Al-Ettifaq,Paulo Victor,,,paulo-victor,P. Victor,G,48,187.0,212,M,34142,EUR,537408000.0,G,48,48,False,30.0,14.0,26.0,10.0,7.0,12.0,7.0,18.0,2.0,9.0,2.0,1.0,2.0,1.0,90.0,39.0,7.3,16.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11251076,home,Al-Ettifaq,Alhwsawi Sanousi Mohammed,Alhwsawi Sanousi Mohammed,,alhwsawi-sanousi-mohammed,A. S. Mohammed,D,12,172.0,20,M,1085415,EUR,902707200.0,D,12,12,False,16.0,11.0,2.0,,10.0,14.0,1.0,3.0,6.0,5.0,,,,,85.0,49.0,7.3,14.0,0,1.0,1.0,4.0,6.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
11251076,home,Al-Ettifaq,Saad Al-Mousa,Saad Al-Mousa,,saad-al-mousa,S. Al-Mousa,D,6,182.0,373,M,1134250,EUR,1039478400.0,D,5,5,False,20.0,14.0,5.0,,13.0,15.0,1.0,5.0,3.0,5.0,,,,,90.0,29.0,7.1,7.0,1,,1.0,2.0,,,,,3.0,5.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,
11251076,home,Al-Ettifaq,Darko Velkovski,,,darko-velkovski,D. Velkovski,D,24,188.0,155,M,156990,EUR,803692800.0,D,14,14,False,22.0,17.0,8.0,3.0,16.0,17.0,1.0,5.0,9.0,4.0,,,,,90.0,40.0,7.7,6.0,1,,1.0,2.0,1.0,,,,,2.0,1.0,1.0,,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
11251076,home,Al-Ettifaq,Abdulrahman Al-Obaid,,,abdulrahman-al-obaid,A. Al-Obaid,D,13,172.0,51,M,818705,EUR,736128000.0,D,13,13,False,20.0,15.0,3.0,1.0,7.0,11.0,8.0,12.0,8.0,6.0,,,,,90.0,40.0,7.0,10.0,0,3.0,1.0,2.0,1.0,,,1.0,4.0,4.0,,,,1.0,1.0,,,,,,,,,,,,,,,,
11251076,home,Al-Ettifaq,Ibrahim Mahnashi,,,ibrahim-mahnashi,I. Mahnashi,M,40,,10,M,917267,EUR,942883200.0,M,6,6,False,25.0,20.0,4.0,1.0,14.0,16.0,6.0,9.0,2.0,2.0,,,,,75.0,37.0,7.3,5.0,0,,,5.0,3.0,4.0,3.0,,,4.0,2.0,,,1.0,,,,1.0,1.0,1.0,2.0,,,,,,,,,,
11251076,home,Al-Ettifaq,Mohammed Al-Kuwaykibi,,,mohammed-al-kuwaykibi,M. Al-Kuwaykibi,F,7,168.0,101,M,847233,EUR,786326400.0,M,7,7,False,16.0,11.0,6.0,2.0,4.0,6.0,9.0,14.0,1.0,9.0,,,,,70.0,35.0,6.6,14.0,3,4.0,,2.0,,,,4.0,1.0,8.0,5.0,2.0,1.0,1.0,1.0,,2.0,3.0,1.0,1.0,,True,2.0,,,,,,,,
11251076,home,Al-Ettifaq,Berat Ayberk Özdemir,,,berat-ayberk-ozdemir,B. A. Özdemir,M,2,187.0,216,M,876857,EUR,895881600.0,M,98,98,False,22.0,19.0,4.0,2.0,9.0,10.0,11.0,14.0,4.0,8.0,,,,,90.0,36.0,7.3,4.0,1,2.0,,3.0,1.0,3.0,2.0,,1.0,3.0,2.0,,,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,
11251076,home,Al-Ettifaq,Ali Hazazi,,,ali-hazazi,A. Hazazi,M,11,185.0,62,M,818699,EUR,761529600.0,M,11,11,False,22.0,18.0,5.0,2.0,8.0,9.0,11.0,14.0,1.0,7.0,,,,,90.0,39.0,7.5,8.0,0,1.0,,5.0,3.0,3.0,3.0,2.0,,3.0,2.0,,,,1.0,1.0,,1.0,2.0,1.0,,,1.0,,1.0,,,,,,
11251076,home,Al-Ettifaq,Robin Quaison,,,robin-quaison,R. Quaison,F,,184.0,385,M,163565,EUR,750124800.0,M,99,99,False,15.0,14.0,2.0,1.0,6.0,7.0,8.0,8.0,1.0,4.0,,,,,69.0,29.0,7.2,5.0,3,,,3.0,1.0,2.0,1.0,1.0,1.0,3.0,,,1.0,,,,1.0,,2.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,
