match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_progressiveBallCarriesCount,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,captain,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_keyPass,player_firstName,player_lastName,stat_interceptionWon,stat_fouls,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_accurateCross,stat_dispossessed,stat_shotOffTarget,stat_hitWoodwork,stat_unsuccessfulTouch,stat_totalOffside,stat_totalContest,stat_wonContest,stat_penaltyWon,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_keeperSaveValue,stat_goalkeeperValueNormalized,stat_outfielderBlock,player_sofascoreId,stat_penaltyConceded,stat_bigChanceCreated
14062202,home,1. FC Union Berlin,Frederik Rønnow,frederik-ronnow,F. Rønnow,G,1,188,637,M,137692,EUR,712886400,G,1,1,False,19.0,14.0,10.0,5.0,0.0,11.0,12.0,3.0,7.0,1.0,4.0,1.0,1.0,90.0,21.0,6.6,5.0,0.00070848,7.0404683734654,2.0,4.2393856886906,0.0,0,-0.5802,0.06,0.0,-0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14062202,home,1. FC Union Berlin,Christopher Trimmel,christopher-trimmel,C. Trimmel,M,28,189,354,M,48557,EUR,541123200,D,28,28,False,23.0,14.0,4.0,1.0,0.0,3.0,7.0,11.0,16.0,3.0,3.0,,,90.0,46.0,6.8,17.0,0.256797,37.308425153073,5.0,24.900646535732,1.0,0,,0.26,0.07,-0.1,True,5.0,1.0,1.0,2.0,1.0,5.0,2.0,1.0,16.206362085756,18.766035702833,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14062202,home,1. FC Union Berlin,Danilho Doekhi,danilho-doekhi,D. Doekhi,D,5,187,772,M,830803,EUR,899164800,D,5,5,False,19.0,12.0,4.0,1.0,0.0,5.0,7.0,7.0,12.0,4.0,4.0,1.0,,90.0,26.0,6.5,8.0,0.0112418,25.088686905999,5.0,5.6369141016028,0.0,0,,0.08,0.0,-0.11,,1.0,1.0,3.0,2.0,,1.0,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14062202,home,1. FC Union Berlin,Leopold Querfeld,querfeld-leopold,L. Querfeld,D,14,190,1226,M,1086547,EUR,1071878400,D,14,14,False,15.0,12.0,3.0,2.0,0.0,10.0,10.0,2.0,5.0,7.0,,1.0,,90.0,30.0,7.3,3.0,0.00870938,26.843528462923,4.0,13.121580354548,0.0,2,,0.07,0.01,-0.1,,,,4.0,3.0,,7.0,2.0,1.0,,,,,,1.0,3.0,2.0,1.0,0.9195,0.9602,0.3,,,,,,,,,,,,,,,,,,,,,,
14062202,home,1. FC Union Berlin,Stanley N'Soki,stanley-nsoki,S. N'Soki,D,34,184,416,M,904991,EUR,923616000,D,34,34,False,27.0,16.0,13.0,4.0,0.0,8.0,8.0,8.0,19.0,3.0,2.0,,,90.0,38.0,6.7,13.0,0.0103037,113.45186579579,14.0,42.096950039609,1.0,0,,0.18,0.06,-0.05,,1.0,,2.0,,,6.0,1.0,1.0,15.912680719119,16.939975472237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14062202,home,1. FC Union Berlin,Derrick Köhn,derrick-kohn,D. Köhn,D,39,180,1916,M,886737,EUR,918086400,D,39,39,False,22.0,16.0,3.0,2.0,0.0,4.0,6.0,12.0,16.0,3.0,2.0,,,90.0,53.0,6.2,18.0,0.0320855,63.81476058877,8.0,23.370878047679,0.0,2,,-0.05,0.1,-0.23,,8.0,,1.0,5.0,2.0,4.0,2.0,,,,,,,1.0,1.0,,,0.105,,-0.37,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
14062202,home,1. FC Union Berlin,András Schäfer,andras-schafer,A. Schäfer,M,13,179,2407,M,877302,EUR,923961600,M,13,13,False,15.0,12.0,,,0.0,2.0,2.0,10.0,13.0,3.0,1.0,1.0,,79.0,27.0,6.5,6.0,0.0270866,26.468903448489,5.0,2.9906640166847,0.0,1,,0.04,0.01,-0.06,,1.0,1.0,1.0,6.0,2.0,1.0,1.0,,,,,,,,2.0,,,0.0176,,-0.01,1.0,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,
14062202,home,1. FC Union Berlin,Rani Khedira,rani-khedira,R. Khedira,M,8,188,962,M,149479,EUR,759628800,M,8,8,False,17.0,8.0,3.0,,0.0,2.0,5.0,6.0,12.0,7.0,6.0,2.0,,90.0,27.0,7.1,10.0,0.00524246,58.179171106914,6.0,16.070527619893,0.0,0,,-0.16,0.07,-0.09,,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,,,2.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,
14062202,home,1. FC Union Berlin,Aljoscha Kemlein,aljoscha-kemlein,A. Kemlein,M,6,185,331,M,1198074,EUR,1091404800,M,6,6,False,29.0,25.0,3.0,2.0,0.0,11.0,11.0,14.0,18.0,5.0,4.0,1.0,,88.0,43.0,7.0,6.0,0.0110808,60.060890835741,10.0,3.2978565423904,1.0,2,,0.08,0.13,0.16,,,,1.0,1.0,1.0,3.0,3.0,1.0,8.8185261835163,9.4308027760101,,Aljoscha Kemlein,,,,1.0,,0.0652,0.133,-0.2,,,,,2.0,,,,,1.0,,,,,,,,,,,,
14062202,home,1. FC Union Berlin,Woo-Yeong Jeong,woo-yeong-jeong,W. Jeong,M,11,179,1574,M,927405,EUR,937785600,F,11,11,False,17.0,13.0,1.0,1.0,0.0,4.0,6.0,9.0,11.0,5.0,3.0,2.0,,71.0,26.0,7.1,5.0,0.0287009,38.219369820012,7.0,-0.95138622314981,0.0,0,,0.09,0.09,-0.05,,1.0,,,2.0,2.0,2.0,3.0,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
