match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_unsuccessfulTouch,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_keyPass,captain,stat_outfielderBlock,stat_penaltyConceded,stat_fouls,player_sofascoreId,stat_accurateCross,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_wasFouled,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_lastManTackle,stat_totalOffside,stat_shotOffTarget,stat_penaltyWon,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_goals,player_firstName,player_lastName
11352384,away,West Ham United,Tomáš Souček,tomas-soucek,T. Souček,M,28,192,3256,M,799041,EUR,793843200,M,28,28,False,13.0,9.0,1.0,,3.0,4.0,6.0,9.0,1.0,1.0,,,,45.0,18.0,6.2,6.0,0.00217463,0,,,,,1.0,2.0,,,,,2.0,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,
11352384,away,West Ham United,Mohammed Kudus,mohammed-kudus,M. Kudus,M,20,176,89524,M,905163,EUR,965174400,M,14,14,False,21.0,19.0,1.0,1.0,6.0,6.0,13.0,20.0,5.0,3.0,,,,90.0,57.0,6.5,22.0,0.0228208,3,,5.0,1.0,,11.0,9.0,,7.0,,,2.0,1.0,,,,,1.0,Kudus,,4.0,2.0,,5.0,,0.0955,,,,2.0,,,1.0,,,
11352384,away,West Ham United,James Ward-Prowse,james-ward-prowse,J. Ward-Prowse,M,20,177,4256,M,161717,EUR,783648000,M,7,7,False,44.0,42.0,,,12.0,12.0,30.0,34.0,4.0,,,,,90.0,58.0,8.0,4.0,0.0199197,5,,2.0,1.0,3.0,3.0,8.0,2.0,,,1.0,4.0,3.0,,,1.0,,,prowsey16,,,,,1.0,1.0,0.2102,0.715,,,2.0,,,2.0,1.0,,
11352384,away,West Ham United,Lucas Paquetá,lucas-paqueta,L. Paquetá,M,20,180,63569,M,839981,EUR,872640000,M,10,10,False,45.0,38.0,2.0,1.0,6.0,6.0,33.0,40.0,4.0,5.0,,,,90.0,64.0,6.9,19.0,0.0962248,1,,1.0,,2.0,10.0,4.0,2.0,6.0,2.0,1.0,1.0,1.0,2.0,,,,1.0,Paqueta,1.0,2.0,1.0,,,1.0,0.7884,0.9926,,,,,,,1.0,,
11352384,away,West Ham United,Jarrod Bowen,jarrod-bowen,J. Bowen,M,20,174,9125,M,552884,EUR,851040000,F,20,20,False,6.0,5.0,1.0,1.0,1.0,2.0,4.0,5.0,2.0,2.0,,,,54.0,15.0,6.9,6.0,0.534845,0,,1.0,,,2.0,3.0,,,,,2.0,2.0,1.0,,,,,jarrodbowen,,2.0,,1.0,1.0,,,,,,,,,,,,
11352384,away,West Ham United,Ben Johnson,ben-johnson,B. Johnson,D,18,182,616,M,914412,EUR,948672000,D,2,2,True,24.0,20.0,2.0,2.0,2.0,2.0,18.0,25.0,,,,,,45.0,45.0,6.8,12.0,0.0146532,1,,3.0,1.0,1.0,4.0,2.0,,1.0,2.0,,,,,,,,,,,3.0,1.0,,,1.0,0.0411,0.1532,,,,,,,,,
11352384,away,West Ham United,Michail Antonio,michail-antonio,M. Antonio,F,,180,3251,M,47772,EUR,638582400,F,9,9,True,12.0,7.0,,,1.0,1.0,6.0,12.0,1.0,2.0,,,,45.0,26.0,6.6,12.0,0.0189131,1,,1.0,2.0,1.0,7.0,4.0,1.0,2.0,1.0,,1.0,,,,,,,MichailAntonio,,4.0,2.0,,,1.0,0.0291,0.0237,,,,,,,,,
11352384,away,West Ham United,Aaron Cresswell,aaron-cresswell,A. Cresswell,D,3,170,763,M,43443,EUR,629683200,D,3,3,True,23.0,18.0,7.0,4.0,6.0,6.0,12.0,18.0,1.0,,,,,36.0,34.0,6.9,7.0,0.00722105,0,,1.0,,1.0,,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11352384,away,West Ham United,Joseph Anang,joseph-anang,J. Anang,G,94,183,850,M,970370,EUR,947289600,G,49,49,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352384,away,West Ham United,Nayef Aguerd,nayef-aguerd,N. Aguerd,D,20,188,25735,M,877102,EUR,828144000,D,27,27,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,nayefaguard,,,,,,,,,,,,,,,,,
11352384,away,West Ham United,Angelo Ogbonna,angelo-ogbonna,A. Ogbonna,D,,191,389,M,21164,EUR,580348800,D,21,21,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352384,away,West Ham United,Kalvin Phillips,kalvin-phillips,K. Phillips,M,27,177,9303,M,786028,EUR,817862400,M,11,11,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,kalvinphillips,,,,,,,,,,,,,,,,,
11352384,away,West Ham United,Maxwel Cornet,maxwel-cornet,M. Cornet,F,70,179,1971,M,280439,EUR,843782400,F,17,17,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352384,away,West Ham United,Danny Ings,danny-ings,D. Ings,F,9,178,1761,M,130181,EUR,711849600,F,18,18,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
