match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,stat_accurateCross,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_bigChanceCreated,captain,stat_challengeLost,stat_dispossessed,stat_hitWoodwork,stat_bigChanceMissed,stat_goals,stat_savedShotsFromInsideTheBox,stat_punches,stat_outfielderBlock,stat_totalOffside
14053611,home,FC Groningen,Etienne Vaessen,etienne-vaessen,E. Vaessen,G,1,187.0,465,M,809408,EUR,806716800,G,1,1,False,28.0,19.0,10.0,2.0,0.0,17.0,18.0,2.0,10.0,1.0,11.0,1.0,1.0,1.0,90.0,36.0,6.2,9.0,0.00126496,55.595344515276,9.0,35.805,10.815,-0.0001,0,-1.0003,0.03,0.01,-0.19,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053611,home,FC Groningen,Marco Rente,marco-rente,M. Rente,D,5,185.0,163,M,827103,EUR,856828800,D,5,5,False,52.0,38.0,5.0,3.0,0.0,11.0,13.0,27.0,39.0,2.0,3.0,,,,90.0,82.0,6.9,24.0,0.333634,119.56730818031,12.0,104.685,20.79,,2,,0.4,0.13,-0.35,,,,10.0,2.0,6.0,2.0,9.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.1305,0.0335,2.0,-0.52,,,,,,,,,,,,,,,,
14053611,home,FC Groningen,Thijmen Blokzijl,thijmen-blokzijl,T. Blokzijl,D,3,181.0,296,M,1121401,EUR,1109289600,D,3,3,False,111.0,99.0,5.0,3.0,0.0,42.0,44.0,57.0,67.0,2.0,8.0,,,,90.0,120.0,7.4,14.0,0.170434,345.32607736083,38.0,204.645,27.09,,1,,0.51,0.16,-0.24,,Thijmen Blokzijl,,2.0,,2.0,,4.0,,,,,1.0,2.0,1.0,0.0175,,2.0,-0.06,1.0,1.0,1.0,,,,,,,,,,,,,
14053611,home,FC Groningen,Dies Janse,janse-dies,D. Janse,D,4,196.0,640,M,1470010,EUR,1137456000,D,4,4,False,74.0,66.0,7.0,6.0,0.0,27.0,27.0,39.0,47.0,3.0,2.0,,,,90.0,86.0,6.9,8.0,0.10415,251.9941920408,32.0,155.295,30.135,,3,,0.38,0.29,-0.34,,Dies Janse,,,2.0,2.0,3.0,4.0,,,,,,1.0,,0.1673,,,-0.26,,3.0,,1.0,1.0,,,,,,,,,,,
14053611,home,FC Groningen,Marvin Peersman,marvin-peersman,M. Peersman,D,43,185.0,131,M,76160,EUR,666144000,D,43,43,False,34.0,23.0,4.0,1.0,0.0,8.0,9.0,15.0,25.0,,5.0,,,,76.0,50.0,5.9,15.0,0.0299078,58.17140890612,9.0,48.93,11.76,,0,,-0.18,0.09,-0.32,,,,2.0,1.0,,3.0,2.0,1.0,,,,1.0,1.0,1.0,,,2.0,,,,,1.0,1.0,,,,,,,,,,,
14053611,home,FC Groningen,Tika de Jonge,tika-de-jonge,T. d. Jonge,M,8,182.0,103,M,1121402,EUR,1047340800,M,8,8,False,44.0,36.0,4.0,4.0,0.0,16.0,16.0,20.0,28.0,,2.0,,,,76.0,52.0,7.3,10.0,0.171543,102.13426211735,13.0,49.56,16.8,,1,,0.37,0.13,0.0,,Tika de Jonge,,1.0,,,1.0,1.0,,,,1.0,2.0,1.0,1.0,0.0366,0.014,1.0,-0.01,,,1.0,,1.0,1.0,,,,,,,,,,
14053611,home,FC Groningen,Stije Resink,stije-resink,S. Resink,M,6,186.0,608,M,1090328,EUR,1053993600,M,6,6,False,68.0,59.0,7.0,4.0,1.0,15.0,15.0,44.0,53.0,,4.0,,,,90.0,94.0,7.9,15.0,0.791091,207.42125065961,31.0,68.355,20.58,,7,,0.79,0.4,-0.14,,Stije Resink,,2.0,,,6.0,6.0,6.0,3.0,3.0,1.0,,2.0,2.0,0.2088,0.1259,4.0,-0.25,2.0,3.0,1.0,1.0,,,True,1.0,2.0,1.0,,,,,,
14053611,home,FC Groningen,David van der Werff,david-van-der-werff,D. v. d. Werff,M,17,180.0,88,M,1878212,EUR,1093910400,M,17,17,False,16.0,12.0,2.0,1.0,0.0,5.0,5.0,7.0,11.0,,1.0,,,,65.0,28.0,6.7,10.0,0.228783,25.958975607246,5.0,10.92,6.93,,2,,0.13,0.16,-0.12,,David van der Werff,,3.0,,1.0,2.0,2.0,2.0,,,1.0,,1.0,1.0,0.3147,0.4206,2.0,-0.47,1.0,1.0,2.0,,,,,,,,1.0,,,,,
14053611,home,FC Groningen,Younes Taha,younes-taha,Y. Taha,M,10,176.0,1453,M,1146623,EUR,1038355200,M,10,10,False,23.0,17.0,4.0,3.0,0.0,3.0,3.0,14.0,20.0,,5.0,,,,76.0,54.0,6.8,19.0,0.148349,67.145639288632,8.0,33.285,16.485,,6,,0.32,0.11,-0.16,,Younes Taha,,9.0,,,8.0,4.0,3.0,1.0,1.0,3.0,,3.0,2.0,0.2621,0.5543,3.0,0.21,4.0,2.0,3.0,,2.0,,,1.0,3.0,1.0,,,,,,
14053611,home,FC Groningen,Jorg Schreuders,jorg-schreuders,J. Schreuders,M,14,177.0,234,M,1424404,EUR,1094688000,M,14,14,False,31.0,26.0,2.0,2.0,0.0,2.0,3.0,24.0,28.0,,5.0,,,,82.0,50.0,6.9,11.0,0.12648,208.14408236095,20.0,68.88,18.9,,3,,0.08,0.39,-0.11,,Jorg Schreuders,,2.0,,,5.0,5.0,3.0,1.0,,2.0,,1.0,1.0,0.1189,0.2338,2.0,-0.11,1.0,1.0,1.0,3.0,1.0,,,,2.0,,,,,,,
14053611,home,FC Groningen,Thom van Bergen,thom-van-bergen,T. v. Bergen,F,26,180.0,457,M,1413536,EUR,1073347200,F,26,26,False,25.0,18.0,,,0.0,5.0,6.0,13.0,19.0,1.0,2.0,,,,90.0,53.0,8.4,14.0,0.0599528,132.26392975191,16.0,58.905,13.965,,9,,-0.67,0.17,-0.05,,Thom van Bergen,,1.0,,2.0,8.0,7.0,5.0,2.0,4.0,3.0,,1.0,,0.8109,1.1471,,0.82,,2.0,2.0,2.0,4.0,,,,1.0,,1.0,2.0,,,,
