match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalLongBalls,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalTackle,stat_wonTackle,stat_fouls,stat_possessionLostCtrl,stat_keyPass,stat_accurateLongBalls,stat_aerialLost,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_lastManTackle,stat_wasFouled,stat_expectedGoals,stat_totalOffside,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,captain,stat_accurateCross,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals,stat_unsuccessfulTouch,stat_penaltyWon,stat_errorLeadToAShot,stat_goodHighClaim,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded,stat_hitWoodwork
12764432,home,Real Madrid,Andriy Lunin,andriy-lunin,A. Lunin,G,13,191,79117,M,ALunin,857574,EUR,918691200,G,13,13,False,5.0,5.0,0.0,5.0,5.0,1.0,1.0,1.0,8.0,4.0,6.0,1.0,90.0,18.0,7.5,0.00011474,0,0.2396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764432,home,Real Madrid,Lucas Vázquez,lucas-vazquez,L. Vázquez,D,21,173,59873,M,LucasVaz91,255239,EUR,678326400,D,17,17,False,56.0,51.0,0.0,19.0,20.0,,3.0,,4.0,,,,90.0,67.0,6.4,0.0402808,0,,,,1.0,32.0,38.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764432,home,Real Madrid,Éder Militão,eder-militao,É. Militão,D,3,186,139875,M,EMilitão,822519,EUR,885081600,D,3,3,False,44.0,41.0,0.0,25.0,25.0,3.0,5.0,,5.0,,,,90.0,57.0,7.3,0.00592667,3,,,,7.0,16.0,19.0,,5.0,,1.0,1.0,1.0,1.0,4.0,1.0,6.0,3.0,3.0,3.0,1.0,1.0,1.0,0.2291,,,,,,,,,,,,,,,,,,,,
12764432,home,Real Madrid,Antonio Rüdiger,antonio-rudiger,A. Rüdiger,D,22,191,191574,M,ARüdiger,142622,EUR,731116800,D,22,22,False,53.0,52.0,0.0,23.0,23.0,,3.0,1.0,7.0,,,,90.0,62.0,6.6,0.0154241,0,,,,6.0,29.0,30.0,,4.0,1.0,,3.0,3.0,2.0,1.0,,5.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
12764432,home,Real Madrid,Ferland Mendy,ferland-mendy,F. Mendy,D,23,178,70600,M,FerMendy,792073,EUR,802569600,D,23,23,False,33.0,32.0,0.0,10.0,10.0,,,,1.0,,,,74.0,38.0,6.2,0.0305118,0,,,,1.0,22.0,23.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764432,home,Real Madrid,Federico Valverde,federico-valverde,F. Valverde,M,8,181,375067,M,Fede,831808,EUR,901065600,M,8,8,False,16.0,16.0,0.0,2.0,2.0,,1.0,,1.0,,,,45.0,20.0,6.5,0.0194765,0,,,,3.0,14.0,16.0,2.0,2.0,1.0,,1.0,,1.0,3.0,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12764432,home,Real Madrid,Aurélien Tchouaméni,aurelien-tchouameni,A. Tchouaméni,M,14,188,145314,M,ATchouaméni,859025,EUR,948931200,M,14,14,False,24.0,23.0,0.0,13.0,14.0,,6.0,,3.0,,,,45.0,34.0,7.1,0.026568,1,,,,2.0,10.0,10.0,,,,,3.0,,,1.0,1.0,2.0,,,1.0,,,2.0,0.014,,1.0,1.0,1.0,0.0449,,,,,,,,,,,,,,,
12764432,home,Real Madrid,Luka Modrić,luka-modric,L. Modrić,M,14,173,352872,M,LModric10,15466,EUR,495072000,M,10,10,False,52.0,49.0,0.0,21.0,21.0,,1.0,,5.0,,,,63.0,60.0,7.2,0.35915,2,,,,5.0,28.0,33.0,2.0,2.0,1.0,1.0,1.0,,,7.0,1.0,3.0,,1.0,,,,,0.0795,,,,1.0,0.1403,True,,,,,,,,,,,,,,
12764432,home,Real Madrid,Jude Bellingham,jude-bellingham,J. Bellingham,M,5,188,1020916,M,JudeBell,991011,EUR,1056844800,M,5,5,False,50.0,44.0,0.0,17.0,17.0,,5.0,,1.0,,,,74.0,64.0,7.1,0.0455673,1,,,,1.0,27.0,34.0,1.0,5.0,2.0,2.0,1.0,1.0,,10.0,3.0,,,1.0,,2.0,,1.0,0.1111,1.0,4.0,3.0,,,,,,,,,,,,,,,,,
12764432,home,Real Madrid,Kylian Mbappé,kylian-mbappe,K. Mbappé,F,10,178,1752512,M,KMbappé,826643,EUR,914112000,F,9,9,False,21.0,19.0,0.0,,,,6.0,,,,,,90.0,43.0,8.2,0.100942,8,,,,,20.0,27.0,6.0,1.0,,1.0,1.0,1.0,1.0,8.0,3.0,,,3.0,,,,1.0,0.7341,,4.0,4.0,3.0,0.378,,1.0,2.0,,,,,,,,,,,,
