match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_ownGoals,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_challengeLost,stat_dispossessed,stat_unsuccessfulTouch,stat_fouls,stat_totalOffside,stat_aerialWon,stat_interceptionWon,stat_keyPass,player_firstName,player_lastName,stat_accurateCross,stat_bigChanceMissed,stat_shotOffTarget,player_sofascoreId,captain,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_goodHighClaim,stat_hitWoodwork
10408312,home,Espanyol,Benjamin Lecomte,benjamin-lecomte,B. Lecomte,G,23,186,336,M,123207,EUR,672624000,G,13,13,False,21.0,17.0,9.0,5.0,15.0,15.0,2.0,6.0,5.0,1.0,1.0,2.0,4.0,90.0,29.0,7.0,5.0,0.0,0.0,0.00033925,0,-0.6179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408312,home,Espanyol,Óscar Gil,oscar-gil,Ó. Gil,D,27,175,90,M,959820,EUR,893548800,D,2,2,False,28.0,24.0,2.0,1.0,19.0,19.0,5.0,10.0,3.0,,,,,90.0,47.0,7.1,9.0,0.0448,0.0508,0.00198841,1,,1.0,2.0,4.0,7.0,4.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
10408312,home,Espanyol,Fernando Calero,fernando-calero,F. Calero,D,5,183,302,M,857205,EUR,811036800,D,5,5,False,61.0,56.0,11.0,8.0,37.0,38.0,19.0,23.0,4.0,,,,,90.0,72.0,6.8,8.0,0.0,0.0,0.0112377,0,,,1.0,4.0,3.0,,,,2.0,,3.0,2.0,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,
10408312,home,Espanyol,Sergi Gómez,sergi-gomez,S. Gómez,D,5,185,195,M,125625,EUR,701740800,D,24,24,False,48.0,48.0,3.0,3.0,36.0,36.0,12.0,12.0,5.0,,,,,90.0,64.0,7.3,1.0,0.0,0.0,0.00398009,0,,,1.0,1.0,4.0,,,,5.0,1.0,2.0,1.0,,,,1.0,,,2.0,1.0,1.0,,,,,,,,,,,
10408312,home,Espanyol,Brian Oliván,brian-olivan,B. Oliván,D,12,179,147,M,351500,EUR,765158400,D,14,14,False,36.0,30.0,7.0,4.0,12.0,15.0,21.0,27.0,10.0,,,,,89.0,57.0,7.3,13.0,0.0,0.0,0.0709839,0,,6.0,1.0,1.0,2.0,,,,1.0,,2.0,2.0,,,,2.0,,,,2.0,2.0,,,3.0,,,,,,,,
10408312,home,Espanyol,Keidi Bare,keidi-bare,K. Bare,M,6,174,295,M,862480,EUR,872726400,M,8,8,False,54.0,48.0,6.0,2.0,21.0,23.0,27.0,31.0,4.0,,,,,81.0,63.0,6.3,8.0,0.357,0.4415,0.00995848,3,,,,6.0,,1.0,,2.0,,,,,,1.0,1.0,,3.0,,,2.0,1.0,,,,1.0,1.0,,,,,,
10408312,home,Espanyol,Vinícius Souza,vinicius-souza,Vinicius,M,5,187,1714,M,979290,EUR,929577600,M,12,12,False,28.0,24.0,3.0,1.0,13.0,13.0,11.0,15.0,5.0,,,,,60.0,37.0,7.1,4.0,0.0,0.0,0.00757787,0,,,,4.0,7.0,1.0,1.0,,,,5.0,1.0,1.0,,,,4.0,,,,,,,,,,,,,,,
10408312,home,Espanyol,Martin Braithwaite,martin-braithwaite,M. Braithwaite,F,22,180,6808,M,66471,EUR,676080000,M,17,17,False,8.0,5.0,,,,1.0,5.0,8.0,1.0,,,,,60.0,21.0,6.6,10.0,0.0154,0.0,0.0122249,1,,1.0,1.0,2.0,3.0,1.0,1.0,,1.0,,1.0,,,,1.0,4.0,,,1.0,,,,,,,1.0,braithwaite,,,,,
10408312,home,Espanyol,Sergi Darder,sergi-darder,S. Darder,M,10,180,979,M,110783,EUR,756518400,M,10,10,False,52.0,45.0,9.0,6.0,16.0,17.0,30.0,41.0,5.0,,,,,90.0,71.0,6.7,18.0,0.1554,0.0508,0.0988977,3,,6.0,,6.0,,3.0,,1.0,,,,,,1.0,1.0,1.0,1.0,,,1.0,3.0,,,1.0,,,,True,2.0,,,
10408312,home,Espanyol,Javi Puado,javi-puado,J. Puado,M,7,178,1352,M,891511,EUR,896054400,M,7,7,False,21.0,16.0,2.0,,4.0,4.0,12.0,17.0,6.0,,,,,81.0,28.0,6.9,8.0,0.2929,0.3647,0.0613142,3,,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,2.0,,,,,2.0,,,,,2.0,,,,,,
