match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_keyPass,stat_dispossessed,stat_outfielderBlock,stat_wonTackle,stat_fouls,stat_bigChanceCreated,stat_shotOffTarget,stat_wasFouled,stat_expectedGoals,stat_totalContest,stat_wonContest,captain,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_blockedScoringAttempt,stat_savedShotsFromInsideTheBox,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
12420992,home,FCV Dender,Michael Verrips,,,michael-verrips,M. Verrips,G,34,195,102,M,583506,EUR,849571200,G,34,34,False,30.0,19.0,16.0,6.0,0.0,16.0,19.0,3.0,11.0,1.0,1.0,8.0,2.0,1.0,90.0,37.0,6.7,11.0,0.00133361,0,-0.4094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12420992,home,FCV Dender,David Hrnčár,,,david-hrncar,D. Hrnčár,M,20,186,104,M,924664,EUR,881712000,D,20,20,False,28.0,23.0,3.0,1.0,1.0,13.0,15.0,12.0,17.0,1.0,2.0,3.0,,,90.0,49.0,7.3,8.0,0.494294,0,,4.0,2.0,4.0,5.0,1.0,4.0,2.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,
12420992,home,FCV Dender,Gilles Ruyssen,,,gilles-ruyssen,G. Ruyssen,D,22,186,38,M,329415,EUR,771897600,D,22,22,False,53.0,43.0,8.0,1.0,0.0,32.0,37.0,11.0,16.0,,6.0,2.0,,,90.0,66.0,6.6,12.0,0.00724323,0,,,,1.0,3.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
12420992,home,FCV Dender,Kobe Cools,,,kobe-cools,K. Cools,D,21,192,41,M,793987,EUR,869788800,D,21,21,False,65.0,49.0,11.0,6.0,0.0,39.0,48.0,10.0,17.0,2.0,3.0,1.0,,,90.0,81.0,7.1,16.0,0.111272,0,,,,9.0,9.0,1.0,15.0,,,,,,,,,,,,,,,,,,,,,,,
12420992,home,FCV Dender,Joedrick Pupe,,,pupe-joedrick,J. Pupe,D,23,189,67,M,891609,EUR,865382400,D,3,3,False,63.0,57.0,9.0,5.0,1.0,38.0,39.0,19.0,24.0,3.0,4.0,2.0,,,90.0,80.0,7.4,8.0,0.130881,1,,,,1.0,2.0,1.0,4.0,1.0,,,1.0,,1.0,,,1.0,1.0,1.0,0.0216,,,,,,,,,,,
12420992,home,FCV Dender,Fabio Ferraro,Fabio Ferraro,,fabio-ferraro,F. Ferraro,M,88,180,86,M,1145225,EUR,1031011200,D,88,88,False,32.0,26.0,4.0,2.0,1.0,13.0,15.0,15.0,19.0,,3.0,6.0,,,84.0,55.0,7.5,10.0,0.0428844,0,,2.0,2.0,,8.0,,2.0,1.0,4.0,1.0,1.0,,,4.0,,,,,,7.0,4.0,,,,,,,,,
12420992,home,FCV Dender,Lennard Hens,Lennard Hens,,lennard-hens,L. Hens,M,10,183,58,M,1502941,EUR,823737600,M,10,10,False,28.0,19.0,4.0,2.0,0.0,7.0,9.0,14.0,23.0,3.0,9.0,3.0,,,67.0,41.0,6.3,15.0,0.0520677,1,,4.0,2.0,1.0,1.0,1.0,1.0,,,2.0,,2.0,,,3.0,,,,0.0717,,,True,1.0,0.0971,,,,,,
12420992,home,FCV Dender,Nathan Rodes,,,rodes-nathan,N. Rodes,M,18,191,34,M,882003,EUR,881798400,M,18,18,False,56.0,46.0,7.0,2.0,0.0,31.0,37.0,15.0,20.0,1.0,7.0,3.0,,,90.0,65.0,6.5,13.0,0.0149521,0,,1.0,,2.0,6.0,3.0,,,2.0,,,2.0,,2.0,1.0,,,,,2.0,2.0,,,,,,,,,
12420992,home,FCV Dender,Roman Kvet,,,roman-kvet,R. Kvet,M,16,187,92,M,858926,EUR,882316800,M,16,16,False,19.0,16.0,1.0,,0.0,4.0,5.0,12.0,14.0,,2.0,3.0,,,66.0,32.0,7.7,6.0,0.0149718,1,,,,1.0,8.0,1.0,1.0,,3.0,2.0,,1.0,,2.0,,,,4.0,0.243,,,,1.0,0.9746,1.0,,,,,
12420992,home,FCV Dender,Bruny Nsimba,,,nsimba-bruny,B. Nsimba,F,77,181,280,M,1047536,EUR,954892800,F,77,77,False,17.0,13.0,1.0,1.0,0.0,2.0,2.0,11.0,17.0,1.0,4.0,2.0,,,84.0,36.0,7.4,16.0,0.457871,2,,2.0,,1.0,3.0,,,1.0,,8.0,1.0,1.0,,,1.0,,1.0,1.0,0.1381,2.0,1.0,,1.0,0.1545,1.0,,,,,
12420992,home,FCV Dender,Jordy Soladio,,,jordy-soladio,J. Soladio,F,98,185,40,M,1384571,EUR,887241600,F,98,98,False,19.0,17.0,,,0.0,9.0,9.0,8.0,10.0,3.0,5.0,,,,66.0,29.0,6.8,5.0,0.0108652,3,,,,2.0,2.0,,,,,2.0,,1.0,,,3.0,,1.0,,0.2203,,,,1.0,0.1346,,1.0,,,,
12420992,home,FCV Dender,Malcolm Viltard,,,viltard-malcolm,M. Viltard,M,24,176,69,M,1092285,EUR,1035417600,M,24,24,True,15.0,13.0,4.0,3.0,0.0,9.0,10.0,4.0,5.0,,,1.0,,,24.0,16.0,6.6,2.0,0.00261525,1,,,,,,,,,,,,,,,,,,,0.0978,,,,,,,1.0,,,,
12420992,home,FCV Dender,Mohamed Berte,Mohamed Berte,,mohamed-berte,M. Berte,F,90,175,98,M,1122525,EUR,1017014400,F,90,90,True,8.0,6.0,,,0.0,1.0,2.0,5.0,6.0,,,1.0,,,24.0,15.0,8.6,3.0,0.0237383,3,,,,,1.0,,,,1.0,1.0,,,,,,,1.0,,0.702,,,,2.0,0.6896,2.0,,,,,
12420992,home,FCV Dender,Desmond Acquah,Desmond Acquah,,desmond-acquah,D. Acquah,M,23,173,47,M,1388443,EUR,1027382400,M,23,23,True,9.0,5.0,,,0.0,2.0,4.0,3.0,5.0,,2.0,3.0,,,23.0,15.0,6.6,5.0,0.0144909,0,,,,,2.0,1.0,,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,
12420992,home,FCV Dender,Bryan Goncalves,,,bryan-goncalves,B. Goncalves,D,7,190,42,M,775019,EUR,837734400,D,4,4,True,7.0,7.0,,,0.0,4.0,4.0,3.0,3.0,,,,,,10.0,8.0,6.7,,0.0105259,0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
12420992,home,FCV Dender,Aurélien Scheidler,,,aurelien-scheidler,A. Scheidler,F,21,192,170,M,915567,EUR,896918400,F,11,11,True,3.0,1.0,1.0,,0.0,,,1.0,4.0,,1.0,,,,10.0,5.0,6.6,3.0,0.00064063,0,,1.0,,1.0,2.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,
