match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_challengeLost,captain,stat_aerialLost,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_totalCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_expectedGoals,stat_keyPass,player_firstName,player_lastName,stat_accurateCross,stat_bigChanceCreated,stat_wasFouled,stat_blockedScoringAttempt,stat_penaltyWon,stat_goalAssist,stat_clearanceOffLine,player_sofascoreId,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_lastManTackle,stat_penaltyConceded
11396382,home,SV Werder Bremen,Michael Zetterer,michael-zetterer,M. Zetterer,G,23,187,476,M,190161,EUR,805507200,G,30,30,False,38.0,34.0,16.0,12.0,33.0,34.0,1.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,90.0,47.0,6.8,5.0,0.00044154,0,-0.6885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396382,home,SV Werder Bremen,Miloš Veljković,milos-veljkovic,M. Veljković,D,13,188,1253,M,227224,EUR,812073600,D,13,13,False,68.0,60.0,10.0,6.0,38.0,43.0,22.0,25.0,,,1.0,1.0,,,,,,90.0,71.0,6.4,8.0,0.0065862,0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396382,home,SV Werder Bremen,Marco Friedl,marco-friedl,M. Friedl,D,32,187,536,M,825771,EUR,890006400,D,32,32,False,54.0,50.0,4.0,4.0,39.0,41.0,11.0,13.0,2.0,3.0,5.0,5.0,,,,,,90.0,67.0,7.4,4.0,0.0256296,0,,2.0,1.0,True,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396382,home,SV Werder Bremen,Anthony Jung,anthony-jung,A. Jung,D,5,186,138,M,103442,EUR,689126400,D,3,3,False,75.0,65.0,7.0,,57.0,61.0,8.0,14.0,2.0,4.0,4.0,2.0,,,,,,90.0,83.0,6.3,11.0,0.00725663,0,,3.0,2.0,,,,,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11396382,home,SV Werder Bremen,Mitchell Weiser,mitchell-weiser,M. Weiser,M,8,176,1411,M,138150,EUR,766886400,M,8,8,False,58.0,47.0,8.0,7.0,23.0,27.0,24.0,33.0,1.0,4.0,1.0,9.0,,,,,,90.0,83.0,6.7,20.0,0.0326083,1,,5.0,2.0,,,,,1.0,,1.0,1.0,2.0,1.0,3.0,2.0,1.0,0.0289,1.0,,,,,,,,,,,,,,,,,,,
11396382,home,SV Werder Bremen,Romano Schmid,romano-schmid,R. Schmid,M,20,168,1020,M,830127,EUR,948931200,M,20,20,False,44.0,33.0,2.0,2.0,16.0,18.0,19.0,28.0,1.0,12.0,,7.0,,,,,,90.0,73.0,7.1,19.0,0.360679,2,,13.0,2.0,,3.0,,,2.0,1.0,,,2.0,2.0,11.0,5.0,2.0,0.0375,1.0,,,2.0,1.0,4.0,,,,,,,,,,,,,,
11396382,home,SV Werder Bremen,Jens Stage,jens-stage,J. Stage,M,6,187,697,M,830142,EUR,847411200,M,6,6,False,47.0,41.0,5.0,3.0,24.0,26.0,17.0,21.0,1.0,5.0,1.0,7.0,,,,,,90.0,59.0,7.6,7.0,0.0966484,1,,3.0,,,1.0,1.0,3.0,2.0,2.0,,1.0,,1.0,,,,0.0275,1.0,,,,,2.0,1.0,1.0,,,,,,,,,,,,
11396382,home,SV Werder Bremen,Leonardo Bittencourt,leonardo-bittencourt,L. Bittencourt,M,10,171,295,M,111969,EUR,756259200,M,10,10,False,33.0,27.0,2.0,1.0,16.0,18.0,11.0,16.0,,2.0,,10.0,,,,,,66.0,45.0,7.1,11.0,0.273056,2,,2.0,1.0,,,,,,,2.0,,1.0,1.0,,,2.0,0.1329,1.0,,,,1.0,2.0,,,1.0,,,,,,,,,,,
11396382,home,SV Werder Bremen,Olivier Deman,deman-olivier,O. Deman,D,2,181,445,M,960114,EUR,954979200,M,2,2,False,47.0,35.0,6.0,2.0,22.0,27.0,13.0,23.0,,5.0,2.0,6.0,,,,,,90.0,73.0,7.4,21.0,0.0467346,0,,2.0,2.0,,,1.0,1.0,4.0,2.0,3.0,,3.0,,,,,,2.0,,,,,1.0,,,,1.0,,,,,,,,,,
11396382,home,SV Werder Bremen,Rafael Borré,rafael-borre,R. Borré,F,19,174,5880,M,560116,EUR,811123200,F,19,19,False,17.0,11.0,2.0,1.0,5.0,6.0,6.0,11.0,3.0,3.0,,1.0,,,,,,82.0,30.0,6.8,13.0,0.00498861,2,,8.0,,,4.0,,,,,3.0,,,1.0,3.0,,,0.1944,,,,,,,1.0,,,,rafaelsantosborre,1.0,1.0,0.4912,,,,,,
