match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,captain,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_bigChanceCreated,stat_shotOffTarget,stat_hitWoodwork,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_aerialWon,stat_dispossessed,stat_unsuccessfulTouch,stat_challengeLost,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_expectedGoalsOnTarget,stat_wonContest,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_goals,player_firstName,player_lastName,stat_goodHighClaim,stat_punches,stat_errorLeadToAShot,stat_totalOffside
12504373,home,Napoli,Alex Meret,alex-meret,A. Meret,G,1,190,4366,M,592794,EUR,858988800,G,1,1,False,25.0,22.0,5.0,2.0,0.0,22.0,22.0,3.0,1.0,8.0,1.0,1.0,1.0,1.0,90.0,32.0,6.5,3.0,9.135e-05,0,-0.6024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504373,home,Napoli,Giovanni Di Lorenzo,giovanni-di-lorenzo,G. Di Lorenzo,D,22,182,6986,M,153257,EUR,744422400,D,22,22,False,64.0,57.0,2.0,2.0,0.0,21.0,24.0,41.0,2.0,6.0,,,,,90.0,87.0,7.6,10.0,0.316712,1,,dilorenzo22,True,37.0,1.0,1.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0208,3.0,,,,,,,,,,,,,,,,,
12504373,home,Napoli,Amir Rrahmani,amir-rrahmani,A. Rrahmani,D,13,190,3520,M,332155,EUR,762048000,D,13,13,False,70.0,63.0,8.0,5.0,0.0,39.0,41.0,30.0,9.0,4.0,,,,,90.0,89.0,7.2,10.0,0.00695824,1,,,,24.0,1.0,,,2.0,6.0,,,1.0,,,2.0,2.0,,1.0,0.167,,4.0,1.0,1.0,,,,,,,,,,,,,,
12504373,home,Napoli,Alessandro Buongiorno,alessandro-buongiorno,A. Buongiorno,D,4,191,3972,M,870263,EUR,928627200,D,4,4,False,60.0,55.0,5.0,2.0,0.0,28.0,29.0,32.0,1.0,3.0,,,,,90.0,70.0,7.0,7.0,0.0151837,1,,,,27.0,1.0,,,2.0,3.0,,,,,2.0,1.0,,,1.0,0.0192,1.0,2.0,,1.0,1.0,1.0,1.0,0.0658,,,,,,,,,,
12504373,home,Napoli,Matteo Politano,matteo-politano,M. Politano,F,21,171,4493,M,235672,EUR,744336000,M,21,21,False,41.0,35.0,1.0,1.0,0.0,9.0,9.0,39.0,3.0,3.0,,,,,81.0,67.0,7.9,16.0,0.0773932,2,,,,26.0,7.0,,1.0,2.0,6.0,2.0,,,,,4.0,2.0,,,0.0809,2.0,,1.0,2.0,,1.0,,0.1602,2.0,1.0,,,,,,,,
12504373,home,Napoli,Billy Gilmour,gilmour-billy,B. Gilmour,M,6,169,4342,M,907668,EUR,992217600,M,6,6,False,61.0,53.0,2.0,1.0,0.0,24.0,25.0,38.0,,7.0,,,,,90.0,72.0,7.5,9.0,0.0820547,0,,billygilmour,,30.0,2.0,1.0,1.0,3.0,5.0,1.0,,,,1.0,3.0,3.0,1.0,1.0,,2.0,,,,1.0,,,,1.0,,,,,,,,,
12504373,home,Napoli,Stanislav Lobotka,stanislav-lobotka,S. Lobotka,M,68,170,4661,M,150383,EUR,785721600,M,68,68,False,55.0,45.0,2.0,,0.0,24.0,25.0,30.0,2.0,4.0,,,,,90.0,61.0,6.8,10.0,0.054236,0,,StanLobotka,,21.0,,,,1.0,1.0,1.0,,,,1.0,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,
12504373,home,Napoli,Scott McTominay,scott-mctominay,S. McTominay,M,8,193,25748,M,879346,EUR,850003200,M,8,8,False,26.0,26.0,3.0,3.0,0.0,11.0,11.0,15.0,,4.0,,,,,86.0,39.0,7.5,3.0,0.19302,4,,ScottMcTominay,,15.0,,,3.0,4.0,6.0,4.0,,1.0,,,1.0,,,1.0,0.1333,2.0,2.0,,2.0,,2.0,,0.0872,3.0,1.0,,,,,,,,
12504373,home,Napoli,Leonardo Spinazzola,leonardo-spinazzola,L. Spinazzola,D,37,185,3729,M,148899,EUR,733017600,M,37,37,False,37.0,29.0,4.0,2.0,0.0,13.0,14.0,24.0,,5.0,,,,,89.0,50.0,6.6,11.0,0.0643885,1,,,,16.0,1.0,,,2.0,2.0,2.0,,,,1.0,1.0,1.0,,1.0,0.1441,,,,,,1.0,,0.1989,1.0,,1.0,,,,,,,
12504373,home,Napoli,Romelu Lukaku,romelu-lukaku,R. Lukaku,F,9,191,56823,M,78893,EUR,737251200,F,11,11,False,16.0,13.0,1.0,,1.0,1.0,1.0,15.0,,,,,,,90.0,27.0,8.2,8.0,0.177514,1,,RLukaku,,12.0,,,,2.0,4.0,,2.0,,,,,,1.0,1.0,0.5056,4.0,3.0,1.0,4.0,,1.0,,0.8313,,,1.0,1.0,,,,,,
