match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_hitWoodwork,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_shotOffTarget,stat_clearanceOffLine,player_firstName,player_lastName,stat_dispossessed,player_sofascoreId,stat_bigChanceCreated,captain,stat_accurateCross,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_savedShotsFromInsideTheBox
12624996,home,Al-Ittihad,Predrag Rajković,predrag-rajkovic,P. Rajković,G,1,192.0,2722,M,188107,EUR,815097600,G,1,1,False,32.0,20.0,23.0,11.0,0.0,13.0,14.0,7.0,18.0,1.0,1.0,2.0,1.0,2.0,8.0,2.0,1.0,2.0,1.0,2.0,1.0,90.0,44.0,7.4,12.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624996,home,Al-Ittihad,Muhannad Shanqeeti,muhannad-shanqeeti,M. Shanqeeti,D,13,173.0,417,M,894437,EUR,921196800,D,13,13,False,25.0,19.0,6.0,2.0,0.0,12.0,15.0,7.0,11.0,,3.0,3.0,,1.0,5.0,,,,,,,90.0,46.0,7.3,12.0,1,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,
12624996,home,Al-Ittihad,Abdulelah Al-Amri,abdulelah-al-amri,A. Al-Amri,D,5,185.0,1135,M,881831,EUR,853286400,D,4,4,False,35.0,28.0,6.0,4.0,0.0,18.0,20.0,10.0,15.0,2.0,3.0,4.0,,4.0,6.0,,,,,,,90.0,52.0,8.1,8.0,2,,2.0,2.0,2.0,1.0,1.0,1.0,5.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,
12624996,home,Al-Ittihad,Saad Al-Mousa,saad-al-mousa,S. Al-Mousa,D,6,182.0,373,M,1134250,EUR,1039478400,D,6,6,False,37.0,32.0,6.0,2.0,0.0,22.0,24.0,10.0,13.0,2.0,4.0,4.0,,1.0,4.0,2.0,,,,,,90.0,46.0,6.9,5.0,1,,2.0,,,1.0,,,1.0,,,,3.0,,,,Saad Al-Mousa,,,,,,,,,,,
12624996,home,Al-Ittihad,Mario Mitaj,mitaj-mario,M. Mitaj,D,12,180.0,1741,M,1006089,EUR,1060128000,D,12,12,False,52.0,42.0,,,0.0,20.0,21.0,22.0,32.0,2.0,5.0,7.0,1.0,,5.0,3.0,,,,,,90.0,74.0,7.0,16.0,0,1.0,1.0,2.0,1.0,,,,2.0,1.0,,3.0,1.0,,,,,,1.0,,,,,,,,,
12624996,home,Al-Ittihad,N'Golo Kanté,ngolo-kante,N. Kanté,M,17,169.0,44806,M,234148,EUR,670204800,M,7,7,False,38.0,34.0,1.0,,0.0,15.0,17.0,19.0,21.0,1.0,5.0,6.0,1.0,3.0,6.0,2.0,,,,,,90.0,58.0,7.3,9.0,0,,1.0,3.0,1.0,,,,4.0,2.0,1.0,1.0,,2.0,,,,,1.0,nglkante,1.0,,,,,,,
12624996,home,Al-Ittihad,Fabinho,fabinho,Fabinho,M,8,187.0,9249,M,243585,EUR,751334400,M,8,8,False,37.0,27.0,3.0,,0.0,11.0,15.0,16.0,22.0,3.0,4.0,6.0,2.0,2.0,2.0,,,,,,,90.0,46.0,6.8,11.0,0,,,1.0,,,,1.0,1.0,3.0,1.0,,1.0,,,,,,,Fabinho,,True,,,,,,
12624996,home,Al-Ittihad,Moussa Diaby,diaby-moussa,M. Diaby,M,19,170.0,7562,M,855817,EUR,931305600,M,19,19,False,23.0,19.0,2.0,1.0,1.0,7.0,7.0,16.0,26.0,,6.0,10.0,,1.0,6.0,2.0,,,,,,89.0,59.0,8.3,16.0,4,10.0,,8.0,6.0,,1.0,1.0,,2.0,2.0,,1.0,4.0,3.0,,,,3.0,moussadiaby,1.0,,4.0,1.0,1.0,,,
12624996,home,Al-Ittihad,Houssem Aouar,aouar-houssem,H. Aouar,M,10,175.0,14747,M,846081,EUR,899164800,M,10,10,False,34.0,28.0,,,0.0,3.0,3.0,25.0,32.0,,5.0,3.0,,,5.0,1.0,,,,,,90.0,45.0,6.9,13.0,0,1.0,,3.0,2.0,,,,,,,4.0,3.0,2.0,,,,,1.0,houssem_aouar,,,,,,,,
12624996,home,Al-Ittihad,Steven Bergwijn,steven-bergwijn,S. Bergwijn,M,34,178.0,5144,M,361798,EUR,876268800,M,34,34,False,23.0,19.0,2.0,,0.0,5.0,6.0,14.0,18.0,,5.0,5.0,,,1.0,1.0,,,,,,86.0,44.0,6.9,14.0,2,1.0,,4.0,3.0,1.0,,,,1.0,1.0,4.0,,,,,,,4.0,StevenBergwijn,,,,,1.0,,,
