match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,player_jerseyNumber,player_sofascoreId,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_fouls,stat_possessionLostCtrl,stat_keyPass,stat_totalClearance,stat_outfielderBlock,stat_lastManTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_challengeLost,stat_aerialLost,stat_wonContest,captain,stat_dispossessed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_shotOffTarget,stat_bigChanceMissed,stat_hitWoodwork,stat_punches,stat_goals,stat_bigChanceCreated,stat_totalOffside
10389959,home,Lorient,Vito Mannone,vito-mannone,V. Mannone,G,189,191,M,17053,EUR,573264000,G,1,1,False,18.0,18.0,1.0,1.0,18.0,18.0,11.0,2.0,3.0,4.0,90.0,33.0,6.7,0.0,0.0,4.812e-05,0,0.5541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389959,home,Lorient,Gedeon Kalulu,gedeon-kalulu,G. Kalulu,D,176,4314,M,991200,EUR,872812800,D,24,24,False,55.0,46.0,7.0,2.0,24.0,26.0,5.0,,,,90.0,77.0,6.9,0.0,0.0,0.158416,0,,,,2,gedeon_K2,24.0,32.0,3.0,2.0,2.0,2.0,5.0,1.0,3.0,1.0,2.0,1.0,12.0,3.0,,,,,,,,,,,,,,,,,,,,
10389959,home,Lorient,Julien Laporte,julien-laporte,J. Laporte,D,185,87,M,791048,EUR,752371200,D,15,15,False,43.0,33.0,8.0,1.0,22.0,25.0,8.0,,,,81.0,51.0,6.6,0.0,0.0,0.00278104,0,,,,15,,11.0,18.0,,,1.0,1.0,3.0,,1.0,2.0,,1.0,11.0,,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,
10389959,home,Lorient,Montassar Talbi,montassar-talbi,M. Talbi,D,190,3461,M,879618,EUR,896140800,D,3,3,False,56.0,50.0,6.0,2.0,41.0,42.0,1.0,,,,90.0,65.0,6.6,0.0,0.0,0.00194057,0,,,,3,,9.0,14.0,,,2.0,1.0,3.0,,2.0,1.0,,,8.0,,1.0,1.0,,,,2.0,1.0,,,,,,,,,,,,,
10389959,home,Lorient,Vincent Le Goff,vincent-le-goff,V. L. Goff,D,177,29,M,99945,EUR,624412800,D,25,25,False,55.0,47.0,4.0,2.0,26.0,31.0,9.0,,,,90.0,77.0,6.5,0.0,0.0,0.0594578,0,,,,25,,22.0,26.0,2.0,1.0,3.0,5.0,4.0,1.0,1.0,,,3.0,10.0,1.0,2.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
10389959,home,Lorient,Laurent Abergel,laurent-abergel,L. Abergel,M,170,153,M,296434,EUR,728524800,M,6,6,False,45.0,37.0,3.0,,19.0,20.0,9.0,,,,81.0,55.0,6.3,0.0,0.0,0.0231045,0,,,,6,,18.0,26.0,1.0,,,7.0,4.0,,1.0,4.0,,2.0,12.0,,,,,2.0,,1.0,4.0,,,True,1.0,,,,,,,,,
10389959,home,Lorient,Enzo Le Fée,enzo-le-fee,E. Le Fée,M,173,3108,M,984014,EUR,949536000,M,10,10,False,31.0,27.0,1.0,,11.0,13.0,1.0,,,,66.0,51.0,6.5,0.1204,0.3882,0.0124182,3,,,,28,,16.0,23.0,5.0,,1.0,6.0,5.0,1.0,,2.0,2.0,2.0,14.0,,,,,2.0,,2.0,,1.0,,,2.0,2.0,1.0,,,,,,,
10389959,home,Lorient,Stéphane Diarra,stephane-diarra,S. Diarra,F,173,90,M,834881,EUR,913161600,M,7,7,False,11.0,8.0,,,3.0,4.0,3.0,,,,37.0,25.0,6.5,0.0,0.0,0.00481235,0,,,,25,,5.0,8.0,1.0,,,2.0,3.0,3.0,2.0,,1.0,1.0,9.0,,,,,,,2.0,,,2.0,,,,,,,,,,,
10389959,home,Lorient,Julien Ponceau,julien-ponceau,J. Ponceau,M,170,165,M,942844,EUR,975369600,M,21,21,False,16.0,12.0,,,3.0,4.0,2.0,,,,37.0,27.0,6.5,0.0,0.0,0.00475659,0,,,,21,,9.0,13.0,1.0,,,1.0,4.0,1.0,1.0,,3.0,,6.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,
10389959,home,Lorient,Dango Ouattara,dango-ouattara,D. Ouattara,F,177,33926,M,1106451,EUR,1013385600,M,11,11,False,28.0,18.0,2.0,1.0,5.0,8.0,3.0,,,,90.0,59.0,7.5,0.268,0.1095,0.202482,5,,Dango Ouattara,,19,d.ouattara15,14.0,23.0,3.0,1.0,6.0,10.0,16.0,3.0,1.0,5.0,4.0,,21.0,2.0,,,,2.0,,5.0,3.0,4.0,1.0,,1.0,2.0,,3.0,,,,,,
