match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_bigChanceCreated,stat_ballRecovery,stat_crossNotClaimed,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_aerialWon,stat_outfielderBlock,stat_unsuccessfulTouch,captain,stat_bigChanceMissed,stat_interceptionWon,player_sofascoreId,stat_totalCross,stat_blockedScoringAttempt,stat_shotOffTarget,stat_accurateCross,stat_errorLeadToAShot,stat_totalOffside
12441703,home,Feyenoord,Timon Wellenreuther,,,timon-wellenreuther,T. Wellenreuther,G,22,186,588,M,253875,EUR,817948800,G,22,22,False,43.0,32.0,21.0,11.0,1.0,25.0,27.0,7.0,16.0,1.0,16.0,1.0,2.0,5.0,6.0,2.0,2.0,90.0,60.0,7.3,11.0,0.00459686,1.0,0,-0.7083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12441703,home,Feyenoord,Givairo Read,,,givairo-read,G. Read,D,26,175,1865,M,1388535,EUR,1149206400,D,26,26,False,15.0,10.0,3.0,,0.0,10.0,12.0,,3.0,,2.0,,,,,,,90.0,36.0,6.9,9.0,0.00063423,,1,,1.0,6.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,0.2185,0.8341,,,,,,,,,,,,,
12441703,home,Feyenoord,Gernot Trauner,,,gernot-trauner,G. Trauner,D,18,183,610,M,121588,EUR,701481600,D,18,18,False,29.0,25.0,5.0,3.0,0.0,21.0,22.0,4.0,7.0,,4.0,,,,,,,90.0,40.0,6.6,5.0,0.00317687,,0,,4.0,4.0,3.0,,,,,,,7.0,2.0,,,,,,1.0,1.0,1.0,,,,,,,,,,
12441703,home,Feyenoord,Dávid Hancko,,,david-hancko,D. Hancko,D,17,188,4795,M,807771,EUR,881971200,D,33,33,False,26.0,19.0,5.0,,0.0,16.0,16.0,3.0,10.0,,2.0,,,,,,,90.0,41.0,6.5,8.0,0.00206461,,1,,2.0,3.0,2.0,,1.0,,,1.0,,7.0,,,1.0,,0.2212,0.5598,1.0,1.0,,True,1.0,1.0,,,,,,,
12441703,home,Feyenoord,Gijs Smal,,,gijs-smal,G. Smal,D,5,183,339,M,860160,EUR,872985600,D,5,5,False,33.0,22.0,7.0,4.0,0.0,13.0,20.0,9.0,13.0,,,,,,,,,90.0,53.0,6.2,14.0,0.0120629,,0,,,,1.0,,,,,,,5.0,1.0,,,,,,,,2.0,,,1.0,,,,,,,
12441703,home,Feyenoord,In-Beom Hwang,,,in-beom-hwang,I. Hwang,M,6,177,3392,M,889689,EUR,843177600,M,4,4,False,21.0,15.0,2.0,,0.0,8.0,10.0,7.0,12.0,,2.0,,,,,,,90.0,36.0,6.3,9.0,0.0171973,,1,,1.0,6.0,1.0,2.0,1.0,,,,,2.0,1.0,,,2.0,0.0297,,,,1.0,,,2.0,Hwang,1.0,1.0,,,,
12441703,home,Feyenoord,Jakub Moder,,,jakub-moder,J. Moder,M,7,191,7199,M,886242,EUR,923443200,M,7,7,False,21.0,15.0,2.0,1.0,0.0,8.0,9.0,7.0,12.0,,3.0,,,,,,,89.0,30.0,6.3,8.0,0.00537076,,0,,1.0,2.0,,1.0,,,,,,4.0,,,,1.0,,,,,2.0,,,,kubamoder,,,,,,
12441703,home,Feyenoord,Anis Hadj Moussa,,,anis-hadj-moussa,A. H. Moussa,F,23,176,22233,M,1218066,EUR,1013385600,M,23,23,False,14.0,6.0,,,1.0,2.0,3.0,4.0,13.0,2.0,2.0,,,,,,,89.0,34.0,7.3,19.0,0.109635,2.0,1,,,6.0,8.0,2.0,4.0,4.0,4.0,,,,1.0,,2.0,,0.0427,,1.0,,4.0,,,,hadj.a20,2.0,1.0,,,,
12441703,home,Feyenoord,Antoni Milambo,Antoni,Milambo,antoni-milambo,A. Milambo,M,17,179,1574,M,1126692,EUR,1112486400,M,27,27,False,12.0,7.0,1.0,,0.0,3.0,5.0,4.0,7.0,,1.0,,,,,,,74.0,23.0,6.2,8.0,0.0142706,1.0,1,,2.0,6.0,3.0,1.0,1.0,3.0,1.0,,,,2.0,2.0,,,0.016,,,,,,,,,,,1.0,,,
12441703,home,Feyenoord,Igor Paixão,,,igor-paixao,I. Paixão,F,14,168,12525,M,981815,EUR,962150400,M,14,14,False,6.0,1.0,,,0.0,,1.0,2.0,6.0,1.0,4.0,,,,,,,81.0,23.0,7.8,7.0,0.221376,1.0,3,,1.0,3.0,8.0,1.0,,3.0,2.0,2.0,1.0,1.0,,,6.0,,0.6363,0.5043,,,1.0,,,,,1.0,,1.0,1.0,,
