match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,injury,isHome,incidentClass,playerName,reason,rescinded,player_id,player_name,length,from,confirmed
11401948,FT,1.0,2.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,,
11401948,,,,,90,7.0,,1,,,substitution,122316386.0,True,False,injury,,,,,,,,
11401948,,,,,90,,,1,,,card,121082157.0,,True,yellow,Dario Van Den Buijs,Foul,False,783468.0,Dario Van Den Buijs,,,
11401948,,,,,90,0.0,,1,,,injuryTime,,,,,,,,,,7.0,,
11401948,,,,,85,,,6,,,substitution,122316356.0,False,True,regular,,,,,,,,
11401948,,,,,77,,,14,,,substitution,122316337.0,False,True,regular,,,,,,,,
11401948,,,,,77,,,14,,,substitution,122316338.0,False,True,regular,,,,,,,,
11401948,,,,,77,,,14,,,substitution,122316336.0,False,True,regular,,,,,,,,
11401948,,,,,74,,,17,,,substitution,122316319.0,False,False,regular,,,,,,,,
11401948,,,,,74,,,17,,,substitution,122316320.0,False,False,regular,,,,,,,,
11401948,,,,,74,,,17,,,substitution,122316311.0,False,False,regular,,,,,,,,
11401948,,,,,64,,,27,,,substitution,122316264.0,False,True,regular,,,,,,,,
11401948,,1.0,2.0,,59,,,32,,,goal,177039606.0,,False,regular,,,,132674.0,Mario Engels,,,
11401948,,1.0,1.0,,53,,,38,,,goal,177039317.0,,True,penalty,,,,36781.0,Michiel Kramer,,penalty,
11401948,,,,,52,,,39,,,varDecision,22716.0,,True,penaltyNotAwarded,,,,798179.0,Julian Lelieveld,,,False
11401948,,,,,46,,,45,,,substitution,122316197.0,False,False,regular,,,,,,,,
11401948,HT,0.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,,
11401948,,,,,45,0.0,,1,,,injuryTime,,,,,,,,,,1.0,,
11401948,,0.0,1.0,,35,,,11,,,goal,177036812.0,,False,penalty,,,,794362.0,Emil Hansson,,penalty,
11401948,,,,,21,,,25,,,card,121082024.0,,False,yellow,Mohamed Sankoh,Foul,False,982779.0,Mohamed Sankoh,,,
