match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_blockedScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_keyPass,stat_dispossessed,stat_lastManTackle,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_goals,stat_goalAssist,stat_bigChanceMissed,stat_hitWoodwork,stat_bigChanceCreated,player_sofascoreId,stat_wasFouled,stat_totalOffside
11401933,home,PEC Zwolle,Jasper Schendelaar,Jasper,Schendelaar,jasper-schendelaar,J. Schendelaar,G,1,182,179,M,856636,EUR,967852800,G,1,1,False,48.0,40.0,22.0,16.0,31.0,35.0,9.0,13.0,1.0,1.0,1.0,11.0,1.0,3.0,6.0,90.0,65.0,7.6,8.0,0.0053257,0,-0.6497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11401933,home,PEC Zwolle,Bram van Polen,,,bram-van-polen,B. v. Polen,D,,179,52,M,17032,EUR,497836800,D,2,2,False,34.0,31.0,2.0,2.0,18.0,18.0,14.0,19.0,3.0,2.0,3.0,1.0,,,,90.0,64.0,6.9,8.0,0.0278835,1,,True,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0228,2.0,,,,,,,,,,,,,,,
11401933,home,PEC Zwolle,Sam Kersten,,,sam-kersten,S. Kersten,D,4,191,83,M,847072,EUR,886118400,D,4,4,False,58.0,52.0,2.0,1.0,33.0,34.0,19.0,24.0,3.0,4.0,3.0,5.0,,,,90.0,74.0,6.7,7.0,0.0270365,1,,,,,,,3.0,2.0,1.0,1.0,3.0,2.0,,,0.0216,,1.0,,,,,,,,,,,,,,
11401933,home,PEC Zwolle,Thomas Lam,,,thomas-lam,T. Lam,D,3,188,86,M,110934,EUR,756172800,D,13,13,False,29.0,26.0,3.0,3.0,20.0,23.0,6.0,6.0,1.0,3.0,,3.0,,,,45.0,34.0,6.6,3.0,0.00210015,0,,,,,1.0,,2.0,,,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,
11401933,home,PEC Zwolle,Anselmo Garcia McNulty,,,anselmo-garcia-mcnulty,A. G. McNulty,D,4,187,281,M,1005693,EUR,1045612800,D,15,15,False,15.0,11.0,3.0,1.0,10.0,12.0,1.0,3.0,3.0,2.0,,1.0,,,,45.0,29.0,6.7,6.0,0.00899659,1,,,,,,,2.0,2.0,,,3.0,2.0,,,0.029,1.0,,,1.0,0.049,,,,,,,,,,,
11401933,home,PEC Zwolle,Ryan Thomas,Ryan,Thomas,ryan-thomas,R. Thomas,M,30,174,138,M,333571,EUR,787881600,M,30,30,False,35.0,28.0,5.0,2.0,16.0,20.0,12.0,15.0,2.0,1.0,,5.0,,,,52.0,39.0,6.4,8.0,0.0114664,0,,,,,,,2.0,1.0,,,1.0,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,
11401933,home,PEC Zwolle,Davy van den Berg,,,davy-van-den-berg,D. v. d. Berg,M,6,185,272,M,1001468,EUR,949622400,M,11,11,False,58.0,48.0,7.0,2.0,23.0,27.0,28.0,35.0,1.0,,,9.0,,,,90.0,75.0,6.6,15.0,0.344498,1,,,4.0,3.0,,,7.0,3.0,,,1.0,1.0,1.0,1.0,0.0341,4.0,3.0,,,,,,1.0,,,,,,,,
11401933,home,PEC Zwolle,Younes Namli,,,younes-namli,Y. Namli,M,9,180,239,M,235538,EUR,772070400,M,7,7,False,31.0,24.0,2.0,,10.0,11.0,15.0,26.0,1.0,2.0,,8.0,,,,90.0,58.0,6.9,21.0,0.0965542,2,,,6.0,1.0,1.0,,5.0,,,,1.0,1.0,5.0,,0.1728,1.0,2.0,,1.0,0.296,2.0,,1.0,1.0,,,,,,,
11401933,home,PEC Zwolle,Ferdy Druijf,,,ferdy-druijf,F. Druijf,F,9,190,223,M,893741,EUR,887241600,M,10,10,False,25.0,22.0,2.0,2.0,3.0,4.0,19.0,22.0,8.0,1.0,,2.0,,,,90.0,42.0,7.1,10.0,0.063013,2,,,1.0,,2.0,5.0,4.0,,,1.0,2.0,1.0,4.0,,0.208,2.0,2.0,,,,1.0,1.0,2.0,,,,,,,,
11401933,home,PEC Zwolle,Odysseus Velanas,Odysseus,Velanas,odysseus-velanas,O. Velanas,M,18,180,83,M,846003,EUR,897004800,M,18,18,False,17.0,13.0,,,3.0,3.0,11.0,16.0,3.0,,,,,,,80.0,29.0,6.5,7.0,0.153849,3,,,2.0,1.0,2.0,1.0,13.0,3.0,1.0,,2.0,2.0,,6.0,0.402,3.0,,,,,2.0,,2.0,,1.0,1.0,1.0,,,,
11401933,home,PEC Zwolle,Lennart Thy,,,lennart-thy,L. Thy,F,9,184,263,M,109126,EUR,698976000,F,9,9,False,26.0,16.0,,,7.0,10.0,9.0,16.0,5.0,2.0,,1.0,,,,66.0,35.0,7.2,11.0,0.55165,2,,,,,3.0,3.0,3.0,,1.0,,1.0,1.0,1.0,,0.0835,1.0,,,1.0,0.0665,1.0,1.0,,,,,,1.0,,,
11401933,home,PEC Zwolle,Eliano Reijnders,,,eliano-reijnders,E. Reijnders,D,2,168,8068,M,960112,EUR,972259200,F,23,23,True,25.0,22.0,1.0,,13.0,15.0,9.0,10.0,2.0,2.0,2.0,4.0,,,,45.0,34.0,6.7,3.0,0.00367528,0,,,,,1.0,,3.0,1.0,,1.0,1.0,1.0,,1.0,,,,1.0,,,1.0,1.0,,,,,,,eliano.r,,
11401933,home,PEC Zwolle,Anouar El Azzouzi,,,anouar-el-azzouzi,A. E. Azzouzi,M,8,181,517,M,1021104,EUR,991094400,D,6,6,True,37.0,33.0,2.0,2.0,21.0,22.0,12.0,15.0,3.0,,,3.0,,,,45.0,43.0,6.3,6.0,0.00776399,1,,,,,,1.0,3.0,1.0,1.0,,2.0,1.0,1.0,1.0,0.0257,1.0,1.0,,,,,,,,,,,,,,
11401933,home,PEC Zwolle,Zico Buurmeester,Zico Buurmeester,,zico-buurmeester,Z. Buurmeester,M,8,182,150,M,1050828,EUR,1023408000,M,28,28,True,23.0,20.0,,,7.0,7.0,13.0,16.0,2.0,,,1.0,,,,38.0,31.0,6.4,4.0,0.0466318,0,,,,,,,2.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,2.0,
11401933,home,PEC Zwolle,Apostolos Vellios,Apostolos,Vellios,apostolos-vellios,A. Vellios,F,,191,184,M,51021,EUR,694828800,F,14,14,True,6.0,4.0,,,1.0,2.0,3.0,4.0,2.0,,,,,,,24.0,11.0,6.7,3.0,0.00381662,2,,,,,4.0,1.0,4.0,,,,,,1.0,,0.1936,,,,,,,,2.0,,,,,,,1.0,
11401933,home,PEC Zwolle,Nico Serrano,,,nico-serrano,N. Serrano,M,22,178,464,M,1019318,EUR,1046822400,F,19,19,True,4.0,4.0,,,2.0,2.0,2.0,5.0,,,,1.0,,,,10.0,13.0,6.6,6.0,0.00085586,0,,,3.0,,,,3.0,,,,,,,,,,3.0,,,,,,,,,,,,,,
11401933,home,PEC Zwolle,Mike Hauptmeijer,,,mike-hauptmeijer,M. Hauptmeijer,G,1,190,66,M,376448,EUR,858643200,G,40,40,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11401933,home,PEC Zwolle,Kenneth Vermeer,Kenneth,Vermeer,kenneth-vermeer,K. Vermeer,G,,182,115,M,9874,EUR,505699200,G,25,25,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11401933,home,PEC Zwolle,Luis Görlich,,,luis-gorlich,L. Görlich,D,2,182,16,M,944299,EUR,954547200,D,3,3,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11401933,home,PEC Zwolle,Damian van der Haar,Damian van der Haar,,damian-van-der-haar,D. v. d. Haar,D,33,183,49,M,1172732,EUR,1074211200,D,33,33,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11401933,home,PEC Zwolle,Dean Huiberts,,,huiberts-dean,D. Huiberts,M,30,186,75,M,990922,EUR,958435200,M,8,8,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11401933,home,PEC Zwolle,Anthony Fontana,,,anthony-fontana,A. Fontana,M,21,173,56,M,928318,EUR,939859200,M,17,17,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11401933,away,NEC Nijmegen,Jasper Cillessen,,,jasper-cillessen,J. Cillessen,G,22,185,1498,M,123865,EUR,609206400,G,1,1,False,25.0,15.0,14.0,4.0,11.0,15.0,4.0,10.0,,,,8.0,,,2.0,90.0,33.0,6.5,11.0,0.00168307,0,-0.5885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11401933,away,NEC Nijmegen,Bart van Rooij,,,bart-van-rooij,B. v. Rooij,D,28,174,343,M,946506,EUR,990835200,D,28,28,False,38.0,29.0,4.0,2.0,13.0,17.0,17.0,23.0,14.0,2.0,2.0,7.0,,,,90.0,73.0,8.1,14.0,0.171249,1,,,2.0,1.0,1.0,4.0,3.0,1.0,,,3.0,1.0,1.0,,0.0512,2.0,,,1.0,0.2202,4.0,3.0,,1.0,,,,,,4.0,
11401933,away,NEC Nijmegen,Philippe Sandler,,,philippe-sandler,P. Sandler,D,3,188,233,M,842275,EUR,855532800,D,3,3,False,49.0,45.0,10.0,6.0,31.0,33.0,14.0,16.0,2.0,5.0,,2.0,,,,90.0,59.0,6.9,5.0,0.0188294,1,,,,,2.0,1.0,4.0,,,1.0,1.0,1.0,,1.0,0.0224,,,,,,1.0,,1.0,,,,,,,,
11401933,away,NEC Nijmegen,Bram Nuytinck,,,bram-nuytinck,B. Nuytinck,D,17,190,135,M,70930,EUR,641779200,D,17,17,False,50.0,46.0,2.0,2.0,34.0,36.0,12.0,14.0,6.0,3.0,,2.0,,,,90.0,60.0,7.1,4.0,0.0106791,0,,True,,,4.0,4.0,5.0,,,2.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,
