match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalClearance,stat_totalTackle,stat_keyPass,stat_aerialLost,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_wonTackle,stat_fouls,player_firstName,player_lastName,stat_accurateCross,stat_unsuccessfulTouch,stat_bigChanceCreated,stat_blockedScoringAttempt,captain,stat_totalOffside,player_sofascoreId,stat_goals,stat_goalAssist
10411444,home,Spezia,Bartłomiej Drągowski,bartlomiej-dragowski,B. Drągowski,G,1,191,2915,M,329519,EUR,871948800,G,69,69,False,26.0,21.0,8.0,3.0,18.0,18.0,3.0,8.0,1.0,8.0,1.0,2.0,2.0,3.0,1.0,1.0,90.0,38.0,6.6,5.0,0.0,0.0,0.00257856,0,-1.1553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411444,home,Spezia,Kelvin Amian,kelvin-amian,K. Amian,D,98,179,199,M,802143,EUR,886896000,D,27,27,False,34.0,29.0,4.0,1.0,11.0,11.0,18.0,27.0,6.0,6.0,1.0,,,,,,90.0,67.0,6.5,14.0,0.4243,0.03,0.0428227,3,,4.0,2.0,5.0,3.0,3.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,
10411444,home,Spezia,Przemysław Wiśniewski,przemyslaw-wisniewski,P. Wiśniewski,D,25,195,1284,M,931266,EUR,901497600,D,55,55,False,47.0,40.0,3.0,1.0,31.0,35.0,9.0,12.0,7.0,7.0,,,,,,,90.0,59.0,6.9,7.0,0.0,0.0,0.012033,0,,,5.0,6.0,,,,,,,1.0,2.0,,4.0,1.0,2.0,3.0,1.0,2.0,,,,,,,,,,,
10411444,home,Spezia,Ethan Ampadu,ethan-ampadu,E. Ampadu,D,4,182,2540,M,847097,EUR,968889600,D,4,4,False,50.0,45.0,6.0,2.0,30.0,31.0,15.0,19.0,5.0,6.0,1.0,,,,,,87.0,59.0,6.7,6.0,0.0,0.0,0.00789836,0,,,1.0,5.0,1.0,1.0,1.0,,,,1.0,2.0,1.0,1.0,,,,2.0,3.0,,,,,,,,,,,
10411444,home,Spezia,Simone Bastoni,simone-bastoni,S. Bastoni,M,10,183,168,M,385330,EUR,847152000,D,20,20,False,28.0,20.0,4.0,2.0,6.0,9.0,16.0,23.0,2.0,3.0,1.0,,,,,,58.0,42.0,6.7,12.0,0.0172,0.0568,0.107076,1,,4.0,,2.0,1.0,,,,,1.0,,1.0,1.0,,1.0,,,1.0,,,,2.0,,,,,,,,
10411444,home,Spezia,Albin Ekdal,albin-ekdal,A. Ekdal,M,8,186,177,M,21992,EUR,617587200,M,8,8,False,34.0,29.0,,,11.0,13.0,19.0,22.0,7.0,7.0,3.0,,,,,,90.0,53.0,6.6,10.0,0.0,0.0,0.0464986,0,,1.0,1.0,7.0,3.0,2.0,1.0,,,,,2.0,1.0,1.0,,,,,2.0,,,1.0,1.0,,,,,,,
10411444,home,Spezia,Salvatore Esposito,salvatore-esposito,S. Esposito,M,5,178,1888,M,931267,EUR,970876800,M,25,25,False,53.0,44.0,2.0,,25.0,26.0,20.0,29.0,5.0,2.0,3.0,,,,,,90.0,68.0,6.9,11.0,0.0581,0.0,0.171691,1,,2.0,,3.0,,1.0,1.0,,1.0,,3.0,1.0,1.0,1.0,2.0,,1.0,1.0,,,,1.0,1.0,,,,,,,
10411444,home,Spezia,Viktor Kovalenko,viktor-kovalenko,V. Kovalenko,M,21,182,749,M,287659,EUR,824256000,M,24,24,False,24.0,21.0,,,12.0,12.0,10.0,13.0,4.0,3.0,2.0,,,,,,58.0,34.0,7.1,5.0,0.9366,0.8472,0.0868265,3,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,
10411444,home,Spezia,Emmanuel Gyasi,emmanuel-gyasi,E. Gyasi,M,11,182,716,M,541578,EUR,758246400,F,11,11,False,13.0,11.0,1.0,1.0,7.0,7.0,4.0,6.0,3.0,5.0,1.0,,,,,,80.0,24.0,6.5,7.0,0.0697,0.0,0.00318108,1,,,1.0,4.0,3.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,2.0,,1.0,True,,,,
10411444,home,Spezia,Eldor Shomurodov,shomurodov-eldor,E. Shomurodov,F,14,190,31540,M,791355,EUR,804384000,F,14,14,False,13.0,10.0,1.0,1.0,3.0,3.0,7.0,10.0,4.0,2.0,1.0,,,,,,90.0,28.0,6.6,13.0,0.0,0.0,0.416006,0,,,,9.0,3.0,2.0,1.0,,,,,2.0,2.0,2.0,2.0,,,2.0,1.0,,,,4.0,1.0,,,,,,
