match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_wasFouled,stat_expectedGoals,stat_dispossessed,stat_blockedScoringAttempt,stat_fouls,stat_keyPass,stat_goalAssist,stat_bigChanceCreated,captain,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_expectedGoalsOnTarget,stat_bigChanceMissed,player_sofascoreId,stat_hitWoodwork
11396248,home,1. FC Köln,Marvin Schwäbe,,,marvin-schwabe,M. Schwäbe,G,1,189,324,M,187185,EUR,798768000,G,1,1,False,31.0,25.0,12.0,7.0,20.0,22.0,5.0,9.0,1.0,2.0,2.0,3.0,1.0,90.0,36.0,6.0,6.0,0.00449637,0,-1.4938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396248,home,1. FC Köln,Rasmus Carstensen,,,rasmus-carstensen,R. Carstensen,D,29,187,193,M,988203,EUR,973814400,D,18,18,False,32.0,24.0,7.0,3.0,16.0,18.0,9.0,16.0,3.0,6.0,,,,90.0,51.0,6.0,11.0,0.0339481,0,,2.0,1.0,2.0,1.0,6.0,5.0,4.0,1.0,1.0,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
11396248,home,1. FC Köln,Luca Kilian,,,kilian-luca,L. Kilian,D,15,190,102,M,855676,EUR,936144000,D,15,15,False,37.0,30.0,6.0,2.0,21.0,27.0,9.0,10.0,3.0,,,,,90.0,46.0,6.0,7.0,0.00416346,0,,,,,,2.0,,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,
11396248,home,1. FC Köln,Jeff Chabot,,,julian-chabot,J. Chabot,D,24,194,723,M,863271,EUR,887241600,D,24,24,False,41.0,29.0,9.0,3.0,27.0,32.0,2.0,9.0,7.0,5.0,,,,90.0,57.0,6.1,13.0,0.00678324,1,,,,,2.0,3.0,6.0,2.0,,1.0,,,,2.0,1.0,1.0,3.0,0.1443,,,,,,,,,,,,,,
11396248,home,1. FC Köln,Leart Paqarada,,,leart-paqarada,L. Paqarada,D,32,184,333,M,151581,EUR,781574400,D,17,17,False,30.0,19.0,2.0,1.0,12.0,19.0,9.0,18.0,3.0,8.0,,,,90.0,57.0,6.0,19.0,0.155892,1,,7.0,2.0,3.0,,5.0,4.0,,,,2.0,1.0,,,,,2.0,0.0141,1.0,1.0,1.0,1.0,,,,,,,,,,
11396248,home,1. FC Köln,Denis Huseinbašić,,,denis-huseinbasic,D. Huseinbašić,M,8,184,959,M,1064842,EUR,994118400,M,8,8,False,23.0,21.0,2.0,1.0,14.0,15.0,7.0,9.0,,4.0,,,,80.0,32.0,6.2,5.0,0.00552712,0,,1.0,,1.0,,5.0,3.0,,,1.0,1.0,,,2.0,1.0,,1.0,,1.0,,2.0,,,,,,,,,,,
11396248,home,1. FC Köln,Eric Martel,,,martel-eric,E. Martel,M,6,186,936,M,988639,EUR,1020038400,M,6,6,False,21.0,18.0,3.0,2.0,13.0,14.0,5.0,7.0,3.0,4.0,,,,90.0,41.0,7.2,6.0,0.0041415,1,,,,1.0,3.0,6.0,5.0,,2.0,5.0,1.0,,1.0,,,1.0,1.0,0.109,2.0,,3.0,1.0,1.0,1.0,,,,,,,,
11396248,home,1. FC Köln,Faride Alidou,,,alidou-faride,F. Alidou,F,10,186,307,M,994197,EUR,995414400,M,40,40,False,11.0,8.0,,,4.0,5.0,4.0,8.0,,2.0,,,,73.0,26.0,6.3,8.0,0.00619297,1,,2.0,,,,3.0,3.0,,,,,,1.0,2.0,1.0,1.0,2.0,0.0847,1.0,,1.0,,,,,,,,,,,
11396248,home,1. FC Köln,Florian Kainz,,,florian-kainz,F. Kainz,M,11,176,502,M,78781,EUR,719884800,M,11,11,False,9.0,5.0,3.0,1.0,,1.0,6.0,13.0,,3.0,,,,73.0,24.0,6.5,10.0,0.155624,2,,5.0,1.0,,,3.0,3.0,1.0,,,,,1.0,3.0,2.0,,1.0,0.1489,,2.0,1.0,2.0,,,True,,,,,,,
11396248,home,1. FC Köln,Max Finkgräfe,Max Finkgräfe,,finkgrafe-max,M. Finkgräfe,D,35,183,310,M,1146250,EUR,1080345600,M,35,35,False,14.0,8.0,1.0,,3.0,6.0,5.0,9.0,,5.0,,,,88.0,34.0,6.6,11.0,0.145654,2,,1.0,,2.0,,6.0,8.0,1.0,1.0,2.0,2.0,,1.0,3.0,3.0,2.0,3.0,0.1222,2.0,,1.0,1.0,,,,,,,,,,
