match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,captain,stat_aerialWon,stat_shotOffTarget,stat_dispossessed,stat_accurateCross,stat_challengeLost,stat_totalContest,stat_bigChanceCreated,stat_keyPass,stat_lastManTackle,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_expectedGoalsOnTarget,stat_wonContest,stat_bigChanceMissed,stat_hitWoodwork,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_punches
12450188,home,Nice,Marcin Bułka,marcin-bulka,M. Bułka,G,99,198,4805,M,marcinbulka1,889590,EUR,938995200,G,1,1,False,33.0,30.0,8.0,5.0,0.0,24.0,27.0,6.0,6.0,12.0,2.0,90.0,37.0,6.3,3.0,0.00461664,0,-1.3939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450188,home,Nice,Moise Bombito,bombito-moise,M. Bombito,D,64,190,602,M,,1469180,EUR,954374400,D,64,64,False,59.0,54.0,1.0,1.0,0.0,20.0,20.0,34.0,40.0,4.0,,63.0,73.0,6.6,9.0,0.0261666,1,,Moise Bombito,,1.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0223,,,,,,,,,,,,,,,,,,,,
12450188,home,Nice,Youssouf Ndayishimiye,youssouf-ndayishimiye,Y. Ndayishimiye,D,55,183,1788,M,,985934,EUR,909446400,D,55,55,False,114.0,102.0,7.0,1.0,0.0,46.0,48.0,56.0,66.0,8.0,,90.0,122.0,6.7,12.0,0.0514014,1,,,,,4.0,5.0,3.0,,2.0,,1.0,,,,,,1.0,0.0111,True,3.0,1.0,,,,,,,,,,,,,,,,,
12450188,home,Nice,Mohamed Abdelmonem,mohamed-abdelmonem,M. Abdelmonem,D,33,183,28932,M,mohamed_abdelmonem66,926506,EUR,917827200,D,5,5,False,94.0,92.0,2.0,2.0,0.0,36.0,37.0,56.0,58.0,8.0,,90.0,116.0,7.5,4.0,0.043437,0,,,,1.0,3.0,5.0,14.0,,7.0,,,3.0,1.0,,,4.0,1.0,,,7.0,,1.0,,,,,,,,,,,,,,,,
12450188,home,Nice,Jonathan Clauss,jonathan-clauss,J. Clauss,M,92,178,2004,M,,821728,EUR,717379200,M,92,92,False,68.0,60.0,3.0,1.0,0.0,10.0,10.0,57.0,77.0,5.0,,90.0,105.0,7.3,24.0,0.476012,3,,,,19.0,1.0,5.0,,1.0,,,,,,,,,,0.1887,,,2.0,2.0,7.0,1.0,1.0,1.0,2.0,,,,,,,,,,,
12450188,home,Nice,Hicham Boudaoui,hicham-boudaoui,H. Boudaoui,M,6,176,11417,M,hicham_boudaoui,985923,EUR,938044800,M,6,6,False,56.0,46.0,3.0,2.0,1.0,10.0,11.0,37.0,49.0,1.0,,90.0,69.0,7.8,16.0,0.377081,0,,,,4.0,2.0,4.0,4.0,,,,,3.0,3.0,,1.0,1.0,1.0,,,,,,1.0,,1.0,1.0,3.0,1.0,,,,,,,,,,
12450188,home,Nice,Pablo Rosario,pablo-rosario,P. Rosario,M,13,188,1208,M,,804472,EUR,852595200,M,8,8,False,38.0,32.0,3.0,3.0,0.0,12.0,13.0,20.0,26.0,4.0,,62.0,47.0,6.7,10.0,0.028146,0,,,,1.0,3.0,5.0,5.0,,,,,2.0,1.0,,1.0,1.0,,,,2.0,,2.0,,,,,1.0,,,,,,,,,,,
12450188,home,Nice,Ali Abdi,ali-abdi,A. Abdi,M,2,183,4213,M,,919027,EUR,756345600,M,2,2,False,51.0,43.0,4.0,2.0,0.0,11.0,13.0,34.0,47.0,5.0,,83.0,92.0,8.7,20.0,0.145668,5,,,,9.0,1.0,3.0,11.0,2.0,1.0,,3.0,5.0,4.0,,3.0,1.0,,0.6729,,5.0,,,2.0,,2.0,1.0,2.0,,3.0,1.0,1.0,0.4909,,,,,,
12450188,home,Nice,Mohamed-Ali Cho,mohamed-ali-cho,M. Cho,F,25,182,1757,M,,1063235,EUR,1074470400,F,25,25,False,25.0,22.0,2.0,2.0,0.0,1.0,1.0,21.0,29.0,5.0,,62.0,40.0,6.7,13.0,0.0545991,0,,,,5.0,,3.0,2.0,,,,,,,,2.0,1.0,,,,,,1.0,,,3.0,,1.0,,,,,,1.0,,,,,
12450188,home,Nice,Jérémie Boga,jeremie-boga,J. Boga,F,13,172,4912,M,jeremieboga,367056,EUR,852249600,F,7,7,False,49.0,41.0,2.0,2.0,0.0,6.0,7.0,36.0,43.0,2.0,,90.0,67.0,7.2,16.0,0.544466,2,,,,1.0,1.0,6.0,6.0,,,,,,,,3.0,4.0,,0.1864,,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,,,,,,1.0,1.0,1.0,,,
