match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_aerialLost,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,player_sofascoreId,stat_goalAssist,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_hitWoodwork,captain,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_penaltyWon,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded,stat_errorLeadToAShot
11407367,home,Frosinone,Stefano Turati,stefano-turati,S. Turati,G,13,188.0,559,M,893752,EUR,999648000,G,80,80,False,32.0,24.0,12.0,4.0,21.0,24.0,3.0,8.0,10.0,4.0,5.0,90.0,44.0,7.4,8.0,0.0,0.0,0.00069482,0,-0.1379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407367,home,Frosinone,Anthony Oyono,anthony-oyono,A. Oyono,D,20,179.0,394,M,1106257,EUR,987033600,D,22,22,False,46.0,39.0,1.0,,17.0,20.0,24.0,30.0,4.0,,,90.0,74.0,7.3,12.0,0.0,0.0,0.230511,0,,Anthony Oyono,,4.0,2.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,
11407367,home,Frosinone,Ilario Monterisi,ilario-monterisi,I. Monterisi,D,30,190.0,147,M,1009363,EUR,1008720000,D,30,30,False,50.0,47.0,4.0,3.0,34.0,35.0,13.0,15.0,3.0,,,45.0,53.0,6.7,3.0,0.0,0.0,0.00265654,0,,,,,,1.0,,1.0,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
11407367,home,Frosinone,Simone Romagnoli,simone-romagnoli,S. Romagnoli,D,4,193.0,92,M,111487,EUR,634521600,D,6,6,False,58.0,53.0,6.0,3.0,43.0,45.0,10.0,13.0,5.0,,,90.0,67.0,6.8,5.0,0.0,0.0,0.00358942,0,,,,,,2.0,1.0,3.0,,,,4.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
11407367,home,Frosinone,Riccardo Marchizza,marchizza-riccardo,R. Marchizza,D,5,185.0,121,M,792311,EUR,890870400,D,3,3,False,23.0,19.0,2.0,1.0,10.0,11.0,10.0,13.0,8.0,,,90.0,42.0,6.6,7.0,0.014,0.0,0.241207,1,,,,1.0,1.0,,5.0,,,,1.0,3.0,,,1.0,,1.0,,1.0,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
11407367,home,Frosinone,Matías Soulé,matias-soule,M. Soulé,F,18,182.0,12526,M,1082406,EUR,1050364800,M,18,18,False,51.0,39.0,3.0,3.0,17.0,20.0,22.0,32.0,8.0,,,90.0,78.0,7.2,24.0,0.2942,0.0,0.0740108,3,,,,1.0,,1.0,7.0,7.0,8.0,3.0,,1.0,3.0,3.0,2.0,,3.0,,2.0,1.0,,1.0,1.0,2.0,matiassoule11,1.0,1.0,1.0,1.0,,,,,,,,,,
11407367,home,Frosinone,Luca Mazzitelli,luca-mazzitelli,L. Mazzitelli,M,4,180.0,415,M,369866,EUR,816393600,M,36,36,False,48.0,41.0,9.0,4.0,18.0,18.0,23.0,32.0,1.0,,,87.0,65.0,8.6,11.0,0.3306,0.801,0.0169684,5,,,,2.0,,,2.0,2.0,,,,3.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,2.0,,,,1.0,,True,2.0,2.0,,,,,,,
11407367,home,Frosinone,Enzo Barrenechea,enzo-barrenechea,E. Barrenechea,M,5,186.0,6499,M,1087316,EUR,990489600,M,45,45,False,31.0,27.0,4.0,2.0,15.0,16.0,12.0,15.0,3.0,,,69.0,37.0,6.3,5.0,0.016,0.0,0.00848993,1,,,,,,,9.0,2.0,,,,,1.0,1.0,,1.0,,1.0,,4.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,
11407367,home,Frosinone,Jaime Báez,jaime-baez,J. Báez,M,28,178.0,206,M,796443,EUR,798768000,M,7,7,False,14.0,10.0,1.0,,4.0,6.0,9.0,11.0,2.0,,,45.0,26.0,6.9,5.0,0.0,0.0,0.387608,0,,,,3.0,3.0,1.0,1.0,4.0,,,,,,,,3.0,2.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,
11407367,home,Frosinone,Walid Cheddira,walid-cheddira,W. Cheddira,F,99,187.0,3794,M,917485,EUR,885427200,F,70,70,False,12.0,8.0,,,1.0,2.0,7.0,10.0,2.0,,,90.0,23.0,8.0,10.0,1.0193,1.2791,0.183479,3,,,,,,1.0,5.0,3.0,,,1.0,,,,4.0,2.0,1.0,,,2.0,1.0,,2.0,1.0,walo_98,1.0,1.0,,,,2.0,1.0,4.0,1.0,,,,,
