match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_possessionLostCtrl,stat_expectedGoals,stat_aerialWon,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_wasFouled,stat_aerialLost,stat_totalContest,stat_totalOffside,player_sofascoreId,stat_bigChanceCreated,stat_keyPass,stat_wonContest,captain,stat_bigChanceMissed,stat_hitWoodwork,stat_dispossessed,stat_punches,stat_ownGoals
12764396,home,PSV Eindhoven,Walter Benítez,,,walter-benitez,W. Benítez,G,44,193.0,4360,M,249859,EUR,727401600,G,1,1,False,21.0,21.0,4.0,4.0,0.0,20.0,20.0,1.0,1.0,3.0,2.0,3.0,90.0,28.0,7.6,0.00051011,0,0.6836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764396,home,PSV Eindhoven,Rick Karsdorp,,,rick-karsdorp,R. Karsdorp,D,,182.0,704,M,363792,EUR,792460800,D,2,2,False,57.0,50.0,7.0,6.0,0.0,29.0,32.0,22.0,27.0,5.0,,,71.0,66.0,7.0,0.0552712,1,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,0.0149,,,,,,,,,,,,,,,,,,,,,,
12764396,home,PSV Eindhoven,Ryan Flamingo,Ryan Flamingo,,ryan-flamingo,R. Flamingo,D,6,186.0,1605,M,1046960,EUR,1041292800,D,6,6,False,101.0,95.0,4.0,3.0,0.0,60.0,61.0,35.0,40.0,4.0,,,90.0,109.0,8.2,0.0182606,2,,,,1.0,5.0,,1.0,,,,,1.0,7.0,0.0678,5.0,1.0,1.0,1.0,1.0,1.0,0.5586,,,,,,,,,,,,,,,
12764396,home,PSV Eindhoven,Olivier Boscagli,,,boscagli-olivier,O. Boscagli,D,21,181.0,1043,M,788784,EUR,879811200,D,18,18,False,110.0,104.0,15.0,12.0,0.0,54.0,55.0,50.0,55.0,6.0,,,90.0,119.0,8.0,0.0701353,1,,,,2.0,2.0,,,,1.0,1.0,,2.0,6.0,0.0207,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,
12764396,home,PSV Eindhoven,Matteo Dams,Matteo Dams,,matteo-dams,M. Dams,D,32,184.0,819,M,1162305,EUR,1078790400,D,32,32,False,39.0,34.0,3.0,2.0,0.0,18.0,21.0,16.0,18.0,1.0,,,71.0,54.0,7.2,0.011526,0,,,,3.0,3.0,,,,2.0,2.0,,2.0,5.0,,,,,,,5.0,,,1.0,1.0,,,,,,,,,,,,
12764396,home,PSV Eindhoven,Guus Til,,,guus-til,G. Til,M,20,183.0,2259,M,845798,EUR,882748800,M,20,20,False,12.0,9.0,,,0.0,1.0,1.0,8.0,12.0,3.0,,,85.0,23.0,6.7,0.0160521,2,,1.0,,3.0,2.0,,,,,,1.0,,7.0,0.1013,1.0,1.0,,1.0,,1.0,0.798,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,
12764396,home,PSV Eindhoven,Mauro Júnior,,,mauro-junior,M. Júnior,D,17,171.0,1141,M,893499,EUR,925948800,M,17,17,False,45.0,44.0,1.0,1.0,0.0,22.0,22.0,22.0,23.0,3.0,,,90.0,51.0,7.0,0.0337639,0,,,,3.0,2.0,,,,2.0,2.0,1.0,2.0,2.0,,,,,2.0,,,,,,1.0,,,,,,,,,,,,
12764396,home,PSV Eindhoven,Malik Tillman,,,malik-tillman,M. Tillman,M,10,186.0,5859,M,975798,EUR,1022544000,M,7,7,False,55.0,46.0,1.0,1.0,2.0,14.0,16.0,33.0,44.0,5.0,,,90.0,84.0,9.9,0.282644,6,,5.0,1.0,2.0,7.0,2.0,3.0,,4.0,1.0,1.0,,14.0,0.3215,1.0,2.0,1.0,1.0,,1.0,0.5719,1.0,2.0,,,,MalikTillman8,1.0,6.0,,,,,,,
12764396,home,PSV Eindhoven,Johan Bakayoko,Johan Bakayoko,,johan-bakayoko,J. Bakayoko,F,9,179.0,6810,M,1088896,EUR,1050796800,F,11,11,False,38.0,34.0,,,0.0,14.0,14.0,20.0,24.0,4.0,,,90.0,53.0,8.3,0.214973,4,,,,3.0,5.0,1.0,1.0,,2.0,1.0,,,6.0,0.1794,,3.0,1.0,,,2.0,0.7335,,1.0,1.0,3.0,,johanbakayoko,,3.0,2.0,,,,,,
12764396,home,PSV Eindhoven,Luuk de Jong,,,luuk-de-jong,L. de Jong,F,26,188.0,8550,M,40878,EUR,651715200,F,9,9,False,13.0,8.0,,,0.0,2.0,2.0,6.0,12.0,2.0,,,85.0,22.0,6.2,0.266439,2,,1.0,,6.0,2.0,1.0,1.0,,,,1.0,1.0,7.0,0.9004,1.0,1.0,,1.0,,,0.3333,,1.0,4.0,,,luukdejong9,,1.0,,True,2.0,1.0,,,
