match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAShot,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,player_firstName,stat_aerialWon,stat_bigChanceMissed,stat_shotOffTarget,stat_outfielderBlock,stat_expectedGoals,player_lastName,stat_wonContest,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_wasFouled,stat_totalOffside,stat_keyPass,captain,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_ownGoals
12450270,home,RC Strasbourg,Đorđe Petrović,dorde-petrovic,Đ. Petrović,G,1,194,8562,M,dj.petrovic12,882604,EUR,939340800,G,1,1,False,47.0,28.0,24.0,5.0,0.0,27.0,29.0,1.0,18.0,11.0,1.0,2.0,3.0,3.0,90.0,56.0,6.7,20.0,0.00037933,0,-0.0885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450270,home,RC Strasbourg,Guéla Doué,guela-doue,G. Doué,D,22,187,10608,M,,1002033,EUR,1034812800,D,22,22,False,25.0,21.0,3.0,2.0,0.0,8.0,12.0,13.0,13.0,2.0,,,,,90.0,46.0,6.4,10.0,0.0106036,0,,1.0,7.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,
12450270,home,RC Strasbourg,Mamadou Sarr,sarr-mamadou,M. Sarr,D,19,194,21849,M,,1154657,EUR,1125273600,D,23,23,False,27.0,26.0,,,0.0,23.0,24.0,3.0,3.0,3.0,,,,,69.0,38.0,7.2,2.0,0.0009982,1,,,2.0,3.0,,,,7.0,,1.0,1.0,,2.0,Mamadou Sarr,2.0,1.0,1.0,1.0,0.1903,,,,,,,,,,,,,,
12450270,home,RC Strasbourg,Ismael Doukouré,ismael-doukoure,I. Doukouré,D,6,183,1100,M,,1049517,EUR,1059004800,D,29,29,False,37.0,32.0,1.0,,0.0,26.0,29.0,6.0,8.0,,,,,,79.0,45.0,6.9,6.0,0.00412873,0,,3.0,3.0,3.0,,,1.0,1.0,,2.0,1.0,,1.0,Ismael Doukoure,,,,2.0,,,1.0,,,,,,,,,,,,
12450270,home,RC Strasbourg,Dilane Bakwa,dilane-bakwa,D. Bakwa,M,29,179,2042,M,,963298,EUR,1030320000,M,26,26,False,21.0,16.0,2.0,1.0,0.0,6.0,7.0,12.0,22.0,6.0,,,,,79.0,40.0,7.2,16.0,0.232571,1,,1.0,2.0,4.0,,,3.0,,,1.0,,3.0,,,,,,,0.0462,,2.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,
12450270,home,RC Strasbourg,Andrey Santos,santos-andrey,A. Santos,M,17,180,27949,M,andreysantos_5,1105779,EUR,1083542400,M,8,8,False,27.0,25.0,1.0,1.0,0.0,16.0,18.0,9.0,9.0,5.0,,,,,90.0,48.0,7.4,3.0,0.0492594,2,,,2.0,11.0,1.0,,1.0,1.0,4.0,4.0,2.0,1.0,1.0,Andrey Santos,2.0,,1.0,1.0,0.1046,,1.0,,,,1.0,4.0,,,,,,,
12450270,home,RC Strasbourg,Valentín Barco,valentin-barco,V. Barco,M,32,172,11515,M,colo.barco,1127057,EUR,1090540800,M,32,32,False,34.0,29.0,1.0,,0.0,17.0,19.0,12.0,15.0,2.0,,,,,90.0,44.0,6.7,7.0,0.0598422,1,,,3.0,2.0,,1.0,,1.0,,1.0,1.0,1.0,2.0,Valentín Barco,,,,2.0,0.0974,,,,,,1.0,1.0,,,,,,,
12450270,home,RC Strasbourg,Diego Moreira,diego-moreira,D. Moreira,F,7,179,6007,M,diegzyyy,1142233,EUR,1091750400,M,7,7,False,28.0,23.0,1.0,1.0,0.0,14.0,17.0,9.0,12.0,3.0,,,,,62.0,46.0,7.0,11.0,0.0100765,0,,,3.0,4.0,,2.0,1.0,,2.0,3.0,3.0,2.0,,Diego,,,,1.0,,Moreira,,1.0,,,,1.0,,1.0,,,,,
12450270,home,RC Strasbourg,Habib Diarra,habib-diarra,H. Diarra,M,19,179,12696,M,,1128532,EUR,1073088000,F,19,19,False,28.0,21.0,,,1.0,9.0,11.0,13.0,20.0,7.0,,,,,90.0,43.0,7.3,12.0,0.194383,1,,1.0,4.0,5.0,1.0,,2.0,2.0,1.0,2.0,2.0,1.0,,Habib,1.0,,,,0.0924,Diarra,,3.0,1.0,1.0,1.0,2.0,,3.0,True,,,,
12450270,home,RC Strasbourg,Félix Lemaréchal,felix-lemarechal,F. Lemaréchal,M,80,181,791,M,,1130942,EUR,1060214400,F,6,6,False,23.0,18.0,,,0.0,9.0,12.0,11.0,13.0,2.0,,,,,79.0,34.0,7.4,8.0,0.0847044,2,,1.0,5.0,4.0,,,3.0,,,,,,2.0,,1.0,1.0,1.0,,0.1817,,1.0,2.0,2.0,,,2.0,,3.0,,1.0,1.0,0.1299,
12450270,home,RC Strasbourg,Emmanuel Emegha,emanuel-emegha,E. Emegha,F,10,195,9578,M,,1048333,EUR,1044230400,F,10,10,False,12.0,9.0,1.0,1.0,0.0,5.0,6.0,4.0,6.0,2.0,,,,,90.0,18.0,6.3,6.0,0.0457251,0,,4.0,8.0,1.0,,1.0,2.0,2.0,,,,,1.0,,1.0,,,,,,,,,,,,3.0,,,,,,
12450270,home,RC Strasbourg,Abdoul Ouattara,abdoul-ouattara,A. Ouattara,M,42,180,1131,M,,1930811,EUR,1129939200,M,42,42,True,9.0,9.0,2.0,2.0,0.0,7.0,7.0,2.0,2.0,2.0,,,,,28.0,13.0,6.6,1.0,0.00042352,0,,,1.0,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
12450270,home,RC Strasbourg,Andrew Omobamidele,andrew-omobamidele,A. Omobamidele,D,2,188,720,M,,983066,EUR,1024790400,D,2,2,True,5.0,4.0,1.0,,0.0,3.0,3.0,1.0,2.0,2.0,,,,,21.0,9.0,6.7,1.0,0.00022161,0,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12450270,home,RC Strasbourg,Abakar Sylla,abakar-sylla,A. Sylla,D,4,188,887,M,,1170197,EUR,1040774400,D,5,5,True,4.0,3.0,1.0,,0.0,2.0,2.0,1.0,2.0,,,,,,11.0,9.0,6.6,1.0,0.00022906,0,,,,1.0,,,,3.0,,1.0,1.0,,,Abakar Sylla,,,,,,,,,,,,,,,,,,,
