match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_interceptionWon,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keeperSaveValue,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_wasFouled,stat_fouls,stat_keyPass,stat_shotValueNormalized,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_blockedScoringAttempt,player_firstName,captain,stat_onTargetScoringAttempt,player_lastName,stat_dispossessed,stat_goals,stat_savedShotsFromInsideTheBox,stat_totalOffside,stat_clearanceOffLine
14073442,home,Oxford United,Jamie Cumming,jamie-cumming,J. Cumming,G,1,185.0,226,M,836696,EUR,936403200.0,G,1,1,False,36.0,25.0,15.0,5.0,0.0,23.0,25.0,2.0,11.0,2.0,1.0,8.0,1.0,3.0,1.0,3.0,3.0,90.0,49.0,7.0,11.0,0.1782,0,0.02,0.0,0.23,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14073442,home,Oxford United,Hidde ter Avest,hidde-ter-avest,H. t. Avest,D,24,182.0,96,M,361788,EUR,864086400.0,D,24,24,False,44.0,36.0,3.0,,0.0,14.0,18.0,22.0,26.0,2.0,1.0,4.0,,,,,,73.0,65.0,7.0,13.0,,1,0.33,0.18,0.14,,5.0,1.0,2.0,1.0,5.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,-0.14,,,,,,,,,,,,,,
14073442,home,Oxford United,Sam Long,sam-long,S. Long,D,2,179.0,34,M,255391,EUR,790214400.0,D,2,2,False,70.0,62.0,9.0,7.0,0.0,36.0,38.0,26.0,32.0,5.0,1.0,5.0,,,,,,90.0,94.0,8.1,9.0,,0,0.25,0.11,0.36,,,,1.0,5.0,2.0,9.0,,1.0,1.0,,,1.0,1.0,,1.0,3.0,3.0,1.0,,,,,,,,,,
14073442,home,Oxford United,Michał Helik,michal-helik,M. Helik,D,6,191.0,979,M,351726,EUR,810604800.0,D,6,6,False,69.0,61.0,6.0,4.0,0.0,47.0,49.0,14.0,20.0,6.0,3.0,2.0,,,,,,90.0,86.0,8.0,9.0,,1,-0.23,0.18,1.0,,,,1.0,3.0,1.0,5.0,,,,,,,1.0,0.0,3.0,2.0,2.0,1.0,1.0,,,,,,,,,
14073442,home,Oxford United,Jack Currie,jack-currie,J. Currie,D,26,175.0,51,M,1096585,EUR,1008460800.0,D,26,26,False,62.0,50.0,10.0,4.0,0.0,22.0,25.0,28.0,37.0,5.0,,4.0,,,,,,90.0,92.0,7.5,18.0,,0,0.32,0.33,0.33,,4.0,2.0,1.0,1.0,4.0,3.0,,1.0,,,1.0,2.0,2.0,,1.0,1.0,1.0,1.0,,Jack Currie,,,,,,,,
14073442,home,Oxford United,Cameron Brannagan,cameron-brannagan,C. Brannagan,M,8,180.0,229,M,372522,EUR,831600000.0,M,8,8,False,65.0,60.0,3.0,2.0,0.0,42.0,46.0,18.0,19.0,1.0,,8.0,,,,,,90.0,77.0,7.6,6.0,,2,0.12,0.27,0.26,,1.0,,,,5.0,3.0,3.0,1.0,1.0,,,2.0,,-0.08,1.0,2.0,1.0,,1.0,,True,1.0,,,,,,
14073442,home,Oxford United,Tyler Goodrham,tyler-goodrham,T. Goodrham,M,19,170.0,124,M,993444,EUR,1060214400.0,M,19,19,False,55.0,45.0,2.0,,0.0,16.0,18.0,29.0,37.0,1.0,1.0,5.0,,,,,,90.0,83.0,8.2,21.0,,2,0.05,0.29,-0.01,,11.0,3.0,1.0,,6.0,10.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,0.54,,6.0,2.0,1.0,,,,1.0,,1.0,1.0,,,
14073442,home,Oxford United,Siriki Dembélé,siriki-dembele,S. Dembélé,M,23,173.0,219,M,886532,EUR,842054400.0,M,23,23,False,19.0,17.0,,,0.0,5.0,5.0,12.0,14.0,,,6.0,,,,,,80.0,37.0,7.2,7.0,,2,-0.1,0.59,0.2,,,,,1.0,3.0,9.0,,4.0,3.0,2.0,3.0,1.0,,-0.54,,2.0,1.0,3.0,,,,,,1.0,,,,
14073442,home,Oxford United,Matt Phillips,matt-phillips,M. Phillips,M,25,183.0,62,M,36466,EUR,668822400.0,M,10,10,False,28.0,25.0,3.0,3.0,0.0,9.0,10.0,16.0,18.0,,,2.0,,,,,,80.0,41.0,6.6,8.0,,1,-0.38,0.37,0.14,,3.0,1.0,,,2.0,2.0,,1.0,,,,1.0,,-0.16,,2.0,,1.0,,,,1.0,,,,,,
14073442,home,Oxford United,Will Lankshear,will-lankshear,W. Lankshear,F,27,189.0,1483,M,1391825,EUR,1113955200.0,F,27,27,False,11.0,9.0,1.0,1.0,0.0,3.0,4.0,6.0,7.0,,,1.0,,,,,,62.0,19.0,6.3,5.0,,1,0.04,0.01,-0.05,,,,5.0,1.0,9.0,2.0,1.0,,,,1.0,2.0,,-0.21,,,,2.0,1.0,,,,,1.0,,,,
