match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_unsuccessfulTouch,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_shotOffTarget,stat_totalTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialWon,stat_blockedScoringAttempt,stat_interceptionWon,captain,stat_accurateCross,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_aerialLost,stat_wonTackle,stat_totalContest,stat_wonContest,stat_totalOffside,stat_challengeLost,stat_bigChanceMissed,stat_bigChanceCreated,player_sofascoreId,stat_savedShotsFromInsideTheBox,stat_saves,stat_lastManTackle,stat_ownGoals,stat_hitWoodwork,stat_errorLeadToAShot
10556818,home,Bologna,Joshua Zirkzee,,,joshua-zirkzee,J. Zirkzee,F,11,193.0,25992,M,917007,EUR,990489600,F,11,11,False,9.0,4.0,,,1.0,1.0,3.0,8.0,,1.0,2.0,45.0,18.0,6.7,9.0,1,,3.0,2.0,,,1.0,,,,1.0,,,,,1.0,,2.0,,1.0,,,,,,JZirkzee,,,,,,
10556818,home,Bologna,Roberto Soriano,,,roberto-soriano,R. Soriano,M,,182.0,250,,80406,EUR,665971200,M,21,21,True,35.0,31.0,3.0,2.0,9.0,11.0,22.0,24.0,,3.0,1.0,45.0,39.0,6.8,5.0,1,,2.0,1.0,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,
10556818,home,Bologna,Riccardo Orsolini,,,riccardo-orsolini,R. Orsolini,M,7,183.0,5797,M,793645,EUR,854064000,F,7,7,True,22.0,15.0,3.0,1.0,4.0,4.0,12.0,22.0,,4.0,3.0,45.0,39.0,7.4,14.0,1,4.0,1.0,8.0,,1.0,2.0,1.0,,1.0,3.0,,1.0,,1.0,,,1.0,1.0,2.0,2.0,,,,,,,,,,,
10556818,home,Bologna,Marko Arnautović,,,marko-arnautovic,M. Arnautović,F,89,192.0,8617,M,21927,EUR,608947200,F,9,9,True,16.0,11.0,1.0,,3.0,3.0,8.0,13.0,,3.0,1.0,45.0,22.0,6.3,10.0,0,,5.0,,3.0,,,,,1.0,,,,,,,,,,1.0,,1.0,1.0,,,m.arnautovic7,,,,,,
10556818,home,Bologna,Lorenzo De Silvestri,,,lorenzo-de-silvestri,L. De Silvestri,D,29,185.0,373,M,14718,EUR,580348800,D,29,29,True,12.0,10.0,1.0,1.0,6.0,6.0,4.0,7.0,,3.0,,31.0,24.0,6.5,5.0,1,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,1.0,,1.0,,,,,,,,,,
10556818,home,Bologna,Nicolás Domínguez,,,nicolas-dominguez,N. Domínguez,M,16,179.0,3185,M,871765,EUR,898992000,M,8,8,True,12.0,9.0,1.0,,5.0,5.0,4.0,7.0,,1.0,2.0,16.0,16.0,6.6,5.0,1,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,
10556818,home,Bologna,Łukasz Skorupski,,,lukasz-skorupski,Ł. Skorupski,G,1,187.0,4403,M,44906,EUR,673401600,G,28,28,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,lukaszskorupski28,,,,,,
10556818,home,Bologna,Francesco Raffaelli,,,francesco-raffaelli,F. Raffaelli,G,1,,21,M,1397469,EUR,1116633600,G,12,12,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10556818,home,Bologna,Jhon Lucumí,,,jhon-lucumi,J. Lucumí,D,26,185.0,4572,M,818481,EUR,898819200,D,26,26,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10556818,home,Bologna,Andrea Cambiaso,,,cambiaso-andrea,A. Cambiaso,D,27,181.0,7434,M,917048,EUR,951004800,D,50,50,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,andrea_cambiaso,,,,,,
10556818,home,Bologna,Gary Medel,,,gary-medel,G. Medel,D,17,171.0,1841,M,22975,EUR,554947200,M,17,17,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10556818,home,Bologna,Joaquín Sosa,,,joaquin-sosa,J. Sosa,D,4,189.0,505,M,1015274,EUR,1010620800,D,4,4,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10556818,home,Bologna,Michel Aebischer,,,michel-aebischer,M. Aebischer,M,20,182.0,1215,M,850891,EUR,852508800,M,20,20,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10556818,home,Bologna,Emanuel Vignato,Emanuel,Vignato,emanuel-vignato,E. Vignato,F,25,175.0,263,M,862373,EUR,967075200,M,55,55,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10556818,away,Cagliari,Simone Aresti,,,simone-aresti,S. Aresti,G,,189.0,18,M,17756,EUR,511228800,G,18,18,False,29.0,22.0,12.0,5.0,20.0,22.0,2.0,7.0,,10.0,,90.0,45.0,8.4,8.0,0,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,5.0,8.0,,,,
10556818,away,Cagliari,Gabriele Zappa,,,gabriele-zappa,G. Zappa,D,28,183.0,612,M,927304,EUR,945820800,D,28,28,False,54.0,45.0,4.0,2.0,29.0,32.0,17.0,25.0,2.0,6.0,,90.0,77.0,7.1,11.0,0,3.0,,3.0,,,1.0,,,1.0,1.0,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,
