match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_totalContest,stat_onTargetScoringAttempt,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,player_firstName,player_lastName,stat_bigChanceMissed,stat_shotOffTarget,stat_errorLeadToAShot,stat_totalCross,stat_blockedScoringAttempt,stat_wonTackle,stat_accurateCross,stat_wonContest,stat_bigChanceCreated,stat_totalOffside,captain,player_sofascoreId,stat_hitWoodwork,stat_goals
14064426,home,Metz,Jonathan Fischer,jonathan-fischer,J. Fischer,G,1,197.0,267,M,1004550,EUR,999993600,G,1,1,False,38.0,36.0,8.0,6.0,0.0,33.0,34.0,3.0,4.0,1.0,10.0,1.0,1.0,1.0,1.0,90.0,44.0,7.1,2.0,0.00034064,95.13186437002,14.0,64.365,10.71,0.1782,0,-0.4627,0.02,0.02,0.14,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14064426,home,Metz,Maxime Colin,maxime-colin,M. Colin,D,2,179.0,51,M,128285,EUR,690163200,D,2,2,False,64.0,58.0,3.0,2.0,0.0,34.0,34.0,24.0,30.0,3.0,4.0,,,,,90.0,83.0,7.0,9.0,0.0149324,277.12863009765,29.0,139.86,50.19,,0,,0.17,0.12,0.28,,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14064426,home,Metz,Jean-Philippe Gbamin,jean-philippe-gbamin,J. Gbamin,M,5,186.0,1191,M,326343,EUR,811987200,D,5,5,False,87.0,76.0,19.0,11.0,0.0,60.0,66.0,16.0,21.0,5.0,8.0,,,,,90.0,105.0,6.8,16.0,0.0201893,265.37065711125,33.0,90.405,14.7,,1,,0.22,0.11,0.27,,3.0,1.0,9.0,2.0,,4.0,1.0,3.0,,,1.0,,1.0,1.0,1.0,0.0103,0.0819,0.01,,,,,,,,,,,,,,,,
14064426,home,Metz,Terry Yegbe,terry-yegbe,T. Yegbe,D,15,195.0,357,M,1200442,EUR,980380800,D,15,15,False,64.0,52.0,5.0,1.0,0.0,42.0,51.0,10.0,13.0,8.0,5.0,,,,,90.0,85.0,6.6,17.0,0.00401633,127.33411722714,20.0,34.23,11.655,,2,,-0.02,0.04,0.53,,1.0,2.0,3.0,2.0,,,2.0,1.0,,,2.0,,,,,0.4475,,-0.8,Terry Yegbe,,1.0,2.0,1.0,,,,,,,,,,,
14064426,home,Metz,Georgiy Tsitaishvili,giorgi-tsitaishvili,G. Tsitaishvili,M,7,171.0,1454,M,875677,EUR,974505600,M,7,7,False,34.0,24.0,2.0,,0.0,13.0,18.0,11.0,16.0,1.0,4.0,,,,,90.0,53.0,6.7,18.0,0.0235257,200.85479509478,20.0,30.45,18.165,,2,,-0.05,0.26,0.21,,,,1.0,4.0,,1.0,,,1.0,4.0,,3.0,,,3.0,0.0161,,-0.28,,,,,,3.0,2.0,1.0,,,,,,,,
14064426,home,Metz,Jessy Deminguet,jessy-deminguet,J. Deminguet,M,20,178.0,128,M,902657,EUR,884131200,M,20,20,False,43.0,39.0,6.0,5.0,0.0,21.0,22.0,18.0,21.0,,5.0,,,,,75.0,52.0,6.8,8.0,0.0182384,129.33008064106,22.0,36.435,8.295,,1,,0.21,0.11,0.0,,,,3.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,0.0382,0.0124,-0.01,,,,,,1.0,,1.0,,,,,,,,
14064426,home,Metz,Boubacar Traoré,boubacar-traore,B. Traoré,M,8,183.0,1011,M,982613,EUR,998265600,M,8,8,False,39.0,31.0,1.0,,0.0,22.0,26.0,9.0,13.0,,6.0,,,,,88.0,50.0,6.8,9.0,0.0114231,121.83751647289,14.0,57.33,22.47,,2,,-0.05,0.13,-0.05,,1.0,4.0,3.0,7.0,1.0,,,1.0,2.0,1.0,1.0,1.0,1.0,,,0.0239,,-0.3,,,,2.0,,1.0,,1.0,1.0,1.0,,,,,,
14064426,home,Metz,Fodé Ballo-Touré,fode-ballo-toure,F. Ballo-Touré,D,97,177.0,1466,M,788170,EUR,852249600,M,97,97,False,27.0,24.0,,,0.0,9.0,9.0,15.0,18.0,,4.0,,,,,76.0,41.0,7.8,10.0,0.700023,137.76965221101,18.0,59.325,33.075,,0,,0.6,0.29,0.0,,,1.0,,5.0,,,,,3.0,3.0,,1.0,1.0,,,,,,,,,,,4.0,,1.0,1.0,1.0,1.0,1.0,,,,
14064426,home,Metz,Gauthier Hein,gauthier-hein,G. Hein,M,10,170.0,632,M,842391,EUR,839376000,F,10,10,False,41.0,39.0,8.0,8.0,0.0,15.0,16.0,24.0,25.0,,2.0,,,,,90.0,57.0,7.4,10.0,0.18852,167.68268876864,25.0,-4.41,14.175,,1,,0.31,0.13,-0.03,,,1.0,2.0,4.0,,2.0,,,,1.0,1.0,3.0,,,3.0,0.0638,,-0.2,,,,,,6.0,1.0,,2.0,,,,True,,,
14064426,home,Metz,Cheick Tidiane Sabaly,cheick-tidiane-sabaly,C. T. Sabaly,F,14,168.0,3796,M,942834,EUR,920505600,F,14,14,False,1.0,,1.0,,0.0,,,,1.0,,,,,,,19.0,2.0,6.4,2.0,,32.345483464614,2.0,31.92,28.35,,0,,-0.05,0.04,0.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
