match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,captain,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_challengeLost,stat_outfielderBlock,stat_totalTackle,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_totalCross,stat_accurateCross,stat_wasFouled,stat_keyPass,player_firstName,player_lastName,stat_dispossessed,stat_totalContest,stat_bigChanceCreated,stat_shotOffTarget,stat_wonContest,player_sofascoreId,stat_totalOffside,stat_onTargetScoringAttempt,stat_goals,stat_errorLeadToAShot,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_ownGoals
12624414,home,Al-Fayha,Orlando Mosquera,orlando-mosquera,O. Mosquera,G,52,191.0,495,M,886041,EUR,788313600,G,52,52,False,29.0,18.0,16.0,5.0,0.0,15.0,18.0,3.0,11.0,8.0,1.0,1.0,90.0,35.0,6.4,11.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624414,home,Al-Fayha,Sami Al-Khaibary,sami-al-khaibary,S. Al-Khaibary,D,4,185.0,15,M,893198,EUR,622080000,D,4,4,False,22.0,19.0,3.0,2.0,0.0,8.0,8.0,11.0,14.0,2.0,,,38.0,24.0,6.7,3.0,0,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624414,home,Al-Fayha,Chris Smalling,chris-smalling,C. Smalling,D,5,192.0,1654,M,47741,EUR,627696000,D,5,5,False,15.0,13.0,2.0,,0.0,12.0,13.0,1.0,2.0,1.0,,,90.0,27.0,6.7,2.0,0,,1.0,,2.0,1.0,8.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12624414,home,Al-Fayha,Gabriel Vareta,gabriel-vareta,G. Vareta,D,25,183.0,214,M,1485273,EUR,1116201600,D,23,23,False,36.0,25.0,6.0,1.0,0.0,19.0,22.0,6.0,14.0,1.0,,,90.0,59.0,6.7,14.0,1,,,1.0,2.0,3.0,3.0,2.0,,1.0,2.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,
12624414,home,Al-Fayha,Mohammed Al Baqawi,mohammed-al-baqawi,M. A. Baqawi,D,22,170.0,21,M,893199,EUR,805507200,M,22,22,False,27.0,25.0,,,0.0,7.0,7.0,19.0,22.0,2.0,,,59.0,40.0,6.9,3.0,0,,,,1.0,2.0,1.0,,,,1.0,,,1.0,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12624414,home,Al-Fayha,Gojko Cimirot,gojko-cimirot,G. Cimirot,M,59,178.0,253,M,116604,EUR,724723200,M,13,13,False,61.0,58.0,4.0,4.0,0.0,24.0,27.0,34.0,36.0,5.0,,,75.0,77.0,7.2,9.0,1,,,,4.0,1.0,2.0,,,,1.0,,,1.0,1.0,1.0,2.0,,,1.0,,,1.0,2.0,1.0,1.0,,,,,,,,,,
12624414,home,Al-Fayha,Otabek Shukurov,otabek-shukurov,O. Shukurov,M,63,182.0,2967,M,358890,EUR,835401600,M,20,20,False,54.0,50.0,5.0,3.0,0.0,27.0,27.0,23.0,28.0,5.0,,,90.0,71.0,7.2,8.0,2,,2.0,,5.0,5.0,1.0,3.0,,,1.0,,1.0,1.0,2.0,2.0,1.0,,1.0,1.0,,,1.0,3.0,,1.0,3.0,,,,,,,,,
12624414,home,Al-Fayha,Fashion Sakala,fashion-sakala,F. Sakala,F,10,178.0,8842,M,876626,EUR,858297600,M,10,10,False,32.0,25.0,,,0.0,6.0,8.0,19.0,25.0,6.0,,,90.0,59.0,6.8,22.0,3,,,,12.0,5.0,1.0,,,,1.0,,1.0,1.0,3.0,1.0,1.0,,2.0,1.0,,,3.0,10.0,,2.0,2.0,fashionjr10,1.0,,,,,,,
12624414,home,Al-Fayha,Khalid Al-Kaabi,khalid-al-kaabi,K. Al-Kaabi,M,70,171.0,9,M,791558,EUR,706579200,F,77,77,False,23.0,21.0,2.0,,0.0,8.0,8.0,13.0,15.0,2.0,,,75.0,31.0,6.4,6.0,2,,,1.0,5.0,2.0,,,2.0,,1.0,1.0,,1.0,2.0,1.0,,,,1.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,
12624414,home,Al-Fayha,Alejandro Pozuelo,alejandro-pozuelo,A. Pozuelo,F,10,170.0,264,M,153964,EUR,685238400,F,8,8,False,54.0,45.0,4.0,2.0,1.0,14.0,14.0,34.0,48.0,7.0,,,90.0,77.0,8.2,23.0,0,,2.0,,8.0,1.0,1.0,3.0,1.0,,,,,,2.0,1.0,8.0,3.0,,7.0,Alejandro,Pozuelo,3.0,3.0,2.0,,1.0,,,,,,,,,
