match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_wasFouled,stat_fouls,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,captain,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_blockedScoringAttempt,stat_expectedGoals,stat_shotValueNormalized,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_dispossessed,stat_shotOffTarget,stat_unsuccessfulTouch,stat_totalOffside,stat_accurateCross,stat_bigChanceMissed,stat_bigChanceCreated,stat_clearanceOffLine,player_sofascoreId
14109786,home,Gençlerbirliği,Ricardo Velho,ricardo-velho,R. Velho,G,24,188.0,502,M,845792,EUR,903571200,G,24,24,False,22.0,12.0,16.0,6.0,0.0,8.0,8.0,4.0,14.0,4.0,6.0,4.0,4.0,1.0,1.0,1.0,90.0,33.0,6.2,10.0,0.00096571,9.5941857006022,2.0,-1.8475176096994,0.0084,0,0.0415,0.04,0.01,-0.07,-0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109786,home,Gençlerbirliği,Pedro Pereira,pedro-pereira,P. Pereira,M,13,185.0,286,M,807291,EUR,885427200,D,13,13,False,26.0,19.0,9.0,4.0,0.0,10.0,13.0,9.0,13.0,2.0,8.0,,,,,,90.0,43.0,6.9,10.0,0.00865228,130.46633370488,11.0,110.97561627641,,0,,0.16,0.25,-0.23,,,,4.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,42.222151734003,62.557190248812,2.0,1.0,,,,,,,,,,,,,,,,,,,
14109786,home,Gençlerbirliği,Dimitris Goutas,dimitris-goutas,D. Goutas,D,6,189.0,261,M,257497,EUR,765417600,D,6,6,False,39.0,29.0,10.0,4.0,0.0,18.0,22.0,11.0,17.0,6.0,3.0,,,,,,90.0,52.0,6.6,10.0,0.010383,141.2539991079,15.0,13.34770572148,,0,,0.26,0.05,-0.15,,,,1.0,2.0,,,,,2.0,2.0,1.0,,,1.0,,,,,True,,,,,,,,,,,,,,,,,,
14109786,home,Gençlerbirliği,Žan Žužek,zan-zuzek,Ž. Žužek,D,4,186.0,103,M,355582,EUR,854236800,D,4,4,False,34.0,26.0,7.0,3.0,0.0,21.0,24.0,5.0,10.0,5.0,2.0,,,,,,90.0,47.0,7.1,9.0,0.00463909,101.74627188351,13.0,23.156188549102,,1,,0.13,0.05,0.41,,,,1.0,3.0,,,,2.0,2.0,2.0,2.0,,,,,,,,,1.0,1.0,1.0,1.0,0.0554,0.01,,,,,,,,,,,,
14109786,home,Gençlerbirliği,Thalisson Kelven,thalisson-kelven,T. Kelven,D,2,184.0,112,M,863277,EUR,894499200,D,2,2,False,27.0,22.0,1.0,1.0,0.0,14.0,17.0,8.0,10.0,4.0,1.0,,,,,,90.0,47.0,7.6,6.0,0.00478267,54.056889779654,5.0,31.571828190974,,1,,0.07,0.02,-0.08,,,,,2.0,,,,1.0,1.0,2.0,,,,,,,,,,,,,,0.6044,0.55,1.0,1.0,0.9829,,,,,,,,,
14109786,home,Gençlerbirliği,Tom Dele-Bashiru,tom-dele-bashiru,T. Dele-Bashiru,M,15,185.0,385,M,904845,EUR,937526400,M,15,15,False,35.0,32.0,1.0,1.0,0.0,19.0,20.0,13.0,15.0,2.0,8.0,,,,,,90.0,45.0,7.4,3.0,0.0371225,156.31312150322,15.0,82.862995242256,,0,,0.36,0.19,-0.01,,,,1.0,5.0,1.0,1.0,1.0,,2.0,1.0,1.0,,2.0,,42.564184229492,74.143381231388,3.0,2.0,,,,1.0,,,,,,,,,,,,,,,
14109786,home,Gençlerbirliği,Sekou Koita,sekou-koita,S. Koita,F,22,173.0,3333,M,822710,EUR,943747200,M,22,22,False,12.0,7.0,1.0,,0.0,4.0,4.0,3.0,8.0,,1.0,,,,,,90.0,35.0,6.5,12.0,0.0181228,42.311920117095,6.0,13.069574857755,,4,,-0.18,0.29,-0.08,,,,6.0,9.0,,3.0,2.0,,,3.0,,,3.0,1.0,4.5309099382766,5.1811905967644,1.0,3.0,,,3.0,1.0,,0.4488,-0.63,1.0,,0.0825,1.0,3.0,4.0,2.0,,,,,
14109786,home,Gençlerbirliği,Oğulcan Ülgün,ogulcan-ulgun,O. Ülgün,M,35,178.0,135,M,1063942,EUR,894844800,M,35,35,False,21.0,8.0,3.0,1.0,0.0,6.0,8.0,2.0,13.0,1.0,,,,,,,89.0,32.0,5.9,17.0,0.00106769,50.254493805561,5.0,9.8543607004188,,1,,-0.19,0.05,-0.18,,Ogulcan Ülgün,,9.0,4.0,1.0,,,,1.0,2.0,1.0,,1.0,7.0,,,,,,1.0,,1.0,,0.0227,-0.07,1.0,,0.0305,1.0,,1.0,,,,,,
14109786,home,Gençlerbirliği,Göktan Gürpüz,goktan-gurpuz,G. Gürpüz,M,11,178.0,348,M,997007,EUR,1043193600,M,11,11,False,13.0,10.0,,,0.0,6.0,7.0,4.0,6.0,,5.0,,,,,,68.0,31.0,6.6,11.0,0.0442588,51.966653356917,9.0,17.695128237444,,1,,0.2,0.31,-0.06,,,,8.0,4.0,,8.0,4.0,,1.0,,,,,2.0,,,,,,2.0,,,1.0,0.0355,0.0,,,,2.0,,2.0,,2.0,,,,
14109786,home,Gençlerbirliği,Metehan Mimaroğlu,metehan-mimaroglu,M. Mimaroğlu,M,10,178.0,135,M,900809,EUR,773539200,M,10,10,False,15.0,10.0,1.0,,0.0,4.0,4.0,6.0,11.0,1.0,4.0,,,,,,89.0,43.0,7.3,17.0,0.0660356,167.12584532467,16.0,98.775398570027,,2,,-0.01,0.38,-0.09,,,,6.0,2.0,1.0,2.0,1.0,,1.0,,,,1.0,2.0,24.00063332696,81.553368480622,4.0,1.0,,5.0,,,,0.322,0.52,2.0,1.0,0.1475,3.0,,3.0,,,1.0,,,
