match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_totalTackle,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_totalContest,stat_shotOffTarget,stat_interceptionWon,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_keyPass,stat_outfielderBlock,stat_totalOffside,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_wasFouled,player_firstName,player_lastName,stat_accurateCross,stat_dispossessed,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_goals,stat_goalAssist,stat_bigChanceMissed,stat_clearanceOffLine,player_sofascoreId
12117031,home,Fortaleza,João Ricardo,joao-ricardo,J. Ricardo,G,1,188,675,M,839761,EUR,589507200,G,1,1,False,18.0,15.0,5.0,2.0,14.0,15.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,4.0,90.0,28.0,7.1,3.0,9.611e-05,0,0.7705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117031,home,Fortaleza,Tinga,tinga,Tinga,D,2,179,424,M,330057,EUR,746841600,D,2,2,False,36.0,32.0,2.0,2.0,13.0,13.0,19.0,25.0,5.0,4.0,2.0,2.0,,,90.0,62.0,7.1,12.0,0.0288349,1,,True,2.0,3.0,3.0,7.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0183,1.0,,,,,,,,,,,,,,,,,,,
12117031,home,Fortaleza,Benjamin Kuscevic,benjamin-kuscevic,B. Kuscevic,D,13,185,1470,M,590324,EUR,830995200,D,13,13,False,40.0,37.0,6.0,4.0,25.0,26.0,12.0,14.0,2.0,4.0,1.0,1.0,,,90.0,50.0,6.9,4.0,0.0102611,0,,,,5.0,1.0,5.0,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,
12117031,home,Fortaleza,Titi,titi,Titi,D,4,187,324,M,243435,EUR,574128000,D,4,4,False,39.0,35.0,3.0,1.0,24.0,25.0,11.0,14.0,2.0,1.0,4.0,1.0,,,90.0,45.0,5.9,6.0,0.00268144,0,,,,3.0,,6.0,1.0,,,,,3.0,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,
12117031,home,Fortaleza,Felipe Jonatan,felipe-jonatan,F. Jonatan,D,16,176,464,M,931574,EUR,887500800,D,36,36,False,43.0,33.0,11.0,4.0,16.0,19.0,18.0,26.0,5.0,1.0,6.0,2.0,,,90.0,59.0,6.7,12.0,0.0453137,1,,,2.0,,,4.0,2.0,1.0,,1.0,1.0,2.0,0.019,,,,,,2.0,,,1.0,1.0,1.0,1.0,0.2694,,,,,,,
12117031,home,Fortaleza,Hércules,hercules,Hércules,M,35,178,3079,M,1104068,EUR,972000000,M,35,35,False,35.0,29.0,4.0,2.0,11.0,12.0,18.0,24.0,4.0,,6.0,1.0,,,83.0,46.0,6.5,10.0,0.00814791,0,,,1.0,,1.0,7.0,2.0,1.0,,1.0,1.0,3.0,,,,,,1.0,1.0,,,,2.0,1.0,,,,,,,,,
12117031,home,Fortaleza,Matheus Rossetto,matheus-rossetto,M. Rossetto,M,20,180,350,M,842682,EUR,833760000,M,16,16,False,50.0,43.0,7.0,5.0,22.0,24.0,21.0,26.0,3.0,1.0,6.0,1.0,,,90.0,61.0,6.8,9.0,0.0135579,0,,,,1.0,1.0,3.0,1.0,1.0,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,
12117031,home,Fortaleza,Marinho,marinho,Marinho,M,7,169,2296,M,798127,EUR,643939200,M,11,11,False,20.0,14.0,2.0,1.0,3.0,3.0,11.0,19.0,6.0,1.0,2.0,3.0,,,64.0,39.0,7.0,14.0,0.113712,2,,,2.0,1.0,,7.0,2.0,4.0,2.0,,2.0,1.0,0.0652,1.0,,3.0,,3.0,2.0,,,,,1.0,,,1.0,,,,,,
12117031,home,Fortaleza,Tomás Pochettino,tomas-pochettino,T. Pochettino,M,7,178,994,M,824626,EUR,823132800,M,7,7,False,20.0,16.0,1.0,,5.0,7.0,11.0,18.0,4.0,,1.0,3.0,,,72.0,36.0,7.3,13.0,0.00876641,3,,,5.0,,,2.0,,1.0,1.0,,,,0.155,1.0,,,,1.0,1.0,,,,1.0,,1.0,0.3883,,1.0,1.0,,,,
12117031,home,Fortaleza,Breno Lopes,breno-lopes,B. Lopes,M,26,178,1395,M,937552,EUR,822441600,M,26,26,False,12.0,10.0,,,2.0,2.0,8.0,12.0,13.0,,4.0,1.0,,,72.0,36.0,7.1,10.0,0.0717453,0,,,2.0,1.0,2.0,9.0,1.0,6.0,,,,1.0,,1.0,,,,,6.0,,,,4.0,4.0,,,,,,1.0,,,
