match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_interceptionWon,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialWon,stat_wonTackle,captain,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_fouls,player_firstName,player_lastName,stat_keyPass,stat_goalAssist,stat_accurateCross,stat_dispossessed,stat_bigChanceMissed,stat_shotOffTarget,stat_totalOffside,stat_penaltyMiss,stat_bigChanceCreated,stat_outfielderBlock,stat_penaltySave,stat_penaltyFaced,stat_penaltyConceded
10665996,home,Damac FC,Moustapha Zeghba,moustapha-zeghba,M. Zeghba,G,1,190.0,852,M,888378,EUR,659145600.0,G,30,30,False,32.0,28.0,10.0,6.0,25.0,26.0,3.0,6.0,1.0,1.0,12.0,1.0,2.0,90.0,43.0,6.4,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10665996,home,Damac FC,Abdullah Hassoun,abdullah-hassoun,A. Hassoun,D,17,177.0,31,M,983081,EUR,858729600.0,D,32,32,False,32.0,28.0,6.0,3.0,13.0,14.0,15.0,19.0,,,4.0,,,66.0,46.0,6.5,7.0,0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10665996,home,Damac FC,Ibrahim Alnakhli,ibrahim-alnakhli,I. Alnakhli,D,88,176.0,35,M,847004,EUR,857865600.0,D,4,4,False,56.0,50.0,8.0,2.0,44.0,45.0,6.0,11.0,5.0,1.0,2.0,,,51.0,66.0,6.4,7.0,0,,,1.0,3.0,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10665996,home,Damac FC,Farouk Chafaï,farouk-chafai,F. Chafaï,D,5,182.0,329,M,880083,EUR,646099200.0,D,15,15,False,75.0,66.0,9.0,6.0,41.0,42.0,25.0,33.0,3.0,3.0,2.0,,,90.0,95.0,7.6,14.0,3,,4.0,6.0,5.0,,1.0,,,2.0,,5.0,,True,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
10665996,home,Damac FC,Dhari Al-Enezi,dhari-al-enezi,D. Al-Enezi,D,20,170.0,42,M,1214301,EUR,957571200.0,D,20,20,False,25.0,18.0,1.0,,3.0,4.0,15.0,21.0,1.0,,2.0,,,45.0,37.0,6.1,7.0,0,,1.0,2.0,1.0,1.0,,,1.0,,,,1.0,,,,,,Dhari Al-Enezi,,,,,,,,,,,,,,
10665996,home,Damac FC,Ryan Al-Mousa,ryan-al-mousa,R. Al-Mousa,M,,174.0,6,M,817914,EUR,775008000.0,M,8,8,False,32.0,29.0,2.0,2.0,19.0,20.0,10.0,12.0,,,4.0,,,45.0,35.0,6.6,3.0,0,,,2.0,2.0,2.0,1.0,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,
10665996,home,Damac FC,Adam Maher,adam-maher,A. Maher,M,,174.0,90,M,111719,EUR,743126400.0,M,6,6,False,81.0,75.0,15.0,13.0,37.0,38.0,38.0,46.0,3.0,,6.0,,,90.0,96.0,7.4,11.0,0,3.0,,2.0,4.0,1.0,,,3.0,1.0,,1.0,3.0,,,,,1.0,,,1.0,,,,,,,,,,,,
10665996,home,Damac FC,El Arbi Hillel Soudani,el-arbi-hillel-soudani,E. A. Soudani,M,2,182.0,1269,M,173713,EUR,564796800.0,M,2,2,False,24.0,17.0,,,6.0,6.0,12.0,20.0,3.0,,,,,90.0,44.0,6.4,14.0,6,2.0,,7.0,4.0,2.0,2.0,,,1.0,1.0,3.0,,,3.0,,,1.0,,,1.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,,,,,
10665996,home,Damac FC,Nono,nono,Nono,M,14,179.0,56,M,232434,EUR,733449600.0,M,10,10,False,41.0,34.0,3.0,3.0,9.0,10.0,26.0,38.0,,,3.0,,,90.0,60.0,7.1,14.0,3,7.0,,1.0,4.0,,1.0,1.0,,,3.0,,,,2.0,1.0,,1.0,,,1.0,,1.0,1.0,,,,,,,,,
10665996,home,Damac FC,Ahmad Zain,ahmad-zain,A. Zain,M,49,177.0,14,M,818809,EUR,678412800.0,M,49,49,False,34.0,26.0,,,5.0,8.0,22.0,30.0,,,6.0,,,79.0,52.0,6.2,20.0,1,4.0,,4.0,1.0,,,,,8.0,1.0,,,,,1.0,,3.0,,,,,1.0,1.0,,,,,,,,,
