match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_shotOffTarget,stat_interceptionWon,stat_unsuccessfulTouch,stat_keyPass,stat_aerialWon,stat_duelWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_wasFouled,stat_wonContest,stat_outfielderBlock,stat_penaltyConceded,stat_dispossessed,stat_bigChanceCreated,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,captain,stat_hitWoodwork,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyWon,stat_goalAssist,stat_goals,stat_totalOffside
10406826,home,KV Mechelen,Gaëtan Coucke,gaetan-coucke,G. Coucke,G,98,187,159,M,794989,EUR,910051200,G,1,1,False,35.0,26.0,10.0,2.0,24.0,25.0,2.0,10.0,1.0,8.0,1.0,1.0,1.0,1.0,90.0,39.0,6.2,9.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10406826,home,KV Mechelen,Sandy Walsh,sandy-walsh,S. Walsh,D,14,185,7764,M,163199,EUR,795139200,D,5,5,False,53.0,40.0,8.0,2.0,15.0,17.0,26.0,40.0,2.0,5.0,,,,,90.0,77.0,6.7,21.0,1,,,sandywalsh,4.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10406826,home,KV Mechelen,Jordi Vanlerberghe,jordi-vanlerberghe,J. Vanlerberghe,D,30,189,143,M,284727,EUR,835833600,D,30,30,False,34.0,27.0,12.0,9.0,13.0,13.0,14.0,21.0,1.0,2.0,,,,,45.0,38.0,6.6,7.0,0,,,,,,,2.0,,,,1.0,,,2.0,4.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,
10406826,home,KV Mechelen,Dimitri Lavalėe,dimitri-lavalee,D. Lavalėe,D,24,187,151,M,857458,EUR,853113600,D,14,14,False,36.0,28.0,4.0,2.0,17.0,21.0,11.0,15.0,2.0,2.0,,,,,85.0,47.0,6.5,10.0,0,,,,,,2.0,3.0,1.0,,,4.0,2.0,1.0,2.0,3.0,,,1.0,1.0,,,,,,,,,,,,,,,,
10406826,home,KV Mechelen,Dries Wouters,dries-wouters,D. Wouters,D,5,189,34,M,339269,EUR,854409600,D,4,4,False,64.0,56.0,7.0,5.0,35.0,37.0,21.0,27.0,3.0,6.0,,,,,90.0,78.0,7.0,8.0,0,,,,,,,2.0,1.0,1.0,,1.0,,,4.0,8.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
10406826,home,KV Mechelen,Alec Van Hoorenbeeck,alec-van-hoorenbeeck,A. V. Hoorenbeeck,D,18,187,118,M,974203,EUR,914976000,D,18,18,False,29.0,24.0,4.0,3.0,15.0,16.0,9.0,14.0,,1.0,,,,,71.0,42.0,6.1,9.0,0,,,,1.0,,,2.0,1.0,,,1.0,3.0,,1.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,
10406826,home,KV Mechelen,Marian Shved,marian-shved,M. Shved,M,9,171,266,M,791170,EUR,869011200,M,35,35,False,34.0,24.0,1.0,,7.0,7.0,18.0,33.0,,5.0,,,,,90.0,62.0,6.4,23.0,4,,,,6.0,1.0,1.0,6.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,6.0,2.0,2.0,2.0,,2.0,,,2.0,1.0,1.0,3.0,,,,,,,,,
10406826,home,KV Mechelen,Geoffry Hairemans,geoffry-hairemans,G. Hairemans,F,11,184,137,M,58917,EUR,688003200,M,7,7,False,31.0,28.0,1.0,1.0,9.0,10.0,20.0,22.0,,4.0,,,,,61.0,41.0,6.7,6.0,2,,,,1.0,1.0,3.0,3.0,,,,1.0,2.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,
10406826,home,KV Mechelen,Rob Schoofs,rob-schoofs,R. Schoofs,M,17,179,196,M,133164,EUR,764380800,M,16,16,False,46.0,34.0,2.0,,15.0,15.0,19.0,32.0,2.0,9.0,,,,,90.0,68.0,7.0,17.0,2,,,,1.0,,,6.0,2.0,4.0,2.0,2.0,1.0,1.0,,7.0,2.0,2.0,1.0,3.0,2.0,,,1.0,,,,,True,,,,,,,
10406826,home,KV Mechelen,Nikola Storm,nikola-storm,N. Storm,F,26,178,279,M,149796,EUR,780883200,M,11,11,False,22.0,21.0,1.0,1.0,5.0,5.0,17.0,22.0,,1.0,,,,,90.0,41.0,7.0,8.0,3,,,,5.0,1.0,,1.0,1.0,2.0,1.0,2.0,2.0,2.0,,3.0,,,,1.0,2.0,,,,,,1.0,1.0,,,,,,,,
