match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_challengeLost,stat_dispossessed,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,player_sofascoreId,stat_blockedScoringAttempt,stat_wonContest,captain,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_accurateCross,stat_totalOffside,stat_bigChanceCreated,stat_errorLeadToAGoal,stat_bigChanceMissed
12436534,home,Leicester City,Jakub Stolarczyk,,,jakub-stolarczyk,J. Stolarczyk,G,1,194.0,1035,M,997830,EUR,977184000,G,41,41,False,38.0,16.0,24.0,3.0,0.0,14.0,22.0,2.0,16.0,4.0,1.0,2.0,2.0,90.0,44.0,6.5,22.0,0.0001703,0,0.3427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436534,home,Leicester City,James Justin,,,james-justin,J. Justin,D,24,183.0,1165,M,827681,EUR,888192000,D,2,2,False,46.0,38.0,3.0,,1.0,28.0,33.0,10.0,14.0,3.0,,,,64.0,63.0,7.5,9.0,0.0804742,0,,1.0,2.0,2.0,2.0,5.0,2.0,2.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12436534,home,Leicester City,Conor Coady,,,conor-coady,C. Coady,D,15,184.0,629,M,98449,EUR,730598400,D,4,4,False,63.0,61.0,4.0,2.0,0.0,54.0,54.0,7.0,9.0,3.0,,,,90.0,71.0,7.5,2.0,0.00211339,0,,,,,,1.0,4.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12436534,home,Leicester City,Wout Faes,,,wout-faes,W. Faes,D,25,185.0,1743,M,361696,EUR,891561600,D,3,3,False,68.0,62.0,5.0,1.0,0.0,46.0,49.0,16.0,19.0,3.0,,,,90.0,72.0,6.9,6.0,0.00303783,0,,,,,2.0,2.0,1.0,1.0,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
12436534,home,Leicester City,Luke Thomas,,,luke-thomas,L. Thomas,D,33,178.0,491,M,991584,EUR,992131200,D,33,33,False,33.0,28.0,3.0,,0.0,16.0,18.0,12.0,16.0,3.0,,,,90.0,58.0,7.1,12.0,0.00374003,0,,1.0,,,8.0,5.0,2.0,1.0,3.0,3.0,,2.0,1.0,3.0,2.0,2.0,5.0,,,,,,,,,,,,,,,,,,,
12436534,home,Leicester City,Wilfred Ndidi,,,wilfred-ndidi,W. Ndidi,M,4,186.0,9690,M,787885,EUR,850694400,M,6,6,False,40.0,34.0,1.0,,1.0,21.0,23.0,13.0,17.0,2.0,,,,88.0,52.0,6.9,8.0,0.0167647,0,,,3.0,2.0,7.0,6.0,2.0,,4.0,1.0,1.0,4.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
12436534,home,Leicester City,Boubakary Soumaré,,,boubakary-soumare,B. Soumaré,M,34,188.0,1043,M,887581,EUR,920073600,M,24,24,False,51.0,47.0,2.0,1.0,0.0,28.0,30.0,19.0,21.0,6.0,,,,90.0,61.0,6.8,6.0,0.0145066,0,,,2.0,,4.0,4.0,1.0,,3.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12436534,home,Leicester City,Kasey McAteer,Kasey McAteer,,kasey-mcateer,K. McAteer,M,20,177.0,513,M,1065134,EUR,1006387200,M,35,35,False,16.0,13.0,,,0.0,4.0,4.0,9.0,14.0,5.0,,,,80.0,32.0,7.4,10.0,0.00669205,3,,2.0,,1.0,7.0,3.0,,1.0,1.0,1.0,,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.1653,0.264,,,,,,,,,,,,
12436534,home,Leicester City,Jordan Ayew,,,jordan-ayew,J. Ayew,F,9,182.0,13272,M,103045,EUR,684547200,M,18,18,False,19.0,18.0,2.0,2.0,0.0,7.0,7.0,11.0,13.0,2.0,,,,64.0,32.0,6.9,4.0,0.00726519,1,,1.0,6.0,,7.0,5.0,2.0,,1.0,1.0,1.0,1.0,,,2.0,4.0,,,,,,,0.1251,,jordanayew9,1.0,,,,,,,,,,
12436534,home,Leicester City,Bilal El Khannouss,Bilal,El Khannouss,bilal-el-khannouss,B. E. Khannouss,M,11,180.0,25212,M,1126569,EUR,1084147200,M,11,11,False,47.0,40.0,10.0,9.0,0.0,19.0,20.0,21.0,29.0,3.0,,,,90.0,64.0,7.5,15.0,0.0902657,1,,2.0,1.0,,8.0,6.0,,,3.0,3.0,4.0,1.0,2.0,,2.0,,2.0,5.0,1.0,,,,0.042,,bilalekns_34,,3.0,,,,,,,,,
