match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,player_sofascoreId,stat_aerialWon,captain,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalOffside,stat_keyPass,stat_accurateCross,stat_shotOffTarget,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_goals,stat_wasFouled,stat_hitWoodwork,stat_goalAssist,stat_bigChanceCreated,player_firstName,player_lastName,stat_bigChanceMissed,stat_goodHighClaim,stat_errorLeadToAShot
10385539,home,Fulham,Bernd Leno,bernd-leno,B. Leno,G,1,190,2695,M,103335,EUR,699667200,G,17,17,False,23.0,14.0,14.0,6.0,8.0,11.0,6.0,12.0,3.0,6.0,2.0,3.0,1.0,3.0,3.0,90.0,34.0,6.6,11.0,0.0,0.0,0.0018396,0,-0.4799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385539,home,Fulham,Kenny Tete,kenny-tete,K. Tete,D,2,180,1146,M,190877,EUR,813196800,D,2,2,False,28.0,24.0,4.0,2.0,15.0,18.0,9.0,11.0,3.0,4.0,,,,,,77.0,60.0,6.6,10.0,0.0,0.0,0.00497307,0,,1.0,2.0,5.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
10385539,home,Fulham,Tosin Adarabioyo,tosin-adarabioyo,T. Adarabioyo,D,4,196,10523,M,352668,EUR,875059200,D,4,4,False,47.0,32.0,10.0,3.0,26.0,32.0,6.0,15.0,4.0,6.0,,,,,,90.0,56.0,6.5,15.0,0.0,0.0,0.00168928,0,,,2.0,3.0,4.0,,1.0,2.0,,,,2.0,tosinadarabioyo,4.0,,,,,,,,,,,,,,,,,,,,
10385539,home,Fulham,Tim Ream,tim-ream,T. Ream,D,3,185,548,M,118179,EUR,560390400,D,13,13,False,35.0,25.0,9.0,3.0,17.0,20.0,8.0,15.0,4.0,4.0,,,,,,90.0,45.0,6.5,12.0,0.0,0.0,0.00377743,0,,,,,3.0,,,2.0,1.0,,2.0,,,2.0,True,,,,,,,,,,,,,,,,,,,
10385539,home,Fulham,Antonee Robinson,antonee-robinson,A. Robinson,D,33,183,2862,M,803174,EUR,870998400,D,33,33,False,20.0,14.0,3.0,1.0,4.0,7.0,10.0,16.0,3.0,4.0,,,,,,90.0,34.0,6.3,12.0,0.0,0.0,0.0131554,0,,3.0,1.0,4.0,3.0,,,1.0,,,1.0,1.0,,2.0,,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,
10385539,home,Fulham,Harrison Reed,harrison-reed,H. Reed,M,6,176,353,M,365802,EUR,791164800,M,6,6,False,28.0,22.0,3.0,1.0,11.0,14.0,12.0,18.0,1.0,4.0,,,,,,90.0,40.0,6.4,9.0,0.2283,0.0,0.0223867,3,,4.0,4.0,7.0,,,,2.0,,,,2.0,,,,2.0,,,,,1.0,2.0,1.0,,,,,,,,,,,
10385539,home,Fulham,João Palhinha,joao-palhinha,J. Palhinha,M,6,189,16491,M,364612,EUR,805248000,M,26,26,False,23.0,14.0,,,5.0,7.0,9.0,16.0,3.0,4.0,,,,,,90.0,38.0,7.5,10.0,0.079,0.082,0.00407033,1,,,2.0,4.0,11.0,,,1.0,4.0,2.0,1.0,1.0,Palhinha,3.0,,1.0,1.0,1.0,,,,,,1.0,1.0,3.0,,,,,,,,
10385539,home,Fulham,Jay Stansfield,jay-stansfield,J. Stansfield,F,28,187,999,M,1013987,EUR,1038096000,M,65,65,False,16.0,8.0,2.0,,3.0,6.0,5.0,11.0,1.0,6.0,,,,,,77.0,33.0,6.4,15.0,0.2509,0.0,0.0263456,2,,1.0,1.0,5.0,1.0,2.0,1.0,1.0,,,2.0,,,,,2.0,,,,1.0,,,2.0,,,1.0,1.0,,,,,,,
10385539,home,Fulham,Andreas Pereira,andreas-pereira,A. Pereira,M,8,177,14092,M,285949,EUR,820454400,M,18,18,False,27.0,22.0,5.0,2.0,10.0,11.0,17.0,23.0,,5.0,,,,,,90.0,46.0,7.9,10.0,0.1539,0.3619,0.182637,3,,7.0,1.0,5.0,4.0,1.0,,1.0,2.0,2.0,1.0,2.0,andreaspereira,,,1.0,1.0,1.0,,4.0,5.0,,1.0,2.0,,1.0,,1.0,1.0,,,,,
10385539,home,Fulham,Bobby Decordova-Reid,bobby-decordova-reid,B. Reid,M,14,170,1230,M,151499,EUR,728611200,M,14,14,False,19.0,11.0,1.0,,3.0,4.0,8.0,16.0,,3.0,,,,,,90.0,34.0,6.6,19.0,0.5854,0.9887,0.0639075,1,,1.0,2.0,8.0,1.0,3.0,,,1.0,1.0,5.0,2.0,,,,1.0,,,,2.0,,,,1.0,1.0,,,,,,,,,
