match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_ownGoals,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_outfielderBlock,stat_shotValueNormalized,captain,stat_challengeLost,stat_interceptionWon,stat_totalOffside,stat_dispossessed,stat_errorLeadToAGoal,stat_fouls,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_errorLeadToAShot,stat_bigChanceCreated,stat_clearanceOffLine,stat_bigChanceMissed,player_sofascoreId,stat_goals,stat_hitWoodwork
14572764,home,Ludogorets,Sergio Padt,,,sergio-padt,S. Padt,G,1,197.0,141,M,42894,EUR,644630400,G,1,1,False,34.0,30.0,11.0,7.0,0.0,26.0,26.0,4.0,8.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,90.0,39.0,7.2,4.0,0.00302719,0.1942,0,-1.0571,0.08,0.0,-0.18,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572764,home,Ludogorets,Son,,,son,Son,D,17,179.0,216,M,597716,EUR,764985600,D,17,17,False,42.0,36.0,3.0,2.0,0.0,16.0,17.0,20.0,25.0,,5.0,,,,,,90.0,62.0,6.6,11.0,0.0823111,,1,,0.27,0.18,-0.9,,3.0,1.0,1.0,7.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0432,1.0,,,,,,,,,,,,,,,,,,,,,
14572764,home,Ludogorets,Edvin Kurtulus,,,edvin-kurtulus,E. Kurtulus,D,15,185.0,232,M,981899,EUR,952214400,D,15,15,False,4.0,3.0,,,0.0,3.0,4.0,,,,2.0,,,,,,8.0,5.0,6.7,1.0,9.56e-06,,0,,-0.02,0.01,0.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
14572764,home,Ludogorets,Dinis Almeida,,,dinis-almeida,D. Almeida,D,4,190.0,98,M,811562,EUR,804297600,D,4,4,False,67.0,59.0,8.0,3.0,0.0,49.0,51.0,10.0,16.0,7.0,2.0,,,,,,90.0,81.0,7.0,8.0,0.00643949,,2,,0.13,0.1,0.27,,,,2.0,4.0,,,2.0,2.0,1.0,,,,0.0528,,2.0,2.0,3.0,-0.23,,,,,,,,,,,,,,,,,
14572764,home,Ludogorets,Anton Nedyalkov,,,anton-nedyalkov,A. Nedyalkov,D,3,182.0,138,M,173521,EUR,736128000,D,3,3,False,32.0,26.0,3.0,1.0,0.0,19.0,20.0,7.0,12.0,1.0,2.0,,,,,,78.0,45.0,6.0,8.0,0.00238533,,0,,-0.04,0.03,-0.4,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,True,1.0,1.0,1.0,,,,,,,,,,,,,
14572764,home,Ludogorets,Pedro Naressi,,,pedro-naressi,Pedro Naressi,M,30,178.0,218,M,872390,EUR,884390400,M,30,30,False,67.0,60.0,4.0,2.0,0.0,41.0,41.0,19.0,26.0,2.0,4.0,,,,,,90.0,84.0,6.3,10.0,0.0129153,,0,,0.05,0.21,-0.22,,1.0,,5.0,3.0,1.0,,,1.0,,,,1.0,,3.0,2.0,1.0,1.0,,,,4.0,,1.0,1.0,1.0,,,,,,,,,,
14572764,home,Ludogorets,Filip Kaloč,,,filip-kaloc,F. Kaloč,M,26,190.0,137,M,941394,EUR,951609600,M,26,26,False,34.0,30.0,2.0,2.0,0.0,20.0,20.0,10.0,14.0,1.0,,,,,,,66.0,42.0,6.5,7.0,0.0196756,,1,,0.03,0.1,-0.09,,1.0,,,1.0,,,,,,,2.0,,0.0217,,,1.0,,-0.03,,,,,,,,1.0,0.0874,,,,,,,,
14572764,home,Ludogorets,Petar Stanić,,,petar-stanic,P. Stanić,M,14,186.0,983,M,1128120,EUR,997747200,M,14,14,False,39.0,36.0,1.0,1.0,0.0,18.0,20.0,18.0,19.0,,6.0,,,,,,90.0,61.0,6.6,14.0,0.113267,,2,,0.27,0.1,-0.22,,8.0,2.0,7.0,4.0,3.0,1.0,2.0,,,,,2.0,0.0936,4.0,,1.0,1.0,-0.25,,2.0,1.0,,2.0,,1.0,,,,,,,,,,
14572764,home,Ludogorets,Erick Marcus,,,erick-marcus,Erick Marcus,M,77,172.0,690,M,1403439,EUR,1078099200,F,77,77,False,12.0,10.0,,,0.0,5.0,5.0,5.0,7.0,,1.0,,,,,,45.0,25.0,6.9,7.0,0.00556169,,3,,-0.03,0.17,0.22,,2.0,,4.0,5.0,2.0,,2.0,3.0,3.0,,1.0,2.0,0.076,,1.0,,,-0.2,,,,,,,1.0,,,1.0,,,,,,,
14572764,home,Ludogorets,Yves Erick Bile,,,yves-erick-bile,Y. E. Bile,F,29,181.0,328,M,1481921,EUR,1103846400,F,29,29,False,14.0,11.0,,,0.0,7.0,7.0,4.0,7.0,,3.0,,,,,,66.0,17.0,6.4,4.0,0.00130273,,0,,-0.1,-0.27,-0.01,,1.0,,3.0,2.0,1.0,1.0,,,,,,,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,
