match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_bigChanceCreated,stat_ownGoals,stat_shotOffTarget,captain,stat_bigChanceMissed,stat_totalOffside,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_punches,stat_outfielderBlock
14083246,home,Athletic Club,Unai Simón,unai-simon,U. Simón,G,1,189,6832,M,unai_simon,797291,EUR,865987200,G,1,1,False,17.0,15.0,3.0,1.0,0.0,13.0,13.0,2.0,4.0,1.0,1.0,10.0,1.0,2.0,1.0,1.0,90.0,25.0,6.7,2.0,0.00339087,0.4615,0,-0.6484,0.05,0.01,-0.06,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083246,home,Athletic Club,Jesús Areso,jesus-areso,J. Areso,D,12,183,656,M,,910267,EUR,930873600,D,12,12,False,39.0,31.0,2.0,1.0,0.0,16.0,18.0,15.0,21.0,4.0,12.0,1.0,,,,,90.0,69.0,6.9,19.0,0.0484496,,0,,0.11,0.14,-0.26,,,,7.0,2.0,2.0,8.0,2.0,6.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,
14083246,home,Athletic Club,Daniel Vivian,daniel-vivian,D. Vivian,D,3,183,3110,M,,910978,EUR,931132800,D,3,3,False,57.0,52.0,11.0,7.0,0.0,30.0,33.0,22.0,24.0,1.0,4.0,4.0,,,,,90.0,77.0,6.8,9.0,0.0140844,,0,,0.19,0.14,-0.17,,,,2.0,1.0,2.0,6.0,2.0,,,2.0,2.0,2.0,1.0,1.0,,1.0,4.0,3.0,,,,,,,,,,,,,,,
14083246,home,Athletic Club,Aitor Paredes,aitor-paredes,A. Paredes,D,4,186,1132,M,,959872,EUR,956966400,D,4,4,False,58.0,52.0,8.0,5.0,0.0,29.0,29.0,23.0,29.0,,1.0,7.0,,,,,90.0,69.0,6.8,6.0,0.0099724,,0,,0.2,0.2,-0.11,,,,,,2.0,3.0,,,,1.0,1.0,,,1.0,,,5.0,1.0,,,,,,,,,,,,,,,
14083246,home,Athletic Club,Yuri Berchiche,yuri-berchiche,Y. Berchiche,D,17,181,1146,M,,84531,EUR,634608000,D,17,17,False,72.0,59.0,5.0,3.0,0.0,18.0,20.0,41.0,52.0,2.0,7.0,4.0,,,,,90.0,106.0,7.1,20.0,0.121511,,0,,0.33,0.07,-0.02,,,,3.0,1.0,4.0,6.0,,,,3.0,2.0,,2.0,,1.0,2.0,2.0,3.0,,,,,,,,,,,,,,,
14083246,home,Athletic Club,Mikel Jauregizar,mikel-jauregizar,M. Jauregizar,M,18,177,1766,M,,1495844,EUR,1068681600,M,18,18,False,47.0,42.0,2.0,1.0,0.0,14.0,17.0,28.0,30.0,2.0,4.0,9.0,,,,,90.0,66.0,8.0,9.0,0.171081,,4,,0.55,0.26,-0.12,,,,1.0,,2.0,6.0,3.0,,,1.0,1.0,2.0,1.0,1.0,1.0,,2.0,,1.0,3.0,0.1327,0.1021,0.16,,,,,,,,,,
14083246,home,Athletic Club,Iñigo Ruiz de Galarreta,inigo-ruiz-de-galarreta,I. R. d. Galarreta,M,16,174,944,M,,96365,EUR,744595200,M,16,16,False,30.0,23.0,2.0,,0.0,10.0,11.0,13.0,19.0,3.0,11.0,5.0,,,,,59.0,44.0,7.2,9.0,0.0471441,,0,,0.12,0.13,-0.02,,,,2.0,1.0,,2.0,,3.0,3.0,4.0,2.0,,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,
14083246,home,Athletic Club,Álex Berenguer,alex-berenguer,Á. Berenguer,M,7,175,1919,M,,592012,EUR,804816000,M,7,7,False,38.0,29.0,2.0,2.0,0.0,5.0,5.0,24.0,33.0,,8.0,2.0,,,,,80.0,74.0,7.4,23.0,0.478253,,1,,0.68,0.3,-0.61,,,,10.0,2.0,2.0,5.0,,3.0,3.0,3.0,,2.0,2.0,,3.0,3.0,1.0,1.0,1.0,,0.0935,0.5891,-0.19,1.0,1.0,,,,,,,,
14083246,home,Athletic Club,Oihan Sancet,oihan-sancet,O. Sancet,M,8,188,3356,M,,966801,EUR,956620800,M,8,8,False,23.0,17.0,,,0.0,6.0,7.0,11.0,16.0,,2.0,3.0,,,,,68.0,38.0,6.2,11.0,0.00697545,,1,,-0.12,-0.24,-0.06,,,,,,,2.0,,1.0,1.0,,,4.0,1.0,1.0,1.0,1.0,,2.0,,,0.0609,,-0.23,,,1.0,,,,,,,
14083246,home,Athletic Club,Iñaki Williams,inaki-williams,I. Williams,M,9,186,20741,M,IñakiWill,783374,EUR,771638400,M,9,9,False,29.0,17.0,2.0,1.0,0.0,6.0,9.0,11.0,20.0,1.0,3.0,2.0,,,,,80.0,45.0,6.2,20.0,0.0109807,,3,,-0.01,0.0,0.23,,,,2.0,,,5.0,,3.0,,1.0,,2.0,1.0,2.0,,,1.0,,1.0,,0.2365,0.131,-0.62,,,2.0,True,1.0,1.0,,,,
