match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_duelLost,stat_challengeLost,stat_totalContest,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,stat_aerialLost,stat_bigChanceCreated,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_wonContest,stat_wasFouled,stat_accurateCross,stat_dispossessed,stat_totalOffside,captain,stat_lastManTackle,stat_bigChanceMissed,stat_shotOffTarget,stat_errorLeadToAGoal,stat_blockedScoringAttempt,player_sofascoreId,stat_goals
14573005,home,Legia Warszawa,Kacper Tobiasz,,,kacper-tobiasz,K. Tobiasz,G,1,191.0,837,M,1083777,EUR,1036368000,G,1,1,False,43.0,22.0,29.0,8.0,0.0,17.0,24.0,5.0,19.0,1.0,1.0,4.0,10.0,1.0,1.0,4.0,2.0,2.0,90.0,55.0,6.6,23.0,0.00175284,42.699322879605,8.0,4.095,2.73,0.1799,0,-0.3258,0.04,0.0,-0.1,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14573005,home,Legia Warszawa,Petar Stojanović,,,petar-stojanovic,P. Stojanović,M,30,177.0,667,M,227082,EUR,813024000,D,30,30,False,28.0,26.0,1.0,,0.0,13.0,13.0,12.0,15.0,,,1.0,4.0,,,,,,60.0,44.0,6.2,7.0,0.013752,119.85488231706,15.0,52.08,19.11,,1,,0.12,0.06,-0.24,,1.0,4.0,1.0,3.0,1.0,1.0,0.0216,0.0374,1.0,-0.05,,,,,,,,,,,,,,,,,,,,
14573005,home,Legia Warszawa,Kamil Piątkowski,,,kamil-piatkowski,K. Piątkowski,D,91,191.0,2379,M,942335,EUR,961545600,D,91,91,False,53.0,46.0,6.0,3.0,0.0,35.0,37.0,11.0,16.0,2.0,6.0,12.0,5.0,,,,,,90.0,76.0,7.5,7.0,0.043209,160.97816888448,19.0,61.005,18.9,,0,,0.31,0.09,0.47,,,4.0,,,,,,,2.0,,3.0,1.0,1.0,3.0,4.0,3.0,1.0,,,,,,,,,,,,,
14573005,home,Legia Warszawa,Steve Kapuadi,,,kapuadi-steve,S. Kapuadi,D,3,196.0,1861,M,1019957,EUR,893894400,D,3,3,False,46.0,43.0,5.0,3.0,0.0,36.0,38.0,6.0,8.0,,2.0,,5.0,,,,,,90.0,53.0,6.9,4.0,0.0045352,105.97519562688,16.0,-8.8817841970013e-15,11.025,,0,,0.09,0.04,0.2,,1.0,1.0,,1.0,,,,,,,1.0,,2.0,,,,,1.0,1.0,,,,,,,,,,,
14573005,home,Legia Warszawa,Rúben Vinagre,,,ruben-vinagre,R. Vinagre,D,19,174.0,705,M,846441,EUR,923616000,D,19,19,False,30.0,27.0,2.0,,0.0,16.0,18.0,9.0,12.0,1.0,3.0,5.0,5.0,,,,,,75.0,57.0,6.4,9.0,0.013807,149.11698984168,15.0,77.805,23.52,,0,,-0.02,0.04,-0.07,,3.0,4.0,,2.0,,2.0,,,,,1.0,,,3.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,
14573005,home,Legia Warszawa,Bartosz Kapustka,,,bartosz-kapustka,B. Kapustka,M,67,179.0,1538,M,309648,EUR,851299200,M,67,67,False,37.0,32.0,4.0,1.0,0.0,13.0,13.0,17.0,24.0,1.0,4.0,3.0,3.0,,,,,,90.0,51.0,6.9,11.0,0.0369489,123.69798521902,15.0,72.24,13.125,,0,,0.1,0.25,-0.04,,2.0,2.0,,2.0,,3.0,,,2.0,,,,,2.0,2.0,1.0,1.0,1.0,,,,,True,,,,,,,
14573005,home,Legia Warszawa,Rafał Augustyniak,,,rafal-augustyniak,R. Augustyniak,M,8,185.0,411,M,338475,EUR,750556800,M,8,8,False,39.0,31.0,3.0,2.0,0.0,19.0,21.0,12.0,18.0,2.0,8.0,2.0,6.0,,,,,,90.0,61.0,7.2,10.0,0.0185884,90.035426014037,11.0,52.815,13.545,,2,,0.06,0.12,0.77,,,3.0,,1.0,2.0,1.0,0.0347,0.1001,1.0,-0.06,,,2.0,1.0,4.0,3.0,3.0,1.0,1.0,,,,,1.0,,,,,,
14573005,home,Legia Warszawa,Wojciech Urbański,Wojciech Urbanski,,wojciech-urbanski,W. Urbański,M,53,180.0,322,M,1536342,EUR,1105488000,M,53,53,False,24.0,17.0,4.0,,0.0,12.0,13.0,5.0,11.0,2.0,6.0,1.0,2.0,,,,,,75.0,43.0,6.5,16.0,0.00266129,52.114966922491,7.0,-5.04,6.72,,2,,-0.1,0.22,-0.01,,,6.0,,4.0,1.0,4.0,0.377,0.8214,,0.25,2.0,,,,3.0,2.0,,,1.0,,,,,,1.0,1.0,,,,
14573005,home,Legia Warszawa,Paweł Wszołek,,,pawel-wszolek,P. Wszołek,D,7,186.0,1059,M,139152,EUR,704592000,F,7,7,False,25.0,13.0,,,0.0,2.0,5.0,10.0,20.0,4.0,6.0,1.0,2.0,,,,,,90.0,38.0,6.5,16.0,0.0416162,85.115526149633,7.0,55.65,37.065,,1,,-0.22,0.11,-0.07,,3.0,6.0,,1.0,,2.0,0.1067,,2.0,0.03,3.0,,,,,,2.0,1.0,1.0,2.0,1.0,1.0,,,1.0,1.0,,,,
14573005,home,Legia Warszawa,Antonio Čolak,,,antonio-colak,A. Čolak,F,14,187.0,872,M,142395,EUR,748224000,F,14,14,False,9.0,5.0,,,0.0,3.0,5.0,2.0,4.0,,1.0,1.0,2.0,,,,,,43.0,13.0,6.0,5.0,0.00456858,23.806682201508,3.0,0.94499999999998,9.24,,0,,0.04,0.04,-0.37,,,3.0,1.0,1.0,,,,,1.0,,1.0,1.0,,,,,1.0,,1.0,,,1.0,,,,,1.0,,,
