match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_blockedScoringAttempt,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_totalTackle,stat_wonTackle,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_wonContest,stat_goalAssist,stat_bigChanceCreated,stat_shotOffTarget,stat_unsuccessfulTouch,stat_totalOffside,stat_dispossessed,stat_outfielderBlock,stat_penaltyWon,stat_penaltyMiss,stat_goals,stat_penaltyFaced,stat_penaltyConceded,stat_clearanceOffLine
11352567,home,Bournemouth,Neto,neto,Neto,G,22,190,5148,M,Neto_Murara,84844,EUR,616809600,G,1,1,False,True,10.0,9.0,4.0,3.0,9.0,9.0,1.0,2.0,11.0,1.0,7.0,7.0,1.0,1.0,1.0,90.0,28.0,8.2,1.0,0.00010573,0,0.9015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352567,home,Bournemouth,Adam Smith,adam-smith,A. Smith,D,15,180,494,M,,44566,EUR,672883200,D,15,15,False,,46.0,39.0,5.0,2.0,9.0,10.0,41.0,1.0,2.0,,,,,,,74.0,64.0,6.5,11.0,0.0891325,1,,32.0,5.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0166,1.0,,,,,,,,,,,,,,,,,,,,,,,
11352567,home,Bournemouth,Chris Mepham,chris-mepham,C. Mepham,D,2,191,391,M,,865740,EUR,878688000,D,6,6,False,,93.0,80.0,12.0,11.0,26.0,35.0,58.0,1.0,8.0,,,,,,,90.0,101.0,7.7,13.0,0.337297,0,,54.0,,,4.0,16.0,,,,1.0,1.0,1.0,,,3.0,13.0,3.0,2.0,,,,,,,,,,,,,,,,,,,
11352567,home,Bournemouth,Ilya Zabarnyi,illia-zabarnyi,I. Zabarnyi,D,6,189,17027,M,IlliaZabarnyi,1023567,EUR,1030838400,D,27,27,False,,85.0,74.0,10.0,2.0,19.0,22.0,63.0,4.0,8.0,,,,,,,90.0,95.0,6.8,11.0,0.0675707,1,,55.0,,,6.0,6.0,1.0,,,,,1.0,0.2246,1.0,4.0,5.0,1.0,1.0,1.0,1.0,0.1192,,,,,,,,,,,,,,,,
11352567,home,Bournemouth,Miloš Kerkez,milos-kerkez,M. Kerkez,D,6,180,25853,M,miloskerkez,1097425,EUR,1068163200,D,3,3,False,,48.0,42.0,1.0,,8.0,8.0,45.0,,4.0,,,,,,,45.0,59.0,7.0,11.0,0.039416,1,,34.0,5.0,,1.0,2.0,,1.0,,1.0,,1.0,0.0648,,,,1.0,1.0,,1.0,0.1061,Milos,Kerkez,1.0,,,,,,,,,,,,,
11352567,home,Bournemouth,Ryan Christie,ryan-christie,R. Christie,M,10,178,1213,M,,322391,EUR,793411200,M,10,10,False,,53.0,44.0,6.0,3.0,10.0,10.0,51.0,3.0,6.0,,,,,,,74.0,76.0,8.8,15.0,0.458904,4,,38.0,8.0,4.0,4.0,4.0,1.0,1.0,,1.0,2.0,,0.1638,5.0,2.0,1.0,1.0,1.0,,1.0,0.0355,,,,1.0,3.0,3.0,1.0,1.0,,,,,,,,
11352567,home,Bournemouth,Lewis Cook,lewis-cook,L. Cook,M,4,175,895,M,,548188,EUR,854928000,M,4,4,False,,61.0,52.0,5.0,3.0,11.0,12.0,57.0,2.0,8.0,,,,,,,90.0,81.0,7.4,16.0,0.181291,1,,43.0,8.0,2.0,4.0,4.0,,,,,1.0,,0.03,4.0,4.0,2.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,
11352567,home,Bournemouth,Antoine Semenyo,antoine-semenyo,A. Semenyo,M,42,185,84914,M,antoinesemenyo42,934354,EUR,947203200,M,24,24,False,,28.0,23.0,1.0,1.0,3.0,4.0,28.0,1.0,1.0,,,,,,,90.0,49.0,6.5,13.0,0.0481903,6,,21.0,4.0,1.0,6.0,2.0,1.0,1.0,3.0,,1.0,1.0,0.4204,,1.0,,1.0,,1.0,2.0,0.21,,,,,,1.0,1.0,,2.0,,,,,,,
11352567,home,Bournemouth,Justin Kluivert,justin-kluivert,J. Kluivert,M,19,171,6976,M,justinkluivert,851596,EUR,925862400,M,19,19,False,,17.0,13.0,,,,,19.0,,2.0,,,,,,,62.0,29.0,6.6,9.0,0.0195315,2,,13.0,2.0,,4.0,1.0,,,1.0,,1.0,2.0,0.2077,,1.0,,,,1.0,1.0,0.5017,,,,,,,2.0,,1.0,1.0,,,,,,
11352567,home,Bournemouth,Marcus Tavernier,marcus-tavernier,M. Tavernier,M,16,178,1762,M,,895576,EUR,922060800,M,16,16,False,,55.0,49.0,1.0,1.0,3.0,4.0,57.0,,5.0,,,,,,,62.0,68.0,7.7,13.0,0.334403,0,,47.0,6.0,1.0,4.0,4.0,,2.0,,,1.0,1.0,,4.0,1.0,,2.0,2.0,,,,,,1.0,,,,,,1.0,1.0,,,,,,
