match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keeperSaveValue,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_keyPass,stat_shotOffTarget,stat_hitWoodwork,stat_totalTackle,stat_wonTackle,stat_shotValueNormalized,stat_aerialWon,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_lastManTackle,player_sofascoreId,stat_errorLeadToAShot,stat_goodHighClaim,stat_punches,stat_errorLeadToAGoal
14598944,home,Lincoln City,Zachary Jeacock,zachary-jeacock,Z. Jeacock,G,13,191.0,12,M,1192328,EUR,989280000,G,13,13,False,31.0,17.0,22.0,8.0,0.0,9.0,12.0,8.0,19.0,1.0,4.0,1.0,2.0,90.0,35.0,6.0,14.0,0.2408,0,0.08,0.02,-0.17,-0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14598944,home,Lincoln City,Tendayi Darikwa,tendayi-darikwa,T. Darikwa,D,2,188.0,102,M,124697,EUR,692582400,D,2,2,False,19.0,15.0,6.0,3.0,0.0,5.0,5.0,10.0,14.0,4.0,4.0,,,90.0,38.0,6.6,8.0,,0,0.38,0.08,-0.19,,,,True,2.0,1.0,1.0,5.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
14598944,home,Lincoln City,Lewis Montsma,lewis-montsma,L. Montsma,D,14,191.0,45,M,945777,EUR,893462400,D,4,4,False,20.0,12.0,8.0,3.0,0.0,8.0,9.0,4.0,11.0,1.0,5.0,,,85.0,31.0,6.4,11.0,,2,-0.02,0.05,-0.33,,,,,2.0,,1.0,2.0,2.0,,,,,,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,-0.16,,,,,,,,,,,,,,
14598944,home,Lincoln City,Sonny Bradley,sonny-bradley,S. Bradley,D,15,193.0,44,M,144679,EUR,684720000,D,15,15,False,29.0,19.0,5.0,3.0,0.0,13.0,15.0,6.0,14.0,5.0,1.0,,,90.0,45.0,6.7,10.0,,1,-0.11,0.14,-0.15,,,,,,,1.0,1.0,8.0,,,,,,3.0,,,,1.0,,1.0,,-0.19,7.0,,,,,,,,,,,,,
14598944,home,Lincoln City,Ryley Towler,ryley-towler,R. Towler,D,6,187.0,53,M,1064344,EUR,988761600,D,6,6,False,18.0,16.0,4.0,3.0,0.0,7.0,7.0,9.0,11.0,3.0,1.0,,,90.0,29.0,6.4,4.0,,2,0.12,-0.18,-0.21,,Ryley Towler,,,1.0,,,3.0,5.0,,1.0,,,1.0,,2.0,2.0,,1.0,,,,-0.52,3.0,1.0,1.0,,,,,,,,,,,
14598944,home,Lincoln City,Thomas Hamer,thomas-hamer,T. Hamer,D,22,188.0,37,M,897567,EUR,942710400,D,22,22,False,24.0,13.0,2.0,,0.0,4.0,6.0,9.0,18.0,1.0,3.0,,,90.0,56.0,6.5,27.0,,3,-0.38,0.16,-0.23,,,,,4.0,,1.0,5.0,4.0,3.0,,,,1.0,2.0,,1.0,4.0,2.0,,1.0,1.0,-0.05,3.0,,1.0,4.0,,,,,,,,,,
14598944,home,Lincoln City,Ben House,ben-house,B. House,F,18,175.0,43,M,920691,EUR,931132800,M,18,18,False,7.0,4.0,,,0.0,3.0,4.0,1.0,3.0,,2.0,,,71.0,17.0,6.0,6.0,,0,-0.05,-0.04,-0.14,,,,,1.0,,1.0,6.0,3.0,,,2.0,1.0,,1.0,1.0,4.0,1.0,,,1.0,,,,,,,,,,,,,,,,
14598944,home,Lincoln City,Conor McGrandles,conor-mcgrandles,C. McGrandles,M,14,183.0,32,M,255015,EUR,811900800,M,14,14,False,19.0,13.0,3.0,,0.0,5.0,6.0,8.0,13.0,,2.0,,,90.0,39.0,7.2,9.0,,0,0.3,-0.4,0.22,,,,,1.0,1.0,,3.0,8.0,,,2.0,,1.0,7.0,2.0,1.0,1.0,,,5.0,2.0,,1.0,,,,1.0,,,,,,,,,
14598944,home,Lincoln City,Ivan Varfolomeev,varfolomeev-ivan,I. Varfolomieiev,M,24,180.0,167,M,1104253,EUR,1080086400,M,24,24,False,12.0,9.0,4.0,2.0,1.0,2.0,2.0,7.0,10.0,2.0,3.0,,,71.0,23.0,6.9,5.0,,0,0.47,,-0.09,,,,,5.0,3.0,2.0,4.0,1.0,1.0,,,,,1.0,,1.0,3.0,,,,,,1.0,,,,1.0,,,,,,,,,
14598944,home,Lincoln City,Robert Street,robert-street,R. Street,F,17,186.0,95,M,1020672,EUR,1001462400,F,17,17,False,9.0,6.0,,,0.0,3.0,3.0,3.0,6.0,,2.0,,,71.0,21.0,7.8,7.0,,4,0.0,0.35,0.0,,,,,2.0,1.0,3.0,4.0,5.0,,,1.0,1.0,,,1.0,1.0,1.0,2.0,,,,0.5,3.0,,1.0,3.0,,1.0,1.0,2.0,,,,,,
