match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,stat_accurateLongBalls,stat_goalAssist,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,captain,stat_aerialLost,stat_challengeLost,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,player_firstName,player_lastName,stat_shotOffTarget,stat_expectedGoals,stat_totalOffside,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,player_sofascoreId,stat_penaltyWon,stat_penaltyConceded,stat_penaltyFaced,stat_totalKeeperSweeper,stat_lastManTackle
11451074,home,Adana Demirspor,Ertaç Özbir,ertac-ozbir,E. Özbir,G,186,92,M,126077,EUR,625276800,G,25,25,False,29.0,26.0,3.0,26.0,27.0,2.0,6.0,3.0,3.0,90.0,38.0,7.5,3.0,8.065e-05,0,0.4084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451074,home,Adana Demirspor,Jonas Svensson,jonas-svensson,J. Svensson,D,170,1475,M,98199,EUR,731376000,D,22,22,False,43.0,38.0,4.0,18.0,19.0,25.0,6.0,,,69.0,57.0,7.0,8.0,0.146164,0,,71,3.0,1.0,21.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11451074,home,Adana Demirspor,Semih Güler,semih-guler,S. Güler,D,184,112,M,325155,EUR,786153600,D,4,4,False,76.0,68.0,13.0,46.0,48.0,28.0,7.0,,,90.0,86.0,7.6,8.0,0.0205521,0,,6,8.0,,22.0,,,,3.0,4.0,,,,,,,,1.0,,True,1.0,1.0,2.0,1.0,2.0,4.0,3.0,,,,,,,,,,,,,,,,
11451074,home,Adana Demirspor,Andreaw Gravillon,andreaw-gravillon,A. Gravillon,D,188,179,M,827934,EUR,886896000,D,5,5,False,66.0,59.0,7.0,44.0,50.0,16.0,6.0,,,86.0,73.0,6.8,8.0,0.0168386,1,,26,4.0,,15.0,,,2.0,7.0,3.0,,,,,,,1.0,2.0,1.0,,3.0,3.0,2.0,,2.0,,,,,1.0,0.0185,,,,,,,,,,,,
11451074,home,Adana Demirspor,Kévin Rodrigues,kevin-rodrigues,K. Rodrigues,D,169,248,M,234232,EUR,762825600,D,77,77,False,64.0,57.0,3.0,29.0,30.0,38.0,5.0,,,90.0,86.0,7.3,13.0,0.0210926,1,,77,3.0,,29.0,4.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,1.0,2.0,2.0,,,1.0,0.0162,1.0,,,,,,,,,,,
11451074,home,Adana Demirspor,Badou Ndiaye,badou-ndiaye,B. Ndiaye,M,180,427,M,228342,EUR,656985600,M,17,17,False,28.0,23.0,2.0,9.0,9.0,19.0,4.0,,,65.0,40.0,7.4,7.0,0.0139187,1,,,1.0,,14.0,,,,2.0,6.0,,3.0,3.0,,,1.0,1.0,,,,2.0,,,,2.0,2.0,1.0,,,,0.099,,1.0,,,,,,,,,,
11451074,home,Adana Demirspor,Emre Akbaba,emre-akbaba,E. Akbaba,M,180,414,M,343527,EUR,718156800,M,8,8,False,48.0,43.0,7.0,20.0,21.0,29.0,7.0,,,90.0,63.0,7.7,10.0,0.0555564,2,,8,4.0,1.0,23.0,2.0,,1.0,2.0,5.0,,,,1.0,,3.0,1.0,1.0,3.0,,1.0,,1.0,,1.0,3.0,1.0,,,1.0,0.0531,,1.0,,,,,,,,,,
11451074,home,Adana Demirspor,Yusuf Erdoğan,yusuf-erdogan,Y. Erdoğan,M,172,204,M,256663,EUR,713145600,M,32,32,False,24.0,21.0,,5.0,7.0,21.0,3.0,,,90.0,37.0,6.9,9.0,0.148386,1,,10,,,18.0,4.0,2.0,1.0,6.0,3.0,2.0,1.0,1.0,1.0,,2.0,1.0,1.0,2.0,,3.0,,,,,,,,,1.0,0.3318,,,1.0,,,,,,,,,
11451074,home,Adana Demirspor,Younès Belhanda,younes-belhanda,Y. Belhanda,M,177,1189,M,72999,EUR,635904000,M,10,10,False,27.0,21.0,1.0,6.0,7.0,25.0,2.0,,,86.0,51.0,6.4,21.0,0.0898499,3,,10,1.0,,15.0,5.0,,,6.0,2.0,5.0,1.0,1.0,,,2.0,1.0,1.0,1.0,,,,,,,,,Younès,Belhanda,,0.2313,,2.0,1.0,1.0,0.3764,,,,,,,
11451074,home,Adana Demirspor,Arbër Zeneli,arber-zeneli,A. Zeneli,F,176,393,M,227892,EUR,793670400,M,23,23,False,19.0,15.0,,2.0,2.0,17.0,3.0,,,64.0,33.0,7.0,12.0,0.021116,0,,9,,,13.0,,,,3.0,5.0,1.0,3.0,2.0,,,4.0,1.0,,,,,1.0,,,,2.0,2.0,,,,,,,,,,,,,,,,
