match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_interceptionWon,stat_fouls,player_firstName,player_lastName,stat_aerialWon,stat_duelWon,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_unsuccessfulTouch,stat_aerialLost,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_keyPass,stat_accurateCross,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_bigChanceCreated,captain,player_sofascoreId,stat_savedShotsFromInsideTheBox,stat_hitWoodwork
12624959,home,Al-Khaleej,Ibrahim Šehić,ibrahim-sehic,I. Šehić,G,13,190.0,350,M,63952,EUR,589161600,G,23,23,False,30.0,23.0,12.0,5.0,0.0,21.0,25.0,2.0,5.0,7.0,1.0,2.0,90.0,38.0,6.4,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624959,home,Al-Khaleej,Saeed Al Hamsal,saeed-al-hamsal,S. A. Hamsal,D,39,176.0,21,M,818563,EUR,829785600,D,39,39,False,29.0,25.0,4.0,2.0,0.0,16.0,16.0,9.0,18.0,3.0,,,88.0,44.0,5.8,11.0,0,5.0,7.0,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12624959,home,Al-Khaleej,Marcel Tisserand,marcel-tisserand,M. Tisserand,D,32,190.0,461,M,338651,EUR,726624000,D,32,32,False,52.0,42.0,13.0,6.0,0.0,35.0,36.0,7.0,16.0,3.0,,,90.0,65.0,6.8,13.0,1,,2.0,,1.0,,3.0,1.0,,,2.0,2.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,
12624959,home,Al-Khaleej,Mohammed Al-Khabrani,mohammed-al-khabrani,M. Al-Khabrani,D,3,178.0,21,M,818696,EUR,750556800,D,3,3,False,43.0,37.0,7.0,3.0,0.0,28.0,29.0,9.0,14.0,7.0,,,88.0,58.0,6.9,7.0,0,,4.0,,,,1.0,3.0,,,1.0,5.0,,7.0,,,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,
12624959,home,Al-Khaleej,Pedro Rebocho,pedro-rebocho,P. Rebocho,D,5,172.0,204,M,190139,EUR,790819200,D,5,5,False,40.0,35.0,3.0,2.0,0.0,11.0,12.0,25.0,31.0,4.0,,,90.0,68.0,7.1,11.0,0,3.0,1.0,,1.0,1.0,,,,,1.0,9.0,,4.0,,1.0,,5.0,3.0,2.0,,1.0,1.0,,,,,,,,,,
12624959,home,Al-Khaleej,Khaled Narey,khaled-narey,K. Narey,M,7,180.0,366,M,190065,EUR,774921600,M,7,7,False,17.0,12.0,1.0,1.0,0.0,5.0,6.0,8.0,14.0,5.0,,,90.0,34.0,7.1,9.0,2,3.0,5.0,1.0,,2.0,,1.0,,,,4.0,,,,2.0,3.0,2.0,,,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,
12624959,home,Al-Khaleej,Mansour Hamzi,mansour-hamzi,M. Hamzi,M,15,170.0,31,M,818581,EUR,738892800,M,15,15,False,35.0,28.0,5.0,4.0,0.0,18.0,19.0,10.0,17.0,6.0,,,90.0,46.0,7.1,9.0,0,1.0,5.0,3.0,,,3.0,1.0,,,1.0,4.0,,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,1.0,,,,
12624959,home,Al-Khaleej,Dimitrios Kourbelis,dimitrios-kourbelis,D. Kourbelis,M,21,182.0,579,M,128089,EUR,752198400,M,21,21,False,52.0,48.0,12.0,10.0,1.0,26.0,27.0,22.0,25.0,10.0,,,90.0,66.0,7.9,7.0,2,,5.0,3.0,,,2.0,2.0,,,,6.0,,,,2.0,,5.0,2.0,1.0,2.0,,,,2.0,,,,1.0,,,,
12624959,home,Al-Khaleej,Fábio Martins,fabio-martins,F. Martins,M,10,178.0,359,M,193064,EUR,743472000,M,10,10,False,32.0,27.0,2.0,2.0,0.0,9.0,10.0,18.0,24.0,4.0,,,80.0,45.0,6.3,10.0,1,2.0,8.0,4.0,,3.0,1.0,2.0,,,,2.0,1.0,,,1.0,,1.0,,,,,1.0,,,,,1.0,,True,,,
12624959,home,Al-Khaleej,Kostas Fortounis,kostas-fortounis,K. Fortounis,M,10,183.0,2903,M,115577,EUR,719193600,F,17,17,False,47.0,37.0,7.0,3.0,0.0,12.0,13.0,27.0,39.0,3.0,,,90.0,71.0,7.5,19.0,2,5.0,5.0,,2.0,3.0,,2.0,,,,5.0,,,,4.0,1.0,,,2.0,4.0,2.0,3.0,,2.0,,,1.0,,,,,
