match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,reason,rescinded,id,isHome,incidentClass,injury,playerName,player_id,player_name,confirmed
13473377,FT,0.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
13473377,,,,,90,0.0,,1,,,injuryTime,7.0,,,,,,,,,,
13473377,,,,,87,,,4,,,card,,Foul,False,123347081.0,False,yellow,,,,,
13473377,,,,,81,,,10,,,substitution,,,,123868911.0,True,regular,False,,,,
13473377,,,,,74,,,17,,,substitution,,,,123868888.0,False,regular,False,,,,
13473377,,,,,74,,,17,,,substitution,,,,123868887.0,True,regular,False,,,,
13473377,,,,,70,,,21,,,substitution,,,,123868869.0,False,regular,False,,,,
13473377,,,,,62,,,29,,,substitution,,,,123868849.0,True,regular,False,,,,
13473377,,,,,62,,,29,,,substitution,,,,123868848.0,True,regular,False,,,,
13473377,,,,,61,,,30,,,substitution,,,,123868852.0,False,regular,False,,,,
13473377,,,,,61,,,30,,,substitution,,,,123868851.0,False,regular,False,,,,
13473377,,,,,61,,,30,,,substitution,,,,123868850.0,False,regular,False,,,,
13473377,,,,,49,,,42,,,card,,Foul,False,123347029.0,True,yellow,,Matheus Alexandre,953736.0,Matheus Alexandre,
13473377,,,,,46,,,45,,,substitution,,,,123868790.0,True,regular,False,,,,
13473377,HT,0.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
13473377,,,,,45,0.0,,1,,,injuryTime,5.0,,,,,,,,,,
13473377,,,,,41,,,5,,,card,,Foul,False,123346988.0,True,yellow,,Fabricio Domínguez,939934.0,Fabricio Domínguez,
13473377,,,,,25,,,21,,,card,,Foul,False,123346965.0,True,yellow,,João Silva,1068519.0,João Silva,
13473377,,,,,20,,,26,,,varDecision,,,,32946.0,True,penaltyAwarded,,,939934.0,Fabricio Domínguez,False
13473377,,0.0,1.0,,13,,,33,,,goal,,,,300650574.0,False,regular,,,870556.0,Juninho Capixaba,
13473377,,,,,1,,,45,,,card,,Foul,False,123346945.0,False,yellow,,Juninho Capixaba,870556.0,Juninho Capixaba,
